Station,"Date and Time","Air Temp",RH,Dewpoint,"Vapor Pressure","Solar Rad","Liquid Precip",Wind,"Wind Dir","5cm Soil Temp","15cm Soil Temp"
id,"date time","deg C","%","deg C",kPa,"W m-2",mm,m/s,degrees,"deg C","deg C"
frt03,"2024-12-31T20:00",-4.68,0.702,-9.28,0.303,0.0,0.0,1.55,227.6,1.13,1.66
frt03,"2024-12-31T20:05",-4.7,0.699,-9.35,0.301,0.0,0.0,0.11,240.4,1.11,1.64
frt03,"2024-12-31T20:10",-4.93,0.69,-9.74,0.292,0.0,0.0,0.01,295.6,1.09,1.63
frt03,"2024-12-31T20:15",-5.03,0.707,-9.53,0.298,0.0,0.0,0.09,343.3,1.07,1.61
frt03,"2024-12-31T20:20",-5.02,0.722,-9.25,0.304,0.0,0.0,0.71,92.1,1.05,1.6
frt03,"2024-12-31T20:25",-5.08,0.713,-9.47,0.299,0.0,0.0,1.67,75.3,1.04,1.58
frt03,"2024-12-31T20:30",-4.23,0.659,-9.65,0.295,0.0,0.0,0.46,69.0,1.02,1.56
frt03,"2024-12-31T20:35",-4.37,0.663,-9.71,0.293,0.0,0.0,0.67,99.8,1.01,1.55
frt03,"2024-12-31T20:40",-4.8,0.685,-9.7,0.293,0.0,0.0,1.07,122.3,0.99,1.53
frt03,"2024-12-31T20:45",-4.81,0.691,-9.61,0.295,0.0,0.0,0.4,126.1,0.98,1.52
frt03,"2024-12-31T20:50",-5.01,0.715,-9.37,0.301,0.0,0.0,0.14,108.2,0.97,1.5
frt03,"2024-12-31T20:55",-4.97,0.718,-9.27,0.304,0.0,0.0,0.0,0.0,0.95,1.49
frt03,"2024-12-31T21:00",-4.99,0.708,-9.47,0.299,0.0,0.0,0.0,0.0,0.94,1.48
frt03,"2024-12-31T21:05",-4.42,0.67,-9.63,0.295,0.0,0.0,0.0,0.0,0.92,1.46
frt03,"2024-12-31T21:10",-4.06,0.647,-9.72,0.293,0.0,0.0,0.0,0.0,0.9,1.45
frt03,"2024-12-31T21:15",-4.5,0.659,-9.92,0.288,0.0,0.0,0.0,0.0,0.89,1.43
frt03,"2024-12-31T21:20",-4.66,0.684,-9.59,0.296,0.0,0.0,0.02,193.8,0.87,1.42
frt03,"2024-12-31T21:25",-5.35,0.733,-9.38,0.301,0.0,0.0,0.99,191.7,0.86,1.4
frt03,"2024-12-31T21:30",-5.75,0.738,-9.68,0.294,0.0,0.0,1.0,173.2,0.84,1.39
frt03,"2024-12-31T21:35",-6.09,0.748,-9.83,0.29,0.0,0.0,0.81,45.9,0.82,1.37
frt03,"2024-12-31T21:40",-5.63,0.724,-9.81,0.291,0.0,0.0,0.0,0.0,0.81,1.36
frt03,"2024-12-31T21:45",-5.37,0.709,-9.82,0.29,0.0,0.0,0.12,7.8,0.79,1.35
