timestamp,BattV_Min_S1_T,VWC_1_raw_S1_T,EC_1_raw_S1_T,T_1_raw_S1_T,VWC_2_raw_S1_T,EC_2_raw_S1_T,T_2_raw_S1_T,VWC_3_raw_S1_T,EC_3_raw_S1_T,T_3_raw_S1_T,BattV_Min_S1_M,VWC_1_raw_S1_M,EC_1_raw_S1_M,T_1_raw_S1_M,VWC_2_raw_S1_M,EC_2_raw_S1_M,T_2_raw_S1_M,VWC_3_raw_S1_M,EC_3_raw_S1_M,T_3_raw_S1_M,BattV_Min_S1_B,VWC_1_raw_S1_B,EC_1_raw_S1_B,T_1_raw_S1_B,VWC_2_raw_S1_B,EC_2_raw_S1_B,T_2_raw_S1_B,VWC_3_raw_S1_B,EC_3_raw_S1_B,T_3_raw_S1_B,BattV_Min_S2_T,VWC_1_raw_S2_T,EC_1_raw_S2_T,T_1_raw_S2_T,VWC_2_raw_S2_T,EC_2_raw_S2_T,T_2_raw_S2_T,VWC_3_raw_S2_T,EC_3_raw_S2_T,T_3_raw_S2_T,BattV_Min_S2_M,VWC_1_raw_S2_M,EC_1_raw_S2_M,T_1_raw_S2_M,VWC_2_raw_S2_M,EC_2_raw_S2_M,T_2_raw_S2_M,VWC_3_raw_S2_M,EC_3_raw_S2_M,T_3_raw_S2_M,BattV_Min_S2_B,VWC_1_raw_S2_B,EC_1_raw_S2_B,T_1_raw_S2_B,VWC_2_raw_S2_B,EC_2_raw_S2_B,T_2_raw_S2_B,VWC_3_raw_S2_B,EC_3_raw_S2_B,T_3_raw_S2_B,BattV_Min_S3_T,VWC_1_raw_S3_T,EC_1_raw_S3_T,T_1_raw_S3_T,VWC_2_raw_S3_T,EC_2_raw_S3_T,T_2_raw_S3_T,VWC_3_raw_S3_T,EC_3_raw_S3_T,T_3_raw_S3_T,BattV_Min_S3_M,VWC_1_raw_S3_M,EC_1_raw_S3_M,T_1_raw_S3_M,VWC_2_raw_S3_M,EC_2_raw_S3_M,T_2_raw_S3_M,VWC_3_raw_S3_M,EC_3_raw_S3_M,T_3_raw_S3_M,BattV_Min_S3_B,VWC_1_raw_S3_B,EC_1_raw_S3_B,T_1_raw_S3_B,VWC_2_raw_S3_B,EC_2_raw_S3_B,T_2_raw_S3_B,VWC_3_raw_S3_B,EC_3_raw_S3_B,T_3_raw_S3_B,BattV_Min_S4_T,VWC_1_raw_S4_T,EC_1_raw_S4_T,T_1_raw_S4_T,VWC_2_raw_S4_T,EC_2_raw_S4_T,T_2_raw_S4_T,VWC_3_raw_S4_T,EC_3_raw_S4_T,T_3_raw_S4_T,BattV_Min_S4_M,VWC_1_raw_S4_M,EC_1_raw_S4_M,T_1_raw_S4_M,VWC_2_raw_S4_M,EC_2_raw_S4_M,T_2_raw_S4_M,VWC_3_raw_S4_M,EC_3_raw_S4_M,T_3_raw_S4_M,BattV_Min_S4_B,VWC_1_raw_S4_B,EC_1_raw_S4_B,T_1_raw_S4_B,VWC_2_raw_S4_B,EC_2_raw_S4_B,T_2_raw_S4_B,VWC_3_raw_S4_B,EC_3_raw_S4_B,T_3_raw_S4_B,temp_air_degF,rh_%,dewpoint_degF,vapor_pressure_psi,solar_rad_Wm2,precip_in,wind_speed_mph,wind_dir_degN,soil_temp_2in_degF,soil_temp_6in_degF,SWC_1_raw_S1_T,SWC_1_raw_S1_M,SWC_1_raw_S1_B,SWC_1_raw_S2_T,SWC_1_raw_S2_M,SWC_1_raw_S2_B,SWC_1_raw_S3_T,SWC_1_raw_S3_M,SWC_1_raw_S3_B,SWC_1_raw_S4_T,SWC_1_raw_S4_M,SWC_1_raw_S4_B,VWC_1_ratio_S1_S2_T,VWC_2_ratio_S1_S2_T,VWC_3_ratio_S1_S2_T,VWC_1_ratio_S1_S2_M,VWC_2_ratio_S1_S2_M,VWC_3_ratio_S1_S2_M,VWC_1_ratio_S1_S2_B,VWC_2_ratio_S1_S2_B,VWC_3_ratio_S1_S2_B,VWC_1_ratio_S3_S4_T,VWC_2_ratio_S3_S4_T,VWC_3_ratio_S3_S4_T,VWC_1_ratio_S3_S4_M,VWC_2_ratio_S3_S4_M,VWC_3_ratio_S3_S4_M,VWC_1_ratio_S3_S4_B,VWC_2_ratio_S3_S4_B,VWC_3_ratio_S3_S4_B,T_1_ratio_S1_S2_T,T_2_ratio_S1_S2_T,T_3_ratio_S1_S2_T,T_1_ratio_S1_S2_M,T_2_ratio_S1_S2_M,T_3_ratio_S1_S2_M,T_1_ratio_S1_S2_B,T_2_ratio_S1_S2_B,T_3_ratio_S1_S2_B,T_1_ratio_S3_S4_T,T_2_ratio_S3_S4_T,T_3_ratio_S3_S4_T,T_1_ratio_S3_S4_M,T_2_ratio_S3_S4_M,T_3_ratio_S3_S4_M,T_1_ratio_S3_S4_B,T_2_ratio_S3_S4_B,T_3_ratio_S3_S4_B,EC_1_ratio_S1_S2_T,EC_2_ratio_S1_S2_T,EC_3_ratio_S1_S2_T,EC_1_ratio_S1_S2_M,EC_2_ratio_S1_S2_M,EC_3_ratio_S1_S2_M,EC_1_ratio_S1_S2_B,EC_2_ratio_S1_S2_B,EC_3_ratio_S1_S2_B,EC_1_ratio_S3_S4_T,EC_2_ratio_S3_S4_T,EC_3_ratio_S3_S4_T,EC_1_ratio_S3_S4_M,EC_2_ratio_S3_S4_M,EC_3_ratio_S3_S4_M,EC_1_ratio_S3_S4_B,EC_2_ratio_S3_S4_B,EC_3_ratio_S3_S4_B,SWC_1_ratio_S1_S2_T,SWC_1_ratio_S1_S2_M,SWC_1_ratio_S1_S2_B,SWC_1_ratio_S3_S4_T,SWC_1_ratio_S3_S4_M,SWC_1_ratio_S3_S4_B
2024-01-01,13.3488,0.1508,0.1331,0.1869,0.1254,0.1246,1.3008,0.1778,0.1555,2.3675,13.2793,0.1119,0.0800,0.1657,0.1532,0.2176,1.4362,0.3166,0.4985,2.3822,13.2449,0.1813,0.6905,-0.5863,0.1935,0.9226,0.7582,0.1959,1.2268,1.8520,13.3499,0.1259,0.0983,-0.6737,0.1835,0.2617,0.5791,0.2753,0.4203,1.8068,13.3160,0.1202,0.1297,-0.3388,0.1473,0.1984,0.9702,0.2235,0.1479,1.9528,13.1720,0.0996,0.1077,-0.3829,0.0896,0.1530,0.6385,0.1563,0.1468,1.5819,13.2563,0.1370,0.1240,-0.5105,0.1797,0.2213,1.0276,0.2637,0.3611,2.2552,11.7982,0.1701,0.2279,0.5977,0.2165,0.1936,1.2912,0.2223,0.1359,1.8120,13.2784,0.1222,0.1239,0.0069,0.1583,0.1710,0.9654,0.1138,0.0747,1.8418,13.3922,0.1465,0.1338,0.5231,0.1475,0.1683,1.3284,0.2221,0.1682,2.2496,13.2625,0.0999,0.1161,-0.3409,0.0745,0.0959,0.9271,0.1020,0.1737,1.8929,,,,,,,,,,,24.6171,0.7542,16.7046,0.0473,97.7220,0.0000,1.2504,0.0000,30.9037,31.3579,0.1579,0.2245,0.1917,0.2150,0.1786,0.1254,0.2110,0.2078,0.1270,0.1845,0.0946,,1.1983,0.6830,0.6457,0.9320,1.0400,1.4163,1.8231,2.1584,1.2538,0.9354,1.2179,1.1874,1.7080,2.9060,2.1796,,,,-0.3065,2.2593,1.3105,-0.6775,1.4819,1.2200,1.6369,1.1849,1.1707,-0.9991,0.7730,1.0025,-2.2160,1.3947,0.9573,,,,1.3578,0.4762,0.3700,0.6183,1.0968,3.3698,6.4389,6.0306,8.3547,0.9262,1.3148,2.1466,1.9722,2.0176,0.7826,,,,0.7345,1.2571,1.5281,1.1434,2.1970,
2024-01-02,13.3528,0.1483,0.1296,0.0613,0.1254,0.1242,1.1796,0.1779,0.1553,2.2513,13.2755,0.1117,0.0795,0.0392,0.1532,0.2174,1.3247,0.3167,0.4969,2.2696,13.2676,0.1814,0.6871,-0.7058,0.1931,0.9205,0.6576,0.1953,1.2226,1.7591,13.3446,0.1229,0.0933,-0.8426,0.1843,0.2614,0.4578,0.2753,0.4188,1.6853,13.3192,0.1171,0.1235,-0.4824,0.1474,0.1978,0.8582,0.2233,0.1475,1.8452,13.2044,0.0969,0.1010,-0.5080,0.0902,0.1533,0.5384,0.1563,0.1467,1.4837,13.2500,0.1341,0.1187,-0.6510,0.1799,0.2212,0.9140,0.2638,0.3612,2.1467,11.7932,0.1647,0.2219,0.5099,0.2140,0.1893,1.2086,0.2223,0.1355,1.7228,13.2974,0.1142,0.1119,-0.1166,0.1584,0.1707,0.8556,0.1138,0.0745,1.7363,13.3701,0.1356,0.1262,0.4421,0.1478,0.1684,1.2432,0.2218,0.1678,2.1542,13.2470,0.0942,0.1056,-0.4669,0.0747,0.0958,0.8347,0.1019,0.1734,1.8020,,,,,,,,,,,24.7986,0.7286,15.8792,0.0456,108.6781,0.0000,1.6770,0.0000,30.7181,31.1881,0.1574,0.2246,0.1913,0.2145,0.1778,0.1249,0.2104,0.2058,0.1250,0.1818,0.0932,,1.2081,0.6803,0.6463,0.9543,1.0393,1.4181,1.8757,2.1394,1.2493,0.9902,1.2171,1.1896,1.7528,2.8659,2.1809,,,,-0.0719,2.6182,1.3364,-0.1517,1.5468,1.2302,1.5223,1.2183,1.1857,-1.5288,0.7338,0.9964,-1.3433,1.4535,0.9561,,,,1.3932,0.4750,0.3708,0.6445,1.0995,3.3694,6.8369,6.0050,8.3361,0.9401,1.3138,2.1530,2.1155,1.9755,0.7813,,,,0.7340,1.2632,1.5311,1.1578,2.2091,
2024-01-03,13.3711,0.1438,0.1235,-0.1001,0.1253,0.1236,1.0371,0.1781,0.1550,2.1216,13.3071,0.1112,0.0782,-0.1067,0.1531,0.2169,1.1909,0.3167,0.4951,2.1426,13.2672,0.1818,0.6810,-0.8338,0.1927,0.9183,0.5433,0.1937,1.2178,1.6422,13.3756,0.1203,0.0897,-0.9491,0.1843,0.2605,0.3176,0.2752,0.4170,1.5428,13.3383,0.1144,0.1185,-0.6224,0.1475,0.1973,0.7308,0.2228,0.1470,1.7217,13.2037,0.0947,0.0956,-0.6128,0.0909,0.1534,0.4219,0.1561,0.1464,1.3638,13.2787,0.1315,0.1135,-0.8099,0.1802,0.2207,0.7691,0.2640,0.3610,2.0124,11.8289,0.1584,0.2162,0.4253,0.2137,0.1906,1.1175,0.2223,0.1355,1.6291,13.3159,0.1088,0.1035,-0.2356,0.1584,0.1704,0.7331,0.1138,0.0743,1.6134,13.4148,0.1221,0.1146,0.3413,0.1484,0.1683,1.1384,0.2216,0.1671,2.0455,13.2811,0.0892,0.0954,-0.5857,0.0748,0.0956,0.7185,0.1020,0.1729,1.6927,,,,,,,,,,,27.1001,0.6814,16.6475,0.0472,89.2127,0.0000,2.1239,0.0000,30.6591,31.0716,0.1563,0.2244,0.1905,0.2137,0.1769,0.1245,0.2099,0.2042,0.1237,0.1784,0.0920,,1.1960,0.6802,0.6471,0.9723,1.0379,1.4209,1.9219,2.1205,1.2408,1.0786,1.2143,1.1914,1.7783,2.8581,2.1786,,,,0.1344,3.3741,1.3760,0.1532,1.6343,1.2446,1.4940,1.2870,1.2044,-2.4818,0.6737,0.9837,-0.8429,1.5646,0.9626,,,,1.3815,0.4745,0.3717,0.6607,1.0990,3.3692,7.1586,5.9875,8.3200,0.9913,1.3115,2.1596,2.2744,1.9932,0.7839,,,,0.7313,1.2685,1.5306,1.1765,2.2194,
2024-01-04,13.3544,0.1448,0.1245,0.0152,0.1254,0.1239,1.0475,0.1783,0.1550,2.0432,13.2903,0.1120,0.0806,0.0958,0.1531,0.2178,1.2042,0.3165,0.4943,2.0723,13.2421,0.1827,0.7107,-0.3092,0.1942,0.9246,0.7174,0.1933,1.2174,1.6396,13.3367,0.1283,0.1013,-0.4040,0.1841,0.2614,0.3758,0.2749,0.4167,1.4959,13.3167,0.1222,0.1295,-0.2472,0.1478,0.1983,0.7659,0.2229,0.1466,1.6682,13.1719,0.1027,0.1139,-0.2471,0.0915,0.1551,0.4847,0.1560,0.1465,1.3353,13.2609,0.1413,0.1303,-0.3089,0.1805,0.2217,0.8440,0.2641,0.3616,1.9580,11.8261,0.1589,0.2147,0.4472,0.2138,0.1899,1.0836,0.2220,0.1353,1.5660,13.2803,0.1164,0.1160,-0.0279,0.1587,0.1711,0.7753,0.1137,0.0742,1.5665,13.3929,0.1328,0.1215,0.3935,0.1488,0.1693,1.1334,0.2219,0.1670,1.9836,13.2665,0.0996,0.1119,-0.1843,0.0751,0.0957,0.7956,0.1021,0.1727,1.6508,,,,,,,,,,,34.7004,0.6072,21.5190,0.0576,89.0928,0.0000,3.9968,0.0000,31.3536,31.5141,0.1567,0.2246,0.1909,0.2155,0.1789,0.1266,0.2125,0.2042,0.1256,0.1813,0.0947,,1.1286,0.6815,0.6488,0.9174,1.0361,1.4202,1.7798,2.1222,1.2386,1.0646,1.2135,1.1905,1.5984,2.8457,2.1738,,,,-0.0739,2.8127,1.3661,-0.4598,1.5740,1.2423,1.1514,1.4782,1.2278,-0.8035,0.7440,0.9871,-2.6667,1.3648,0.9487,,,,1.2303,0.4740,0.3719,0.6225,1.0985,3.3714,6.2535,5.9614,8.3083,1.0722,1.3098,2.1652,1.9268,1.9830,0.7832,,,,0.7271,1.2550,1.5079,1.1721,2.1552,
2024-01-05,13.3594,0.1472,0.1276,0.1587,0.1255,0.1245,1.1351,0.1785,0.1554,2.0585,13.2931,0.1128,0.0825,0.2496,0.1537,0.2192,1.2920,0.3168,0.4951,2.1032,13.2467,0.1850,0.7372,0.0387,0.1957,0.9322,0.9363,0.1940,1.2205,1.7606,13.3586,0.1361,0.1119,-0.2898,0.1841,0.2631,0.5089,0.2747,0.4180,1.5636,13.3208,0.1330,0.1457,-0.1120,0.1481,0.1994,0.8792,0.2229,0.1468,1.7188,13.1697,0.1156,0.1376,-0.1276,0.0924,0.1571,0.6184,0.1562,0.1471,1.4158,13.2676,0.1533,0.1525,-0.1451,0.1810,0.2237,0.9910,0.2647,0.3636,2.0222,11.8473,0.1609,0.2157,0.5273,0.2139,0.1887,1.1350,0.2216,0.1350,1.5849,13.2855,0.1346,0.1391,0.0944,0.1590,0.1720,0.8770,0.1138,0.0744,1.6139,13.4027,0.1454,0.1282,0.4969,0.1494,0.1707,1.2119,0.2222,0.1672,2.0089,13.2707,0.1219,0.1347,-0.0456,0.0751,0.0962,0.9071,0.1021,0.1731,1.7074,,,,,,,,,,,29.4349,0.6839,19.4879,0.0529,82.0225,0.0000,2.3707,0.0000,31.5045,31.7758,0.1574,0.2251,0.1922,0.2174,0.1817,0.1301,0.2159,0.2045,0.1303,0.1848,0.1003,,1.0821,0.6819,0.6498,0.8483,1.0381,1.4216,1.6022,2.1189,1.2415,1.0540,1.2112,1.1913,1.3219,2.8480,2.1711,,,,-0.6078,2.2366,1.3167,-2.3613,1.4702,1.2237,-0.4199,1.5160,1.2436,-0.2948,0.8175,1.0066,-17.6553,1.2519,0.9283,,,,1.1410,0.4733,0.3718,0.5668,1.0996,3.3724,5.3667,5.9323,8.2948,1.1889,1.3103,2.1750,1.6029,1.9619,0.7797,,,,0.7242,1.2385,1.4770,1.1683,2.0395,
2024-01-06,13.3992,0.1487,0.1293,0.2445,0.1261,0.1249,1.1870,0.1790,0.1560,2.0765,13.3412,0.1136,0.0840,0.3324,0.1539,0.2207,1.3449,0.3168,0.4957,2.1259,13.3031,0.1864,0.7506,0.0775,0.1966,0.9354,1.0137,0.1942,1.2222,1.8274,13.4163,0.1401,0.1168,-0.2837,0.1839,0.2642,0.5925,0.2747,0.4190,1.6167,13.3640,0.1443,0.1601,-0.0626,0.1484,0.2000,0.9472,0.2228,0.1469,1.7585,13.2451,0.1348,0.1669,-0.0646,0.0932,0.1588,0.7106,0.1562,0.1477,1.4782,13.2980,0.1652,0.1702,-0.0767,0.1814,0.2250,1.0740,0.2651,0.3655,2.0690,11.8906,0.1624,0.2175,0.5868,0.2139,0.1884,1.1793,0.2216,0.1347,1.6095,13.3459,0.1513,0.1534,0.1618,0.1593,0.1727,0.9414,0.1138,0.0745,1.6551,13.4357,0.1489,0.1309,0.5551,0.1498,0.1718,1.2598,0.2222,0.1674,2.0326,13.2971,0.1271,0.1400,0.0029,0.0756,0.0966,0.9747,0.1026,0.1734,1.7510,,,,,,,,,,,27.0278,0.6424,15.5191,0.0449,88.5065,0.0000,2.4148,0.0000,31.4902,31.8484,0.1582,0.2253,0.1929,0.2184,0.1846,0.1351,0.2192,0.2049,0.1345,0.1858,0.1020,,1.0619,0.6853,0.6516,0.7872,1.0370,1.4216,1.3847,2.1106,1.2438,1.1094,1.2110,1.1934,1.2782,2.8304,2.1597,,,,-0.9532,2.0048,1.2845,-5.6291,1.4201,1.2089,-1.4314,1.4284,1.2363,-0.1385,0.8525,1.0179,-34.3808,1.2100,0.9192,,,,1.1090,0.4728,0.3723,0.5251,1.1035,3.3734,4.5044,5.8906,8.2744,1.3001,1.3101,2.1840,1.5534,1.9500,0.7767,,,,0.7245,1.2203,1.4280,1.1801,2.0093,
2024-01-07,13.4116,0.1496,0.1307,0.2789,0.1260,0.1252,1.2051,0.1792,0.1564,2.0775,13.3619,0.1139,0.0849,0.3815,0.1542,0.2216,1.3663,0.3168,0.4960,2.1308,13.2953,0.1876,0.7600,0.1236,0.1970,0.9371,1.0426,0.1947,1.2218,1.8496,13.4244,0.1417,0.1190,-0.2386,0.1846,0.2649,0.6304,0.2748,0.4195,1.6357,13.3779,0.1470,0.1621,-0.0399,0.1487,0.2004,0.9737,0.2228,0.1471,1.7731,13.2149,0.1458,0.1758,-0.0152,0.0939,0.1601,0.7638,0.1561,0.1482,1.5134,13.3186,0.1720,0.1789,-0.0347,0.1815,0.2261,1.1083,0.2656,0.3670,2.0849,11.8575,0.1637,0.2177,0.6059,0.2141,0.1862,1.1924,0.2217,0.1340,1.6165,13.3511,0.1531,0.1544,0.1973,0.1596,0.1733,0.9715,0.1138,0.0746,1.6729,13.4603,0.1490,0.1317,0.5851,0.1502,0.1727,1.2773,0.2221,0.1676,2.0364,13.3288,0.1255,0.1401,0.0231,0.0762,0.0969,1.0039,0.1028,0.1736,1.7728,,,,,,,,,,,29.7226,0.8029,23.8999,0.0646,36.0049,0.0000,2.8860,0.0000,31.5589,31.9134,0.1585,0.2254,0.1935,0.2190,0.1853,0.1380,0.2212,0.2053,0.1351,0.1859,0.1018,,1.0564,0.6827,0.6521,0.7754,1.0371,1.4216,1.2870,2.0989,1.2474,1.1543,1.2078,1.1956,1.3040,2.8094,2.1574,,,,-1.2935,1.9121,1.2701,-11.2355,1.4032,1.2018,3.0692,1.3653,1.2222,-0.0596,0.8677,1.0238,32.5053,1.1879,0.9118,,,,1.0994,0.4725,0.3729,0.5237,1.1056,3.3730,4.3243,5.8550,8.2461,1.3581,1.3096,2.1906,1.5539,1.9220,0.7715,,,,0.7239,1.2163,1.4027,1.1898,2.0164,
2024-01-08,13.4191,0.1507,0.1321,0.3164,0.1261,0.1254,1.2217,0.1796,0.1568,2.0763,13.3574,0.1148,0.0861,0.4307,0.1543,0.2228,1.3863,0.3167,0.4963,2.1333,13.3165,0.1890,0.7711,0.1823,0.1981,0.9396,1.0935,0.1946,1.2227,1.8803,13.4619,0.1466,0.1263,-0.1825,0.1846,0.2658,0.6729,0.2747,0.4200,1.6505,13.3815,0.1555,0.1689,-0.0027,0.1487,0.2008,1.0049,0.2228,0.1470,1.7842,13.2372,0.1506,0.1779,0.0308,0.0946,0.1612,0.8074,0.1561,0.1484,1.5375,13.3320,0.1823,0.1917,0.0128,0.1820,0.2271,1.1447,0.2659,0.3685,2.0974,11.9597,0.1649,0.2198,0.6456,0.2141,0.1864,1.2183,0.2217,0.1337,1.6300,13.3516,0.1567,0.1574,0.2436,0.1596,0.1736,1.0014,0.1136,0.0746,1.6879,13.4719,0.1504,0.1330,0.6221,0.1508,0.1734,1.3006,0.2221,0.1676,2.0412,13.3371,0.1267,0.1413,0.0726,0.0763,0.0971,1.0346,0.1027,0.1738,1.7849,,,,,,,,,,,26.0765,0.5565,11.4771,0.0375,99.1911,0.0000,5.2071,0.0000,31.5158,31.9528,0.1590,0.2256,0.1941,0.2202,0.1875,0.1393,0.2240,0.2056,0.1359,0.1863,0.1021,,1.0279,0.6834,0.6538,0.7381,1.0372,1.4214,1.2548,2.0931,1.2468,1.2122,1.2074,1.1970,1.3016,2.8045,2.1583,,,,-1.8602,1.8159,1.2580,14.0252,1.3796,1.1957,6.4434,1.3550,1.2230,0.0202,0.8802,1.0276,9.2218,1.1777,0.9133,,,,1.0464,0.4717,0.3734,0.5100,1.1092,3.3770,4.3348,5.8294,8.2369,1.4412,1.3094,2.1994,1.5556,1.9193,0.7693,,,,0.7223,1.2035,1.3926,1.2022,2.0134,
2024-01-09,13.4308,0.1504,0.1305,0.1904,0.1264,0.1252,1.1566,0.1799,0.1572,2.0488,13.3806,0.1150,0.0865,0.3240,0.1547,0.2237,1.3421,0.3165,0.4962,2.1114,13.3369,0.1869,0.7593,-0.4019,0.1970,0.9353,0.8854,0.1943,1.2190,1.8166,13.5071,0.1300,0.1015,-0.6667,0.1846,0.2652,0.5742,0.2750,0.4195,1.6095,13.3997,0.1293,0.1392,-0.2241,0.1488,0.2006,0.9397,0.2226,0.1470,1.7580,13.2697,0.1212,0.1428,-0.1511,0.0950,0.1616,0.7431,0.1560,0.1485,1.5105,13.3409,0.1531,0.1522,-0.1953,0.1821,0.2277,1.0767,0.2663,0.3697,2.0685,11.7911,0.1653,0.2190,0.5804,0.2141,0.1841,1.1797,0.2218,0.1330,1.6049,13.3756,0.1319,0.1354,0.1014,0.1596,0.1734,0.9324,0.1134,0.0746,1.6556,13.5039,0.1445,0.1298,0.5216,0.1509,0.1735,1.2397,0.2222,0.1674,2.0101,13.3454,0.1169,0.1332,-0.1647,0.0763,0.0971,0.9583,0.1028,0.1738,1.7559,,,,,,,,,,,17.4494,0.6803,7.8390,0.0317,76.3525,0.0000,2.6743,0.0000,30.5262,31.2385,0.1591,0.2257,0.1931,0.2162,0.1809,0.1320,0.2169,0.2057,0.1296,0.1849,0.0997,,1.1604,0.6846,0.6541,0.8971,1.0396,1.4217,1.5729,2.0740,1.2457,1.0579,1.2069,1.1987,1.4196,2.8052,2.1576,,,,-0.3181,2.0412,1.2736,10.0224,1.4309,1.2012,0.2206,1.1849,1.2024,-0.4133,0.8674,1.0290,-171.1239,1.2349,0.9141,,,,1.2989,0.4719,0.3747,0.6290,1.1154,3.3744,5.4401,5.7864,8.2081,1.1706,1.3120,2.2082,1.6484,1.8954,0.7652,,,,0.7362,1.2482,1.4641,1.1731,2.0642,
2024-01-10,13.4165,0.1457,0.1252,-0.0764,0.1262,0.1242,0.9470,0.1799,0.1569,1.9233,13.3542,0.1148,0.0852,0.0661,0.1545,0.2230,1.1720,0.3161,0.4946,1.9978,13.3108,0.1856,0.7512,-0.6935,0.1961,0.9288,0.6275,0.1930,1.2121,1.6317,13.4609,0.1229,0.0891,-0.8356,0.1842,0.2629,0.3319,0.2748,0.4171,1.4284,13.3714,0.1165,0.1199,-0.5000,0.1489,0.1994,0.7535,0.2221,0.1466,1.6270,13.2485,0.0985,0.1063,-0.3814,0.0952,0.1612,0.5585,0.1556,0.1481,1.3699,13.3082,0.1358,0.1202,-0.5768,0.1823,0.2260,0.8330,0.2666,0.3691,1.9116,11.7697,0.1620,0.2153,0.4319,0.2137,0.1822,1.0579,0.2217,0.1320,1.5077,13.3462,0.1108,0.1083,-0.1148,0.1597,0.1726,0.7616,0.1131,0.0743,1.5286,13.4349,0.1281,0.1192,0.3515,0.1516,0.1731,1.0847,0.2222,0.1669,1.8937,13.2949,0.0937,0.1068,-0.4284,0.0764,0.0967,0.7708,0.1028,0.1732,1.6272,,,,,,,,,,,23.3619,0.7365,15.7183,0.0449,93.3933,0.0000,2.2923,0.0000,30.3243,30.8520,0.1579,0.2254,0.1919,0.2142,0.1774,0.1262,0.2128,0.2048,0.1242,0.1810,0.0939,,1.1858,0.6848,0.6546,0.9859,1.0380,1.4230,1.8866,2.0593,1.2406,1.0617,1.2026,1.1997,1.7364,2.7971,2.1563,,,,0.1171,2.9237,1.3475,-0.1397,1.5586,1.2282,1.9279,1.1206,1.1911,-1.6840,0.7661,1.0093,-1.1119,1.3771,0.9267,,,,1.4066,0.4724,0.3761,0.7109,1.1181,3.3747,7.0858,5.7619,8.1852,1.0081,1.3055,2.2116,2.0295,1.8836,0.7620,,,,0.7373,1.2705,1.5208,1.1757,2.1807,
