,6/12/23,7/25/23,10/5/23,5/31/24,7/25/24,9/9/24,6/6/25,7/28/25,10/28/25
Location ,dry (g),dry (g),dry (g),dry (g),dry (g),dry (g),dry (g),dry (g),dry (g)
S1T ,59,14.8,10.9,114.70,67.20,57.10,24.90,19.20,97.40
S1M ,39.8,52,43.5,143.90,145.60,113.50,41.90,29.90,150.70
S1B ,18.1,55.1,40.7,219.60,144.60,111.10,57.60,49.30,183.10
S2T ,42.6,0.6,5.7,162.60,132.10,80.90,31.70,23.90,166.40
S2M ,73.5,69.9,18.2,228.30,164.20,160.00,66.10,18.10,172.10
S2B ,44.4,17.3,23,188.50,133.10,143.50,62.60,47.40,140.00
S3T ,9.5,0,19.4,116.30,43.80,61.70,30.10,36.50,161.80
S3M ,54.2,59.7,60.8,199.00,44.30,104.30,47.80,18.00,134.40
S3B ,14.6,16.2,60.9,124.10,49.60,82.10,39.40,38.60,136.30
S4T ,32.5,15.9,30.7,186.20,102.00,110.40,58.60,47.80,166.60
S4M ,85.4,41.2,33.9,151.50,91.90,63.70,52.70,42.10,179.00
S4B ,41.9,1.4,11.3,87.40,24.20,121.20,41.20,46.50,168.90
,,,,,,,,,
