year,strip,sensor_col,depth_index,depth_inches,event_id,logger_position,irrigation_start,irrigation_end,volume_gal,event_duration_hours,avg_flow_gph,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr
2025.0000,S1,VWC_1_raw_S1_B,1,6.0000,14.0000,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.0000,22.2200,11909.9800,19.7800,46.9700,27.2000,29.6800,fallback_window,10.2500,14.2500,-7.9700
2025.0000,S1,VWC_2_raw_S1_B,2,12.0000,14.0000,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.0000,22.2200,11909.9800,21.1700,56.1600,35.0000,31.1100,fallback_window,11.2500,15.2500,-6.9700
2025.0000,S1,VWC_3_raw_S1_B,3,18.0000,14.0000,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.0000,22.2200,11909.9800,19.7500,39.3500,19.6000,33.0300,fallback_window,11.0000,15.0000,-7.2200
2025.0000,S1,VWC_1_raw_S1_B,1,6.0000,15.0000,B,2025-05-17 15:36:00,2025-05-18 07:37:00,184900.0000,16.0200,11544.2200,32.0900,31.9900,-0.1000,,no_peak,0.1500,,
2025.0000,S1,VWC_2_raw_S1_B,2,12.0000,15.0000,B,2025-05-17 15:36:00,2025-05-18 07:37:00,184900.0000,16.0200,11544.2200,33.2800,32.9400,-0.3400,,no_peak,0.1500,,
2025.0000,S1,VWC_3_raw_S1_B,3,18.0000,15.0000,B,2025-05-17 15:36:00,2025-05-18 07:37:00,184900.0000,16.0200,11544.2200,30.4400,30.2300,-0.2100,,no_peak,0.1500,,
2025.0000,S1,VWC_1_raw_S1_B,1,6.0000,16.0000,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.0000,12.5300,10252.6600,22.8700,35.0100,12.1400,32.5000,flat_segment,15.7800,23.0300,10.5000
2025.0000,S1,VWC_2_raw_S1_B,2,12.0000,16.0000,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.0000,12.5300,10252.6600,23.9200,38.3100,14.3900,37.9500,flat_segment,14.2800,16.0300,3.5000
2025.0000,S1,VWC_3_raw_S1_B,3,18.0000,16.0000,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.0000,12.5300,10252.6600,26.0400,34.5800,8.5300,29.9800,flat_segment,23.2800,33.0300,20.5000
2025.0000,S1,VWC_1_raw_S1_B,1,6.0000,17.0000,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.0000,16.2700,11741.8000,14.1700,38.8000,24.6300,32.9500,flat_segment,21.7000,30.4500,14.1800
2025.0000,S1,VWC_2_raw_S1_B,2,12.0000,17.0000,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.0000,16.2700,11741.8000,12.2400,40.5100,28.2700,39.1500,flat_segment,12.2000,17.2000,0.9300
2025.0000,S1,VWC_3_raw_S1_B,3,18.0000,17.0000,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.0000,16.2700,11741.8000,13.2400,32.4300,19.1800,27.6300,fallback_window,15.2000,19.2000,2.9300
2025.0000,S1,VWC_1_raw_S1_B,1,6.0000,18.0000,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.0000,9.0800,11719.2700,14.3600,37.7400,23.3800,30.8100,flat_segment,10.0000,19.0000,9.9200
2025.0000,S1,VWC_2_raw_S1_B,2,12.0000,18.0000,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.0000,9.0800,11719.2700,12.2800,43.7600,31.4700,35.5300,fallback_window,10.0000,14.0000,4.9200
2025.0000,S1,VWC_3_raw_S1_B,3,18.0000,18.0000,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.0000,9.0800,11719.2700,13.7800,34.4000,20.6300,28.2300,flat_segment,9.7500,25.0000,15.9200
2025.0000,S1,VWC_1_raw_S1_B,1,6.0000,19.0000,B,2025-08-22 09:07:00,2025-08-22 19:04:00,61250.0000,9.9500,6155.7800,14.2900,33.7400,19.4500,33.6800,flat_segment,20.1300,20.3800,10.4300
