year,date,strip_group,location,product,applied_total_lb,applied_lb_per_acre,notes
2023,2023-05-01,S1_S2,west,11-52-0,115.385,144.513,Derived from 2023 fertilizer recommendation sheet; workbook has no explicit application date.
2023,2023-05-01,S1_S2,west,SULFATE OF POTASH,40.0,50.098,Derived from 2023 fertilizer recommendation sheet; workbook has no explicit application date.
2023,2023-05-01,S1_S2,west,UREA,65.217,81.681,Derived from 2023 fertilizer recommendation sheet; workbook has no explicit application date.
2023,2023-05-01,S3_S4,east,11-52-0,115.385,144.513,Derived from 2023 fertilizer recommendation sheet; workbook has no explicit application date.
2023,2023-05-01,S3_S4,east,SULFATE OF POTASH,160.0,200.391,Derived from 2023 fertilizer recommendation sheet; workbook has no explicit application date.
2023,2023-05-01,S3_S4,east,UREA,65.217,81.681,Derived from 2023 fertilizer recommendation sheet; workbook has no explicit application date.
2024,2024-05-01,S1_S2,west,11-52-1 (PHOSPHORUS),38.462,48.171,Derived from 2024 fertilizer sheet by summing strip-level source-to-apply values for S1_S2; workbook has no explicit application date.
2024,2024-05-01,S1_S2,west,46-0-0 UREA (N),73.887,92.539,Derived from 2024 fertilizer sheet by summing strip-level source-to-apply values for S1_S2; workbook has no explicit application date.
2024,2024-05-01,S1_S2,west,MANGANESE SULFATE (MNSO4),18.75,23.483,Derived from 2024 fertilizer sheet by summing strip-level source-to-apply values for S1_S2; workbook has no explicit application date.
2024,2024-05-01,S1_S2,west,POTASSIUM SULFATE (K2SO4),70.0,87.671,Derived from 2024 fertilizer sheet by summing strip-level source-to-apply values for S1_S2; workbook has no explicit application date.
2024,2024-05-01,S3_S4,east,11-52-1 (PHOSPHORUS),48.077,60.214,Derived from 2024 fertilizer sheet by summing strip-level source-to-apply values for S3_S4; workbook has no explicit application date.
2024,2024-05-01,S3_S4,east,46-0-0 UREA (N),40.728,51.01,Derived from 2024 fertilizer sheet by summing strip-level source-to-apply values for S3_S4; workbook has no explicit application date.
2024,2024-05-01,S3_S4,east,MANGANESE SULFATE (MNSO4),37.5,46.967,Derived from 2024 fertilizer sheet by summing strip-level source-to-apply values for S3_S4; workbook has no explicit application date.
2025,2025-05-01,S1_S2,west,11-52-1 (PHOSPHORUS),96.154,120.427,Derived from 2025 fertilizer sheet by summing strip-level source-to-apply values for S1_S2; workbook has no explicit application date.
2025,2025-05-01,S1_S2,west,46-0-0 UREA (N),146.674,183.701,Derived from 2025 fertilizer sheet by summing strip-level source-to-apply values for S1_S2; workbook has no explicit application date.
2025,2025-05-01,S1_S2,west,MANGANESE SULFATE (MNSO4),22.195,27.798,Derived from 2025 fertilizer sheet by summing strip-level source-to-apply values for S1_S2; workbook has no explicit application date.
2025,2025-05-01,S1_S2,west,POTASSIUM SULFATE (K2SO4),50.0,62.622,Derived from 2025 fertilizer sheet by summing strip-level source-to-apply values for S1_S2; workbook has no explicit application date.
2025,2025-05-01,S3_S4,east,11-52-1 (PHOSPHORUS),105.769,132.47,Derived from 2025 fertilizer sheet by summing strip-level source-to-apply values for S3_S4; workbook has no explicit application date.
2025,2025-05-01,S3_S4,east,46-0-0 UREA (N),113.515,142.171,Derived from 2025 fertilizer sheet by summing strip-level source-to-apply values for S3_S4; workbook has no explicit application date.
2025,2025-05-01,S3_S4,east,MANGANESE SULFATE (MNSO4),25.32,31.712,Derived from 2025 fertilizer sheet by summing strip-level source-to-apply values for S3_S4; workbook has no explicit application date.
2025,2025-05-01,S3_S4,east,POTASSIUM SULFATE (K2SO4),150.0,187.867,Derived from 2025 fertilizer sheet by summing strip-level source-to-apply values for S3_S4; workbook has no explicit application date.
