year,event_id,strip,logger_position,arrival_6in_min,arrival_12in_min,arrival_18in_min,arrival_order,expected_order,order_class,alt_arrival_6in_min,alt_arrival_12in_min,alt_arrival_18in_min,alt_arrival_order,alt_expected_order,alt_order_class,alt_before_start_depths,any_alt_before_start,all_alt_before_start,baseline_vwc_6in,baseline_vwc_12in,baseline_vwc_18in,elevated_18in_baseline_context,depth_profile_interpretation,arrival_6in_T_min,arrival_6in_M_min,arrival_6in_B_min,arrival_6in_logger_order_class,alt_arrival_6in_T_min,alt_arrival_6in_M_min,alt_arrival_6in_B_min,alt_arrival_6in_logger_order_class,arrival_12in_T_min,arrival_12in_M_min,arrival_12in_B_min,arrival_12in_logger_order_class,alt_arrival_12in_T_min,alt_arrival_12in_M_min,alt_arrival_12in_B_min,alt_arrival_12in_logger_order_class,arrival_18in_T_min,arrival_18in_M_min,arrival_18in_B_min,arrival_18in_logger_order_class,alt_arrival_18in_T_min,alt_arrival_18in_M_min,alt_arrival_18in_B_min,alt_arrival_18in_logger_order_class,any_bottom_before_top_or_middle,any_alt_bottom_before_top_or_middle,any_all_loggers_before_start
2026,2026-04-21_S1_S2_001c30f6,S1,B,561.0,666.0,756.0,6→12→18,True,expected,621.0,696.0,771.0,6→12→18,True,expected,,False,False,14.726,13.032,11.924,False,,96.0,276.0,561.0,expected,96.0,336.0,621.0,expected,96.0,366.0,666.0,expected,111.0,381.0,696.0,expected,96.0,411.0,756.0,expected,96.0,411.0,771.0,expected,False,False,False
2026,2026-04-21_S1_S2_001c30f6,S1,M,276.0,366.0,411.0,6→12→18,True,expected,336.0,381.0,411.0,6→12→18,True,expected,,False,False,16.398,18.182,32.542,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",96.0,276.0,561.0,expected,96.0,336.0,621.0,expected,96.0,366.0,666.0,expected,111.0,381.0,696.0,expected,96.0,411.0,756.0,expected,96.0,411.0,771.0,expected,False,False,False
2026,2026-04-21_S1_S2_001c30f6,S1,T,96.0,96.0,96.0,6→12→18,True,expected,96.0,111.0,96.0,6→18→12,False,18_before_12,,False,False,24.582,22.125,27.367,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",96.0,276.0,561.0,expected,96.0,336.0,621.0,expected,96.0,366.0,666.0,expected,111.0,381.0,696.0,expected,96.0,411.0,756.0,expected,96.0,411.0,771.0,expected,False,False,False
2026,2026-04-21_S1_S2_001c30f6,S2,B,231.0,246.0,246.0,6→12→18,True,expected,276.0,246.0,246.0,12→18→6,False,12_before_6,,False,False,9.74,9.156,8.516,False,,21.0,111.0,231.0,expected,21.0,126.0,276.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,False,False,False
2026,2026-04-21_S1_S2_001c30f6,S2,M,111.0,111.0,111.0,6→12→18,True,expected,126.0,111.0,111.0,12→18→6,False,12_before_6,,False,False,15.58,16.458,18.523,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",21.0,111.0,231.0,expected,21.0,126.0,276.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,False,False,False
2026,2026-04-21_S1_S2_001c30f6,S2,T,21.0,21.0,21.0,6→12→18,True,expected,21.0,21.0,21.0,6→12→18,True,expected,,False,False,10.678,20.813,30.415,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",21.0,111.0,231.0,expected,21.0,126.0,276.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,21.0,111.0,246.0,expected,False,False,False
2026,2026-04-21_S3_S4_ed1ed131,S3,B,36.0,66.0,81.0,6→12→18,True,expected,51.0,66.0,81.0,6→12→18,True,expected,,False,False,10.863,11.772,9.31,False,,111.0,51.0,36.0,bottom_before_top_or_middle,156.0,51.0,51.0,bottom_before_top_or_middle,336.0,51.0,66.0,bottom_before_top_or_middle,396.0,51.0,66.0,bottom_before_top_or_middle,576.0,66.0,81.0,bottom_before_top_or_middle,711.0,66.0,81.0,bottom_before_top_or_middle,True,True,False
2026,2026-04-21_S3_S4_ed1ed131,S3,M,51.0,51.0,66.0,6→12→18,True,expected,51.0,51.0,66.0,6→12→18,True,expected,,False,False,14.178,19.289,20.322,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",111.0,51.0,36.0,bottom_before_top_or_middle,156.0,51.0,51.0,bottom_before_top_or_middle,336.0,51.0,66.0,bottom_before_top_or_middle,396.0,51.0,66.0,bottom_before_top_or_middle,576.0,66.0,81.0,bottom_before_top_or_middle,711.0,66.0,81.0,bottom_before_top_or_middle,True,True,False
2026,2026-04-21_S3_S4_ed1ed131,S3,T,111.0,336.0,576.0,6→12→18,True,expected,156.0,396.0,711.0,6→12→18,True,expected,,False,False,18.45,25.154,42.624,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",111.0,51.0,36.0,bottom_before_top_or_middle,156.0,51.0,51.0,bottom_before_top_or_middle,336.0,51.0,66.0,bottom_before_top_or_middle,396.0,51.0,66.0,bottom_before_top_or_middle,576.0,66.0,81.0,bottom_before_top_or_middle,711.0,66.0,81.0,bottom_before_top_or_middle,True,True,False
2026,2026-04-21_S3_S4_ed1ed131,S4,B,636.0,741.0,816.0,6→12→18,True,expected,621.0,801.0,876.0,6→12→18,True,expected,,False,False,22.004,24.97,17.566,False,,81.0,186.0,636.0,expected,81.0,186.0,621.0,expected,81.0,186.0,741.0,expected,81.0,186.0,801.0,expected,81.0,216.0,816.0,expected,81.0,216.0,876.0,expected,False,False,False
