year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,baseline_vwc,arrival_threshold_vwc,arrival_time,arrival_vwc,arrival_minutes_after_irrigation_start,arrival_before_irrigation_start,gallons_strip,event_duration_hours,alt_arrival_threshold_vwc,alt_arrival_time,alt_arrival_vwc,alt_arrival_step_vwc,alt_arrival_minutes_after_irrigation_start,alt_arrival_before_irrigation_start
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S1_B,1,6,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,14.726,0.25,2026-04-22 00:15:00,15.271,561.0,False,110850.0,17.967,0.5,2026-04-22 01:15:00,16.985,0.878,621.0,False
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S1_B,2,12,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,13.032,0.25,2026-04-22 02:00:00,13.345,666.0,False,110850.0,17.967,0.5,2026-04-22 02:30:00,14.149,0.646,696.0,False
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S1_B,3,18,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,11.924,0.25,2026-04-22 03:30:00,12.218,756.0,False,110850.0,17.967,0.5,2026-04-22 03:45:00,13.091,0.873,771.0,False
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S1_M,1,6,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,16.398,0.25,2026-04-21 19:30:00,17.181,276.0,False,110850.0,17.967,0.5,2026-04-21 20:30:00,21.032,3.32,336.0,False
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S1_M,2,12,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,18.182,0.25,2026-04-21 21:00:00,18.583,366.0,False,110850.0,17.967,0.5,2026-04-21 21:15:00,20.972,2.389,381.0,False
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S1_M,3,18,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,32.542,0.25,2026-04-21 21:45:00,33.152,411.0,False,110850.0,17.967,0.5,2026-04-21 21:45:00,33.152,0.657,411.0,False
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S1_T,1,6,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,24.582,0.25,2026-04-21 16:30:00,27.258,96.0,False,110850.0,17.967,0.5,2026-04-21 16:30:00,27.258,2.527,96.0,False
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S1_T,2,12,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,22.125,0.25,2026-04-21 16:30:00,22.525,96.0,False,110850.0,17.967,0.5,2026-04-21 16:45:00,25.307,2.782,111.0,False
2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S1_T,3,18,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,27.367,0.25,2026-04-21 16:30:00,28.506,96.0,False,110850.0,17.967,0.5,2026-04-21 16:30:00,28.506,1.193,96.0,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S2_B,1,6,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,9.74,0.25,2026-04-21 18:45:00,10.295,231.0,False,110850.0,17.967,0.5,2026-04-21 19:30:00,13.012,2.222,276.0,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S2_B,2,12,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,9.156,0.25,2026-04-21 19:00:00,11.206,246.0,False,110850.0,17.967,0.5,2026-04-21 19:00:00,11.206,1.922,246.0,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S2_B,3,18,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,8.516,0.25,2026-04-21 19:00:00,12.368,246.0,False,110850.0,17.967,0.5,2026-04-21 19:00:00,12.368,4.007,246.0,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S2_M,1,6,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,15.58,0.25,2026-04-21 16:45:00,16.091,111.0,False,110850.0,17.967,0.5,2026-04-21 17:00:00,26.491,10.4,126.0,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S2_M,2,12,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,16.458,0.25,2026-04-21 16:45:00,17.697,111.0,False,110850.0,17.967,0.5,2026-04-21 16:45:00,17.697,1.335,111.0,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S2_M,3,18,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,18.523,0.25,2026-04-21 16:45:00,21.559,111.0,False,110850.0,17.967,0.5,2026-04-21 16:45:00,21.559,3.242,111.0,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S2_T,1,6,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,10.742,0.25,,,,,110850.0,17.967,0.5,2026-04-21 14:15:00,33.687,22.94,-39.0,True
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S2_T,2,12,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,20.809,0.25,,,,,110850.0,17.967,0.5,2026-04-21 14:15:00,37.639,16.847,-39.0,True
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S2_T,3,18,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,30.422,0.25,,,,,110850.0,17.967,0.5,2026-04-21 14:15:00,34.545,4.122,-39.0,True
