year,strip,event_id,logger_position,irrigation_start,irrigation_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,alt_arrival_minutes_after_irrigation_start_6in,alt_arrival_minutes_after_irrigation_start_12in,alt_arrival_minutes_after_irrigation_start_18in,alt_arrival_vwc_6in,alt_arrival_vwc_12in,alt_arrival_vwc_18in,arrival_minutes_after_irrigation_start_6in,arrival_minutes_after_irrigation_start_12in,arrival_minutes_after_irrigation_start_18in,arrival_vwc_6in,arrival_vwc_12in,arrival_vwc_18in,peak_vwc_6in,peak_vwc_12in,peak_vwc_18in,pre_vwc_6in,pre_vwc_12in,pre_vwc_18in,pre_profile_vwc_mean,pre_profile_vwc_min,pre_profile_vwc_max,delta_vwc_6in,delta_vwc_12in,delta_vwc_18in,delta_profile_vwc_mean,first_arrival_min,last_arrival_min,vertical_spread_min,distance_from_furrow_start_ft,vertical_velocity_6_to_12_in_per_min,vertical_velocity_12_to_18_in_per_min,vertical_velocity_6_to_18_in_per_min
2024.00,S3,2024-04-19_S3_S4_c5bf8374,B,2024-04-19 14:14:00,2024-04-19 21:33:00,7.32,54875.00,7500.00,106.0,121.0,136.0,14.06,15.98,14.13,106.0,121.0,136.0,14.06,15.98,14.13,35.06,31.85,27.54,10.69,12.54,9.02,10.75,9.02,12.54,24.37,19.31,18.52,20.73,106.0,136.0,30.0,284.00,0.40,0.40,0.40
2024.00,S3,2024-04-19_S3_S4_c5bf8374,M,2024-04-19 14:14:00,2024-04-19 21:33:00,7.32,54875.00,7500.00,571.0,571.0,601.0,14.46,23.03,22.10,571.0,571.0,601.0,14.46,23.03,22.10,42.54,35.81,35.44,12.87,18.92,16.86,16.22,12.87,18.92,29.67,16.89,18.58,21.71,571.0,601.0,30.0,169.00,,0.20,0.40
2024.00,S3,2024-04-19_S3_S4_c5bf8374,T,2024-04-19 14:14:00,2024-04-19 21:33:00,7.32,54875.00,7500.00,106.0,166.0,211.0,13.31,22.57,26.37,76.0,166.0,196.0,12.63,22.57,25.32,40.12,35.76,43.95,12.34,16.94,24.68,17.99,12.34,24.68,27.78,18.82,19.27,21.95,76.0,196.0,120.0,54.00,0.07,0.20,0.10
2024.00,S4,2024-04-19_S3_S4_c5bf8374,B,2024-04-19 14:14:00,2024-04-19 21:33:00,7.32,54875.00,7500.00,,,496.0,,,14.87,,,481.0,,,14.35,8.75,21.70,19.15,8.19,20.76,13.87,14.27,8.19,20.76,0.56,0.94,5.28,2.26,481.0,481.0,0.0,284.00,,,
2024.00,S4,2024-04-19_S3_S4_c5bf8374,M,2024-04-19 14:14:00,2024-04-19 21:33:00,7.32,54875.00,7500.00,271.0,376.0,466.0,8.73,9.37,10.69,241.0,361.0,466.0,7.88,8.34,10.69,34.84,29.41,22.85,7.61,7.62,9.22,8.15,7.61,9.22,27.23,21.79,13.64,20.89,241.0,466.0,225.0,169.00,0.05,0.06,0.05
2024.00,S4,2024-04-19_S3_S4_c5bf8374,T,2024-04-19 14:14:00,2024-04-19 21:33:00,7.32,54875.00,7500.00,46.0,46.0,61.0,14.02,15.62,33.49,46.0,46.0,46.0,14.02,15.62,20.01,43.64,39.64,38.85,8.06,13.67,19.76,13.83,8.06,19.76,35.58,25.97,19.09,26.88,46.0,46.0,0.0,54.00,,,
2024.00,S1,2024-04-20_S1_S2_5f2fb725,B,2024-04-20 10:11:00,2024-04-20 17:54:00,7.72,62950.00,8157.67,529.0,589.0,484.0,25.76,30.83,24.27,454.0,469.0,469.0,23.64,28.10,23.77,52.41,49.27,45.64,22.93,27.19,23.27,24.46,22.93,27.19,29.48,22.08,22.37,24.64,454.0,469.0,15.0,284.00,0.40,,0.80
2024.00,S1,2024-04-20_S1_S2_5f2fb725,M,2024-04-20 10:11:00,2024-04-20 17:54:00,7.72,62950.00,8157.67,184.0,259.0,289.0,13.71,16.46,23.42,139.0,214.0,304.0,11.86,15.31,24.95,41.14,37.20,39.21,11.07,14.99,23.33,16.46,11.07,23.33,30.07,22.21,15.89,22.72,139.0,304.0,165.0,169.00,0.08,0.07,0.07
2024.00,S1,2024-04-20_S1_S2_5f2fb725,T,2024-04-20 10:11:00,2024-04-20 17:54:00,7.72,62950.00,8157.67,34.0,34.0,34.0,27.96,26.07,35.06,34.0,34.0,34.0,27.96,26.07,35.06,42.63,42.18,45.09,14.49,13.42,16.30,14.74,13.42,16.30,28.14,28.76,28.79,28.56,34.0,34.0,0.0,54.00,,,
2024.00,S2,2024-04-20_S1_S2_5f2fb725,B,2024-04-20 10:11:00,2024-04-20 17:54:00,7.72,62950.00,8157.67,199.0,139.0,139.0,10.33,8.65,16.05,154.0,139.0,139.0,9.12,8.65,16.05,39.84,35.87,39.31,8.69,7.30,9.25,8.41,7.30,9.25,31.16,28.57,30.06,29.93,139.0,154.0,15.0,284.00,,,
2024.00,S2,2024-04-20_S1_S2_5f2fb725,M,2024-04-20 10:11:00,2024-04-20 17:54:00,7.72,62950.00,8157.67,79.0,79.0,79.0,27.51,20.94,16.02,79.0,79.0,79.0,27.51,20.94,16.02,39.19,36.51,35.02,11.69,12.97,13.29,12.65,11.69,13.29,27.50,23.54,21.73,24.26,79.0,79.0,0.0,169.00,,,
2024.00,S2,2024-04-20_S1_S2_5f2fb725,T,2024-04-20 10:11:00,2024-04-20 17:54:00,7.72,62950.00,8157.67,79.0,79.0,79.0,18.98,23.88,26.95,79.0,79.0,79.0,18.98,23.88,26.95,44.49,42.47,38.88,12.45,17.83,24.84,18.37,12.45,24.84,32.04,24.64,14.03,23.57,79.0,79.0,0.0,54.00,,,
2024.00,S3,2024-05-03_S3_S4_13e4749a,B,2024-05-03 08:37:00,2024-05-03 15:28:00,6.85,44600.00,6510.95,98.0,98.0,113.0,28.18,24.84,18.62,98.0,98.0,113.0,28.18,24.84,18.62,34.45,32.15,29.44,21.00,23.13,13.11,19.08,13.11,23.13,13.45,9.01,16.33,12.93,98.0,113.0,15.0,284.00,,0.40,0.80
2024.00,S3,2024-05-03_S3_S4_13e4749a,M,2024-05-03 08:37:00,2024-05-03 15:28:00,6.85,44600.00,6510.95,533.0,518.0,533.0,26.47,22.94,22.56,533.0,518.0,533.0,26.47,22.94,22.56,42.16,36.24,37.53,19.61,22.21,21.23,21.02,19.61,22.21,22.55,14.03,16.30,17.63,518.0,533.0,15.0,169.00,,0.40,
2024.00,S3,2024-05-03_S3_S4_13e4749a,T,2024-05-03 08:37:00,2024-05-03 15:28:00,6.85,44600.00,6510.95,68.0,68.0,83.0,24.78,30.73,34.51,68.0,68.0,68.0,24.78,30.73,32.70,39.30,37.35,45.76,16.16,25.02,32.41,24.53,16.16,32.41,23.14,12.33,13.35,16.28,68.0,68.0,0.0,54.00,,,
2024.00,S4,2024-05-03_S3_S4_13e4749a,M,2024-05-03 08:37:00,2024-05-03 15:28:00,6.85,44600.00,6510.95,83.0,98.0,128.0,18.98,24.63,28.14,83.0,98.0,128.0,18.98,24.63,28.14,38.23,35.10,33.67,15.25,16.77,20.96,17.66,15.25,20.96,22.98,18.32,12.71,18.01,83.0,128.0,45.0,169.00,0.40,0.20,0.27
2024.00,S4,2024-05-03_S3_S4_13e4749a,T,2024-05-03 08:37:00,2024-05-03 15:28:00,6.85,44600.00,6510.95,23.0,38.0,38.0,16.91,39.47,38.24,23.0,38.0,38.0,16.91,39.47,38.24,43.38,41.64,39.40,15.91,20.89,26.11,20.97,15.91,26.11,27.47,20.75,13.29,20.50,23.0,38.0,15.0,54.00,0.40,,0.80
2024.00,S1,2024-05-11_S1_S2_4c1cd284,B,2024-05-11 06:55:00,2024-05-11 16:18:00,9.38,66500.00,7087.03,,,,,,,530.0,,,33.90,,,35.54,38.99,36.85,33.41,38.78,36.66,36.28,33.41,38.78,2.13,0.21,0.19,0.84,530.0,530.0,0.0,284.00,,,
2024.00,S1,2024-05-11_S1_S2_4c1cd284,M,2024-05-11 06:55:00,2024-05-11 16:18:00,9.38,66500.00,7087.03,1640.0,1715.0,,15.73,19.30,,1640.0,1715.0,,15.73,19.30,,14.93,18.71,32.80,14.92,18.75,32.77,22.15,14.92,32.77,0.01,-0.04,0.03,0.00,1640.0,1715.0,75.0,169.00,0.08,,
2024.00,S1,2024-05-11_S1_S2_4c1cd284,T,2024-05-11 06:55:00,2024-05-11 16:18:00,9.38,66500.00,7087.03,1475.0,1475.0,1460.0,29.70,24.45,31.03,1475.0,1475.0,1460.0,29.70,24.45,31.03,17.45,17.46,26.51,17.50,17.48,26.50,20.49,17.48,26.50,-0.05,-0.02,0.01,-0.02,1460.0,1475.0,15.0,54.00,,,
2024.00,S2,2024-05-11_S1_S2_4c1cd284,B,2024-05-11 06:55:00,2024-05-11 16:18:00,9.38,66500.00,7087.03,,1700.0,1715.0,,11.71,18.85,1745.0,1700.0,1715.0,10.20,11.71,18.85,9.79,11.27,18.18,9.62,11.24,18.17,13.01,9.62,18.17,0.17,0.03,0.01,0.07,1700.0,1745.0,45.0,284.00,,0.40,
2024.00,S2,2024-05-11_S1_S2_4c1cd284,M,2024-05-11 06:55:00,2024-05-11 16:18:00,9.38,66500.00,7087.03,1505.0,1520.0,1520.0,15.96,22.66,25.93,1505.0,1520.0,1520.0,15.96,22.66,25.93,12.04,13.68,21.69,11.84,13.65,21.65,15.71,11.84,21.65,0.20,0.03,0.04,0.09,1505.0,1520.0,15.0,169.00,0.40,,0.80
2024.00,S2,2024-05-11_S1_S2_4c1cd284,T,2024-05-11 06:55:00,2024-05-11 16:18:00,9.38,66500.00,7087.03,1520.0,1520.0,1520.0,26.34,28.77,29.08,1520.0,1520.0,1520.0,26.34,28.77,29.08,13.25,17.75,25.49,12.97,17.73,25.42,18.71,12.97,25.42,0.27,0.02,0.07,0.12,1520.0,1520.0,0.0,54.00,,,
2024.00,S3,2024-05-17_S3_S4_09c73fc7,B,2024-05-17 13:31:00,2024-05-17 19:09:00,5.63,47550.00,8440.83,89.0,104.0,119.0,25.24,26.65,19.70,89.0,104.0,119.0,25.24,26.65,19.70,34.40,32.20,27.54,19.77,23.05,13.00,18.61,13.00,23.05,14.63,9.14,14.54,12.77,89.0,119.0,30.0,284.00,0.40,0.40,0.40
2024.00,S3,2024-05-17_S3_S4_09c73fc7,M,2024-05-17 13:31:00,2024-05-17 19:09:00,5.63,47550.00,8440.83,524.0,524.0,524.0,26.05,32.83,23.38,524.0,524.0,524.0,26.05,32.83,23.38,43.48,36.65,37.83,18.67,22.27,22.05,21.00,18.67,22.27,24.81,14.38,15.78,18.32,524.0,524.0,0.0,169.00,,,
