year,strip,event_id,depth_inches,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,distance_T_ft,distance_M_ft,distance_B_ft,arrival_T_min,arrival_M_min,arrival_B_min,T_to_M_min,M_to_B_min,T_to_B_min,T_to_M_ft_per_min,M_to_B_ft_per_min,T_to_B_ft_per_min,alt_arrival_T_min,alt_arrival_M_min,alt_arrival_B_min,alt_T_to_M_min,alt_M_to_B_min,alt_T_to_B_min,alt_T_to_M_ft_per_min,alt_M_to_B_ft_per_min,alt_T_to_B_ft_per_min
2023.00,S1,2023-05-23_S1_S2_176caf9a,6.00,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,54.00,169.00,284.00,5.00,140.00,,135.00,,,0.85,,,-85.00,140.00,5.00,225.00,-135.00,90.00,0.51,,2.56
2023.00,S1,2023-05-23_S1_S2_176caf9a,12.00,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,54.00,169.00,284.00,20.00,245.00,,225.00,,,0.51,,,35.00,245.00,,210.00,,,0.55,,
2023.00,S1,2023-05-23_S1_S2_176caf9a,18.00,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,54.00,169.00,284.00,35.00,365.00,5.00,330.00,-360.00,-30.00,0.35,,,-85.00,365.00,5.00,450.00,-360.00,90.00,0.26,,2.56
2023.00,S2,2023-05-23_S1_S2_176caf9a,6.00,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,54.00,169.00,284.00,140.00,5.00,50.00,-135.00,45.00,-90.00,,2.56,,-235.00,-340.00,-415.00,-105.00,-75.00,-180.00,,,
2023.00,S2,2023-05-23_S1_S2_176caf9a,12.00,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,54.00,169.00,284.00,140.00,50.00,80.00,-90.00,30.00,-60.00,,3.83,,-235.00,-340.00,80.00,-105.00,420.00,315.00,,0.27,0.73
2023.00,S2,2023-05-23_S1_S2_176caf9a,18.00,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,,169.00,284.00,,110.00,110.00,,0.00,,,,,,-340.00,110.00,,450.00,,,0.26,
2023.00,S3,2023-05-24_S3_S4_31cada45,6.00,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.00,3.90,,169.00,284.00,,605.00,230.00,,-375.00,,,,,,605.00,230.00,,-375.00,,,,
2023.00,S3,2023-05-24_S3_S4_31cada45,12.00,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.00,3.90,54.00,169.00,284.00,35.00,680.00,275.00,645.00,-405.00,240.00,0.18,,0.96,65.00,-580.00,290.00,-645.00,870.00,225.00,,0.13,1.02
2023.00,S3,2023-05-24_S3_S4_31cada45,18.00,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.00,3.90,54.00,169.00,284.00,140.00,740.00,365.00,600.00,-375.00,225.00,0.19,,1.02,185.00,740.00,380.00,555.00,-360.00,195.00,0.21,,1.18
2023.00,S4,2023-05-24_S3_S4_31cada45,6.00,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.00,3.90,54.00,169.00,284.00,20.00,125.00,365.00,105.00,240.00,345.00,1.10,0.48,0.67,35.00,140.00,380.00,105.00,240.00,345.00,1.10,0.48,0.67
