flag_pre_start_response,flag_unexplained_pre_start_response,likely_precip_driven_pre_start_response,possible_battery_or_logger_issue,year,strip_group,location,strip,event_id,sensor_col,logger_position,depth_index,depth_inches,irrigation_start,irrigation_end,window_start,first_vwc,last_pre_start_vwc,max_pre_start_vwc,max_pre_start_time,pre_start_increase,last_minus_first,threshold,vwc_missing_fraction_pre_start_window,precip_col,precip_threshold_in,total_precip_in_pre_start_window,max_precip_in_pre_start_window,battery_col,flag_battery_low_pre_start,flag_battery_out_of_range_pre_start,flag_battery_low_event,flag_battery_out_of_range_event,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,event_duration_hours,gallons_strip,first_precip_time_pre_start_window,last_precip_time_pre_start_window,battery_pre_start_min_v,battery_pre_start_median_v,battery_pre_start_max_v,battery_pre_start_low_count,battery_pre_start_high_count,battery_pre_start_out_of_range_count,battery_pre_start_out_of_range_fraction,battery_event_min_v,battery_event_median_v,battery_event_max_v,battery_event_low_count,battery_event_high_count,battery_event_out_of_range_count,battery_event_out_of_range_fraction
True,True,False,False,2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_1_raw_S1_B,B,1,6,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 09:25:00,13.433,14.821,14.821,2023-05-23 15:15:00,1.388,1.388,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,23.8333,23.8333,28.8333,3.9,72500.0,,,,,,,,,,,,,,,,
True,True,False,False,2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_2_raw_S1_B,B,2,12,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 09:25:00,15.982,16.25,16.699,2023-05-23 14:00:00,0.717,0.268,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,0.8333,0.8333,2.3333,3.9,72500.0,,,,,,,,,,,,,,,,
True,True,False,False,2023,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_1_raw_S2_B,B,1,6,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 09:25:00,7.534,8.945,8.955,2023-05-23 15:00:00,1.421,1.411,0.5,0.0833,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,5.5833,5.5833,17.0833,3.9,72500.0,,,,,,,,,,,,,,,,
True,True,False,False,2023,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_2_raw_S2_B,B,2,12,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 09:25:00,6.553,7.749,7.757,2023-05-23 15:00:00,1.204,1.196,0.5,0.0833,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,6.0833,6.0833,13.0833,3.9,72500.0,,,,,,,,,,,,,,,,
True,True,False,False,2023,S3_S4,east,S4,2023-07-17_S3_S4_a04fe807,VWC_1_raw_S4_B,B,1,6,2023-07-17 19:19:00,2023-07-18 05:53:00,2023-07-17 13:19:00,7.789,8.285,8.299,2023-07-17 18:15:00,0.51,0.496,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S4_B,False,False,False,False,13.6833,13.6833,17.6833,10.5667,80450.0,,,,,,,,,,,,,,,,
False,False,False,True,2023,S3_S4,east,S4,2023-07-27_S3_S4_89a0fecc,VWC_1_raw_S4_B,B,1,6,2023-07-27 10:00:00,2023-07-27 17:29:00,2023-07-27 04:00:00,7.88,7.882,7.882,2023-07-27 10:00:00,0.002,0.002,0.5,0.88,precip_in,0.01,0.0,0.0,BattV_Min_S4_B,False,False,False,False,8.25,8.25,8.5,7.4833,25200.0,,,,,,,,,,,,,,,,
False,False,False,True,2023,S3_S4,east,S4,2023-07-27_S3_S4_89a0fecc,VWC_2_raw_S4_B,B,2,12,2023-07-27 10:00:00,2023-07-27 17:29:00,2023-07-27 04:00:00,28.058,28.03,28.099,2023-07-27 09:45:00,0.041,-0.028,0.5,0.88,precip_in,0.01,0.0,0.0,BattV_Min_S4_B,False,False,False,False,0.75,0.75,,7.4833,25200.0,,,,,,,,,,,,,,,,
False,False,False,True,2023,S3_S4,east,S4,2023-07-27_S3_S4_89a0fecc,VWC_3_raw_S4_B,B,3,18,2023-07-27 10:00:00,2023-07-27 17:29:00,2023-07-27 04:00:00,20.044,20.042,20.064,2023-07-27 09:45:00,0.02,-0.002,0.5,0.88,precip_in,0.01,0.0,0.0,BattV_Min_S4_B,False,False,False,False,0.0,0.0,,7.4833,25200.0,,,,,,,,,,,,,,,,
False,False,False,True,2023,S3_S4,east,S4,2023-08-24_S3_S4_a4b6ae2a,VWC_1_raw_S4_B,B,1,6,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,7.48,7.577,7.589,2023-08-24 13:00:00,0.109,0.097,0.5,0.375,precip_in,0.01,0.0,0.0,BattV_Min_S4_B,False,False,False,False,3.7167,3.7167,,4.4833,30125.0,,,,,,,,,,,,,,,,
False,False,False,True,2023,S3_S4,east,S4,2023-08-24_S3_S4_a4b6ae2a,VWC_2_raw_S4_B,B,2,12,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,26.98,26.855,26.999,2023-08-24 10:45:00,0.019,-0.125,0.5,0.375,precip_in,0.01,0.0,0.0,BattV_Min_S4_B,False,False,False,False,0.2167,0.2167,,4.4833,30125.0,,,,,,,,,,,,,,,,
