year,strip_group,location,strip,event_id,sensor_col,logger_position,depth_index,depth_inches,irrigation_start,irrigation_end,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,event_duration_hours,gallons_strip,flag_pre_start_response,flag_unexplained_pre_start_response,likely_precip_driven_pre_start_response,possible_battery_or_logger_issue,vwc_missing_fraction_pre_start_window,battery_col,total_precip_in_pre_start_window,trustworthy_event,trustworthy_reason,trustworthy_min_bottom_response_delay_hr,battery_pre_start_min_v,battery_event_min_v
2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_3_raw_S1_B,B,3,18,2023-05-23 15:25:00,2023-05-23 19:19:00,23.8333,23.8333,25.0833,3.9,72500.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,VWC_1_raw_S1_B,B,1,6,2023-06-01 11:16:08,2023-06-01 18:45:00,8.2311,8.2311,18.2311,7.4811,33650.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,VWC_2_raw_S1_B,B,2,12,2023-06-01 11:16:08,2023-06-01 18:45:00,8.9811,8.9811,,7.4811,33650.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,VWC_3_raw_S1_B,B,3,18,2023-06-01 11:16:08,2023-06-01 18:45:00,13.2311,13.2311,,7.4811,33650.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_1_raw_S1_B,B,1,6,2023-06-26 09:31:00,2023-06-26 16:02:00,9.2333,9.2333,9.4833,6.5167,44700.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_2_raw_S1_B,B,2,12,2023-06-26 09:31:00,2023-06-26 16:02:00,13.9833,13.9833,14.9833,6.5167,44700.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_2_raw_S1_B,B,2,12,2023-07-17 08:04:00,2023-07-17 16:04:00,23.9333,23.9333,27.9333,8.0,60450.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_3_raw_S1_B,B,3,18,2023-07-17 08:04:00,2023-07-17 16:04:00,23.9333,23.9333,27.9333,8.0,60450.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_1_raw_S1_B,B,1,6,2023-08-05 08:48:00,2023-08-05 14:56:00,11.95,11.95,,6.1333,49250.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_2_raw_S1_B,B,2,12,2023-08-05 08:48:00,2023-08-05 14:56:00,22.95,22.95,24.45,6.1333,49250.0,False,False,False,False,0.0,BattV_Min_S1_B,0.0,True,ok,0.5,,
