event_id,strip,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,workbook_start_flow_gpm,workbook_end_flow_gpm,calculated_avg_flow_gpm_group,flow_rate_comparison_status,output_file,status,logger_position_requested
2024-04-20_S1_S2_5f2fb725,S1,T,2024-04-20 10:11:00,2024-04-20 17:54:00,2024-04-19 22:11:00,2024-04-21 16:11:00,7.72,62950.0,8157.7,,,271.9,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-04-20_1011_S1_T_event_2024-04-20_S1_S2_5f2fb725.png,written,T
2024-05-11_S1_S2_4c1cd284,S1,T,2024-05-11 06:55:00,2024-05-11 16:18:00,2024-05-10 18:55:00,2024-05-12 12:55:00,9.38,66500.0,7087.0,,,236.2,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-05-11_0655_S1_T_event_2024-05-11_S1_S2_4c1cd284.png,written,T
2024-06-01_S1_S2_ef46e32f,S1,T,2024-06-01 18:05:00,2024-06-02 07:46:00,2024-06-01 06:05:00,2024-06-03 00:05:00,13.68,81250.0,5937.9,,,197.9,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-06-01_1805_S1_T_event_2024-06-01_S1_S2_ef46e32f.png,written,T
2024-06-22_S1_S2_e95bd875,S1,T,2024-06-22 08:00:00,2024-06-22 15:49:00,2024-06-21 20:00:00,2024-06-23 14:00:00,7.82,47100.0,6025.6,,,200.9,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-06-22_0800_S1_T_event_2024-06-22_S1_S2_e95bd875.png,written,T
2024-07-20_S1_S2_6d735351,S1,T,2024-07-20 08:54:00,2024-07-20 17:43:00,2024-07-19 20:54:00,2024-07-21 14:54:00,8.82,55550.0,6300.6,,,210.0,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-07-20_0854_S1_T_event_2024-07-20_S1_S2_6d735351.png,written,T
2024-08-10_S1_S2_de427086,S1,T,2024-08-10 08:50:00,2024-08-10 20:38:00,2024-08-09 20:50:00,2024-08-11 14:50:00,11.8,84700.0,7178.0,,,239.3,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-08-10_0850_S1_T_event_2024-08-10_S1_S2_de427086.png,written,T
2024-09-07_S1_S2_b15b9a0a,S1,T,2024-09-07 08:23:00,2024-09-07 16:16:00,2024-09-06 20:23:00,2024-09-08 14:23:00,7.88,53000.0,6723.0,,,224.1,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-09-07_0823_S1_T_event_2024-09-07_S1_S2_b15b9a0a.png,written,T
2024-04-20_S1_S2_5f2fb725,S2,T,2024-04-20 10:11:00,2024-04-20 17:54:00,2024-04-19 22:11:00,2024-04-21 16:11:00,7.72,62950.0,8157.7,,,271.9,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-04-20_1011_S2_T_event_2024-04-20_S1_S2_5f2fb725.png,written,T
2024-05-11_S1_S2_4c1cd284,S2,T,2024-05-11 06:55:00,2024-05-11 16:18:00,2024-05-10 18:55:00,2024-05-12 12:55:00,9.38,66500.0,7087.0,,,236.2,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-05-11_0655_S2_T_event_2024-05-11_S1_S2_4c1cd284.png,written,T
2024-06-01_S1_S2_ef46e32f,S2,T,2024-06-01 18:05:00,2024-06-02 07:46:00,2024-06-01 06:05:00,2024-06-03 00:05:00,13.68,81250.0,5937.9,,,197.9,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2024-06-01_1805_S2_T_event_2024-06-01_S1_S2_ef46e32f.png,written,T
