event_id,strip,depth_index,depth_inches,irrigation_start,irrigation_end,plot_start,plot_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,output_file,status
2023-05-23_S1_S2_176caf9a,S1,1,6,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 03:25:00,2023-05-24 21:25:00,3.9,72500.0,18589.7436,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-05-23_1525_S1_6in_locations_event_2023-05-23_S1_S2_176caf9a.png,written
2023-06-01_S1_S2_5b27ce31,S1,1,6,2023-06-01 11:16:08,2023-06-01 18:45:00,2023-05-31 23:16:08,2023-06-02 17:16:08,7.4811,33650.0,4497.995,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-06-01_1116_S1_6in_locations_event_2023-06-01_S1_S2_5b27ce31.png,written
2023-06-26_S1_S2_69e5d9b6,S1,1,6,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-25 21:31:00,2023-06-27 15:31:00,6.5167,44700.0,6859.335,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-06-26_0931_S1_6in_locations_event_2023-06-26_S1_S2_69e5d9b6.png,written
2023-07-17_S1_S2_ae0a89b4,S1,1,6,2023-07-17 08:04:00,2023-07-17 16:04:00,2023-07-16 20:04:00,2023-07-18 14:04:00,8.0,60450.0,7556.25,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-07-17_0804_S1_6in_locations_event_2023-07-17_S1_S2_ae0a89b4.png,written
2023-08-05_S1_S2_efaa9d14,S1,1,6,2023-08-05 08:48:00,2023-08-05 14:56:00,2023-08-04 20:48:00,2023-08-06 14:48:00,6.1333,49250.0,8029.8913,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-08-05_0848_S1_6in_locations_event_2023-08-05_S1_S2_efaa9d14.png,written
2023-08-24_S1_S2_6cc99259,S1,1,6,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 01:47:00,2023-08-25 19:47:00,4.4833,30125.0,6719.3309,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-08-24_1347_S1_6in_locations_event_2023-08-24_S1_S2_6cc99259.png,written
2023-09-21_S1_S2_6dbb0789,S1,1,6,2023-09-21 09:07:00,2023-09-21 16:09:00,2023-09-20 21:07:00,2023-09-22 15:07:00,7.0333,37650.0,5353.0806,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-09-21_0907_S1_6in_locations_event_2023-09-21_S1_S2_6dbb0789.png,written
2023-05-23_S1_S2_176caf9a,S2,1,6,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 03:25:00,2023-05-24 21:25:00,3.9,72500.0,18589.7436,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-05-23_1525_S2_6in_locations_event_2023-05-23_S1_S2_176caf9a.png,written
2023-06-01_S1_S2_5b27ce31,S2,1,6,2023-06-01 11:16:08,2023-06-01 18:45:00,2023-05-31 23:16:08,2023-06-02 17:16:08,7.4811,33650.0,4497.995,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-06-01_1116_S2_6in_locations_event_2023-06-01_S1_S2_5b27ce31.png,written
2023-06-26_S1_S2_69e5d9b6,S2,1,6,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-25 21:31:00,2023-06-27 15:31:00,6.5167,44700.0,6859.335,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-06-26_0931_S2_6in_locations_event_2023-06-26_S1_S2_69e5d9b6.png,written
