year,date,pair,regime,event_id,biochar,control,applied_gal,bio_storage_ok,ctrl_storage_ok,matched_storage_ok,bio_storage_gal,ctrl_storage_gal,storage_diff_gal,bio_storage_pct,ctrl_storage_pct,storage_diff_pct,matched_unretained_ok,bio_unretained_gal,ctrl_unretained_gal,unretained_diff_gal,bio_unretained_pct,ctrl_unretained_pct,unretained_diff_pct,bio_arrival_hr,ctrl_arrival_hr,arrival_diff_hr
2023,2023-05-23,S1_S2,monthly,2023-05-23_S1_S2_176caf9a,S1,S2,72500.00,False,False,False,,,,,,,False,,,,,,,,2.83,
2023,2023-06-01,S1_S2,monthly,2023-06-01_S1_S2_5b27ce31,S1,S2,33650.00,False,False,False,,,,,,,False,,,,,,,,7.23,
2023,2023-06-26,S1_S2,monthly,2023-06-26_S1_S2_69e5d9b6,S1,S2,44700.00,False,True,False,,38459.00,,,86.04,,False,,,,,,,,3.73,
2023,2023-07-17,S1_S2,monthly,2023-07-17_S1_S2_ae0a89b4,S1,S2,60450.00,False,True,False,,41815.00,,,69.17,,False,,,,,,,,3.43,
2023,2023-08-05,S1_S2,monthly,2023-08-05_S1_S2_efaa9d14,S1,S2,49250.00,False,True,False,,32585.00,,,66.16,,False,,,,,,,,2.70,
2023,2023-08-24,S1_S2,monthly,2023-08-24_S1_S2_6cc99259,S1,S2,30125.00,False,True,False,,29665.00,,,98.47,,False,,,,,,,,2.47,
2023,2023-09-21,S1_S2,monthly,2023-09-21_S1_S2_6dbb0789,S1,S2,37650.00,False,True,False,,34346.00,,,91.22,,False,,,,,,,,3.13,
2023,2023-05-24,S3_S4,biweekly,2023-05-24_S3_S4_31cada45,S3,S4,73300.00,False,False,False,,,,,,,False,,,,,,,2.58,5.08,-2.50
2023,2023-06-14,S3_S4,biweekly,2023-06-14_S3_S4_71ac748b,S3,S4,64100.00,False,True,False,,18521.00,,,28.89,,False,,,,,,,1.33,7.33,-6.00
2023,2023-07-17,S3_S4,biweekly,2023-07-17_S3_S4_a04fe807,S3,S4,80450.00,True,True,True,32199.00,23631.00,8568.00,40.02,29.37,10.65,False,,,,,,,1.18,,
2023,2023-08-10,S3_S4,biweekly,2023-08-10_S3_S4_7fce3d7b,S3,S4,52850.00,True,True,True,16300.00,21046.00,-4745.00,30.84,39.82,-8.98,True,36550.00,31804.00,4745.00,69.16,60.18,8.98,1.30,3.30,-2.00
2023,2023-08-24,S3_S4,biweekly,2023-08-24_S3_S4_a4b6ae2a,S3,S4,30125.00,True,False,False,24711.00,,,82.03,,,False,,,,,,,1.72,,
2024,2024-04-20,S1_S2,monthly,2024-04-20_S1_S2_5f2fb725,S1,S2,62950.00,True,True,True,33073.00,35319.00,-2246.00,52.54,56.11,-3.57,True,29877.00,27631.00,2246.00,47.46,43.89,3.57,8.57,4.57,4.00
2024,2024-06-01,S1_S2,monthly,2024-06-01_S1_S2_ef46e32f,S1,S2,81250.00,True,True,True,25599.00,44410.00,-18811.00,31.51,54.66,-23.15,False,,,,,,,4.42,4.92,-0.50
2024,2024-06-22,S1_S2,monthly,2024-06-22_S1_S2_e95bd875,S1,S2,47100.00,True,True,True,26229.00,36716.00,-10487.00,55.69,77.95,-22.26,True,20871.00,10384.00,10487.00,44.31,22.05,22.26,4.50,5.75,-1.25
2024,2024-07-20,S1_S2,monthly,2024-07-20_S1_S2_6d735351,S1,S2,55550.00,True,False,False,33349.00,,,60.03,,,False,,,,,,,6.60,6.35,0.25
2024,2024-08-10,S1_S2,monthly,2024-08-10_S1_S2_de427086,S1,S2,84700.00,False,True,False,,41092.00,,,48.51,,False,,,,,,,8.17,4.92,3.25
2024,2024-09-07,S1_S2,monthly,2024-09-07_S1_S2_b15b9a0a,S1,S2,53000.00,True,True,True,23285.00,31502.00,-8218.00,43.93,59.44,-15.51,True,29715.00,21498.00,8218.00,56.07,40.56,15.51,10.62,5.37,5.25
2024,2024-04-19,S3_S4,biweekly,2024-04-19_S3_S4_c5bf8374,S3,S4,54875.00,True,True,True,33579.00,22361.00,11218.00,61.19,40.75,20.44,True,21296.00,32514.00,-11218.00,38.81,59.25,-20.44,0.77,,
2024,2024-05-17,S3_S4,biweekly,2024-05-17_S3_S4_09c73fc7,S3,S4,47550.00,True,True,True,22057.00,18151.00,3905.00,46.39,38.17,8.22,True,25493.00,29399.00,-3905.00,53.61,61.83,-8.22,0.48,1.23,-0.75
2024,2024-06-28,S3_S4,biweekly,2024-06-28_S3_S4_14b9d993,S3,S4,39650.00,True,True,True,21305.00,16643.00,4663.00,53.73,41.97,11.76,True,18345.00,23007.00,-4663.00,46.27,58.03,-11.76,0.43,3.18,-2.75
