capacity_source,capacity_vwc,capacity_timestamp,event_id,year,strip,treatment,pair,logger_position,depth_index,depth_inches,sensor_col
precipitation,22.62,2024-03-04 12:30:00.000000000,precip_20240303_0930_20240304_1230,2024.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,18.46,2024-03-04 12:30:00.000000000,precip_20240303_0930_20240304_1230,2024.0,S3,biochar,S3_S4,M,1,6.0,VWC_1_raw_S3_M
precipitation,19.66,2024-03-04 12:30:00.000000000,precip_20240303_0930_20240304_1230,2024.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,22.84,2024-03-13 17:30:00.000000000,precip_20240313_0815_20240313_1730,2024.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,20.05,2024-03-13 17:30:00.000000000,precip_20240313_0815_20240313_1730,2024.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,18.3,2024-03-13 17:30:00.000000000,precip_20240313_0815_20240313_1730,2024.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,21.46,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S1,biochar,S1_S2,T,1,6.0,VWC_1_raw_S1_T
precipitation,16.06,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S1,biochar,S1_S2,M,1,6.0,VWC_1_raw_S1_M
precipitation,28.55,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,24.42,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,22.53,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S2,control,S1_S2,T,2,12.0,VWC_2_raw_S2_T
precipitation,19.55,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S2,control,S1_S2,M,1,6.0,VWC_1_raw_S2_M
precipitation,19.3,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S3,biochar,S3_S4,M,1,6.0,VWC_1_raw_S3_M
precipitation,21.13,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,19.42,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,13.92,2024-03-17 00:45:00.000000000,precip_20240316_1745_20240317_0045,2024.0,S4,control,S3_S4,M,1,6.0,VWC_1_raw_S4_M
precipitation,18.55,2024-03-26 19:30:00.000000000,precip_20240324_0715_20240326_1930,2024.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,25.84,2024-04-01 15:45:00.000000000,precip_20240329_1030_20240401_1545,2024.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,28.51,2024-04-01 15:45:00.000000000,precip_20240329_1030_20240401_1545,2024.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,25.24,2024-04-01 15:45:00.000000000,precip_20240329_1030_20240401_1545,2024.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,26.18,2024-04-27 21:00:00.000000000,precip_20240426_1230_20240427_2100,2024.0,S2,control,S1_S2,T,1,6.0,VWC_1_raw_S2_T
precipitation,23.05,2024-04-27 21:00:00.000000000,precip_20240426_1230_20240427_2100,2024.0,S2,control,S1_S2,B,1,6.0,VWC_1_raw_S2_B
precipitation,23.73,2024-04-27 21:00:00.000000000,precip_20240426_1230_20240427_2100,2024.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,20.78,2024-04-27 21:00:00.000000000,precip_20240426_1230_20240427_2100,2024.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,35.88,2024-05-06 04:15:00.000000000,precip_20240505_2300_20240506_0415,2024.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,34.16,2024-05-21 09:15:00.000000000,precip_20240520_2300_20240521_0915,2024.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,37.7,2024-05-21 09:15:00.000000000,precip_20240520_2300_20240521_0915,2024.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,35.74,2024-05-25 19:00:00.000000000,precip_20240525_1730_20240525_1900,2024.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,38.69,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S1,biochar,S1_S2,T,1,6.0,VWC_1_raw_S1_T
precipitation,31.62,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,31.01,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,27.01,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S2,control,S1_S2,T,1,6.0,VWC_1_raw_S2_T
precipitation,30.66,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S2,control,S1_S2,M,1,6.0,VWC_1_raw_S2_M
precipitation,27.64,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S2,control,S1_S2,B,1,6.0,VWC_1_raw_S2_B
precipitation,27.1,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S2,control,S1_S2,B,2,12.0,VWC_2_raw_S2_B
precipitation,31.42,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S3,biochar,S3_S4,T,1,6.0,VWC_1_raw_S3_T
precipitation,25.04,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S3,biochar,S3_S4,M,1,6.0,VWC_1_raw_S3_M
precipitation,25.74,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,26.04,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,25.16,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S4,control,S3_S4,M,1,6.0,VWC_1_raw_S4_M
precipitation,30.75,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,35.15,2024-08-13 12:45:00.000000000,precip_20240812_2230_20240813_1245,2024.0,S4,control,S3_S4,B,2,12.0,VWC_2_raw_S4_B
precipitation,23.4,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S1,biochar,S1_S2,M,3,18.0,VWC_3_raw_S1_M
precipitation,16.94,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,15.21,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,15.04,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,24.19,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S2,control,S1_S2,T,3,18.0,VWC_3_raw_S2_T
precipitation,26.26,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,23.83,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,23.4,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S4,control,S3_S4,M,1,6.0,VWC_1_raw_S4_M
precipitation,25.41,2024-10-30 07:15:00.000000000,precip_20241029_0615_20241030_0715,2024.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,27.28,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S1,biochar,S1_S2,M,3,18.0,VWC_3_raw_S1_M
precipitation,17.04,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,14.98,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,15.05,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,24.95,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S2,control,S1_S2,T,3,18.0,VWC_3_raw_S2_T
precipitation,9.46,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S2,control,S1_S2,M,3,18.0,VWC_3_raw_S2_M
precipitation,35.19,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S3,biochar,S3_S4,T,1,6.0,VWC_1_raw_S3_T
precipitation,26.08,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,25.51,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S3,biochar,S3_S4,B,2,12.0,VWC_2_raw_S3_B
precipitation,23.94,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,23.29,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S4,control,S3_S4,M,1,6.0,VWC_1_raw_S4_M
precipitation,25.61,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,28.95,2024-11-09 03:00:00.000000000,precip_20241103_1330_20241109_0300,2024.0,S4,control,S3_S4,B,2,12.0,VWC_2_raw_S4_B
precipitation,29.24,2024-11-27 11:00:00.000000000,precip_20241126_0145_20241127_1100,2024.0,S1,biochar,S1_S2,M,3,18.0,VWC_3_raw_S1_M
precipitation,15.0,2024-11-27 11:00:00.000000000,precip_20241126_0145_20241127_1100,2024.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,11.96,2024-11-27 11:00:00.000000000,precip_20241126_0145_20241127_1100,2024.0,S2,control,S1_S2,M,3,18.0,VWC_3_raw_S2_M
precipitation,38.19,2024-11-27 11:00:00.000000000,precip_20241126_0145_20241127_1100,2024.0,S3,biochar,S3_S4,T,3,18.0,VWC_3_raw_S3_T
precipitation,30.03,2024-11-27 11:00:00.000000000,precip_20241126_0145_20241127_1100,2024.0,S4,control,S3_S4,T,3,18.0,VWC_3_raw_S4_T
precipitation,33.1,2024-11-27 11:00:00.000000000,precip_20241126_0145_20241127_1100,2024.0,S4,control,S3_S4,B,3,18.0,VWC_3_raw_S4_B
precipitation,20.29,2025-03-03 18:15:00.000000000,precip_20250303_1200_20250303_1815,2025.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,23.29,2025-03-03 18:15:00.000000000,precip_20250303_1200_20250303_1815,2025.0,S3,biochar,S3_S4,M,1,6.0,VWC_1_raw_S3_M
precipitation,25.87,2025-03-03 18:15:00.000000000,precip_20250303_1200_20250303_1815,2025.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,24.73,2025-03-03 18:15:00.000000000,precip_20250303_1200_20250303_1815,2025.0,S3,biochar,S3_S4,B,2,12.0,VWC_2_raw_S3_B
precipitation,26.04,2025-03-03 18:15:00.000000000,precip_20250303_1200_20250303_1815,2025.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,28.68,2025-03-03 18:15:00.000000000,precip_20250303_1200_20250303_1815,2025.0,S4,control,S3_S4,T,2,12.0,VWC_2_raw_S4_T
precipitation,22.12,2025-03-03 18:15:00.000000000,precip_20250303_1200_20250303_1815,2025.0,S4,control,S3_S4,M,2,12.0,VWC_2_raw_S4_M
precipitation,25.3,2025-03-06 18:30:00.000000000,precip_20250306_1645_20250306_1830,2025.0,S1,biochar,S1_S2,T,1,6.0,VWC_1_raw_S1_T
precipitation,24.98,2025-03-06 18:30:00.000000000,precip_20250306_1645_20250306_1830,2025.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,19.98,2025-03-06 18:30:00.000000000,precip_20250306_1645_20250306_1830,2025.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,25.87,2025-03-06 18:30:00.000000000,precip_20250306_1645_20250306_1830,2025.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,25.88,2025-03-06 18:30:00.000000000,precip_20250306_1645_20250306_1830,2025.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,20.42,2025-03-18 14:15:00.000000000,precip_20250318_0845_20250318_1415,2025.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,22.46,2025-03-18 14:15:00.000000000,precip_20250318_0845_20250318_1415,2025.0,S3,biochar,S3_S4,M,1,6.0,VWC_1_raw_S3_M
precipitation,24.69,2025-03-18 14:15:00.000000000,precip_20250318_0845_20250318_1415,2025.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,24.23,2025-03-18 14:15:00.000000000,precip_20250318_0845_20250318_1415,2025.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,30.08,2025-05-06 20:30:00.000000000,precip_20250505_0030_20250506_2030,2025.0,S4,control,S3_S4,M,3,18.0,VWC_3_raw_S4_M
precipitation,32.21,2025-05-06 20:30:00.000000000,precip_20250505_0030_20250506_2030,2025.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,35.18,2025-05-06 20:30:00.000000000,precip_20250505_0030_20250506_2030,2025.0,S4,control,S3_S4,B,2,12.0,VWC_2_raw_S4_B
precipitation,39.16,2025-05-06 20:30:00.000000000,precip_20250505_0030_20250506_2030,2025.0,S4,control,S3_S4,B,3,18.0,VWC_3_raw_S4_B
precipitation,30.9,2025-05-19 00:15:00.000000000,precip_20250518_2045_20250519_0015,2025.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,30.78,2025-05-19 00:15:00.000000000,precip_20250518_2045_20250519_0015,2025.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,25.1,2025-05-19 00:15:00.000000000,precip_20250518_2045_20250519_0015,2025.0,S2,control,S1_S2,T,1,6.0,VWC_1_raw_S2_T
precipitation,34.76,2025-05-19 00:15:00.000000000,precip_20250518_2045_20250519_0015,2025.0,S2,control,S1_S2,T,2,12.0,VWC_2_raw_S2_T
precipitation,30.83,2025-05-19 00:15:00.000000000,precip_20250518_2045_20250519_0015,2025.0,S2,control,S1_S2,M,1,6.0,VWC_1_raw_S2_M
precipitation,31.58,2025-05-19 00:15:00.000000000,precip_20250518_2045_20250519_0015,2025.0,S2,control,S1_S2,M,2,12.0,VWC_2_raw_S2_M
precipitation,27.58,2025-05-19 00:15:00.000000000,precip_20250518_2045_20250519_0015,2025.0,S2,control,S1_S2,B,1,6.0,VWC_1_raw_S2_B
precipitation,27.4,2025-05-19 00:15:00.000000000,precip_20250518_2045_20250519_0015,2025.0,S2,control,S1_S2,B,2,12.0,VWC_2_raw_S2_B
precipitation,23.7,2025-06-06 17:30:00.000000000,precip_20250602_2015_20250606_1730,2025.0,S2,control,S1_S2,B,1,6.0,VWC_1_raw_S2_B
precipitation,28.05,2025-06-06 17:30:00.000000000,precip_20250602_2015_20250606_1730,2025.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,36.59,2025-06-06 17:30:00.000000000,precip_20250602_2015_20250606_1730,2025.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
