capacity_source,event_id,year,pair,strip,treatment,logger_position,represented_depth_count,profile_water_in,minimum_depth_vwc,maximum_depth_vwc
irrigation,2023-05-24_S3_S4_31cada45,2023.0,S3_S4,S3,biochar,B,3,3.5874,14.8,27.92
irrigation,2023-05-24_S3_S4_31cada45,2023.0,S3_S4,S4,control,M,3,4.0416,17.45,29.95
irrigation,2023-05-24_S3_S4_31cada45,2023.0,S3_S4,S4,control,T,3,5.2884,26.92,33.95
irrigation,2023-06-01_S1_S2_5b27ce31,2023.0,S1_S2,S1,biochar,M,3,7.050000000000001,37.56,40.12
irrigation,2023-06-01_S1_S2_5b27ce31,2023.0,S1_S2,S1,biochar,T,3,7.0746,38.28,40.28
irrigation,2023-06-01_S1_S2_5b27ce31,2023.0,S1_S2,S2,control,B,3,5.9670000000000005,31.46,35.14
irrigation,2023-06-01_S1_S2_5b27ce31,2023.0,S1_S2,S2,control,M,3,5.9658,30.72,35.02
irrigation,2023-06-02_S3_S4_e824e1bc,2023.0,S3_S4,S3,biochar,B,3,4.962,19.02,33.46
irrigation,2023-06-02_S3_S4_e824e1bc,2023.0,S3_S4,S3,biochar,M,3,3.9324000000000003,18.19,27.5
irrigation,2023-06-14_S3_S4_71ac748b,2023.0,S3_S4,S3,biochar,B,3,5.6718,24.34,37.06
irrigation,2023-06-14_S3_S4_71ac748b,2023.0,S3_S4,S3,biochar,T,3,7.383,36.49,45.76
irrigation,2023-06-14_S3_S4_71ac748b,2023.0,S3_S4,S4,control,B,3,4.146599999999999,16.8,27.73
irrigation,2023-06-14_S3_S4_71ac748b,2023.0,S3_S4,S4,control,M,3,4.2606,20.19,27.8
irrigation,2023-06-14_S3_S4_71ac748b,2023.0,S3_S4,S4,control,T,3,5.812799999999999,32.19,32.46
irrigation,2023-06-26_S1_S2_69e5d9b6,2023.0,S1_S2,S1,biochar,M,3,6.7602,35.23,39.27
irrigation,2023-06-26_S1_S2_69e5d9b6,2023.0,S1_S2,S1,biochar,T,3,7.2666,37.66,44.14
irrigation,2023-06-26_S1_S2_69e5d9b6,2023.0,S1_S2,S2,control,B,3,5.8122,31.14,34.55
irrigation,2023-06-26_S1_S2_69e5d9b6,2023.0,S1_S2,S2,control,M,3,6.0408,32.89,34.87
irrigation,2023-06-26_S1_S2_69e5d9b6,2023.0,S1_S2,S2,control,T,3,7.033200000000001,38.06,39.95
irrigation,2023-06-27_S3_S4_87f629e2,2023.0,S3_S4,S3,biochar,B,3,5.3712,24.11,33.09
irrigation,2023-06-27_S3_S4_87f629e2,2023.0,S3_S4,S3,biochar,T,3,7.2936000000000005,35.35,45.52
irrigation,2023-06-27_S3_S4_87f629e2,2023.0,S3_S4,S4,control,M,3,4.188000000000001,20.37,26.4
irrigation,2023-06-27_S3_S4_87f629e2,2023.0,S3_S4,S4,control,T,3,6.1782,33.38,35.23
irrigation,2023-07-07_S3_S4_bf19b251,2023.0,S3_S4,S3,biochar,B,3,5.6928,31.21,32.22
irrigation,2023-07-07_S3_S4_bf19b251,2023.0,S3_S4,S3,biochar,T,3,7.0656,35.29,41.73
irrigation,2023-07-07_S3_S4_bf19b251,2023.0,S3_S4,S4,control,M,3,4.0782,18.61,26.54
irrigation,2023-07-07_S3_S4_bf19b251,2023.0,S3_S4,S4,control,T,3,6.7134,33.65,39.46
irrigation,2023-07-17_S1_S2_ae0a89b4,2023.0,S1_S2,S1,biochar,M,3,6.828,35.91,40.0
irrigation,2023-07-17_S1_S2_ae0a89b4,2023.0,S1_S2,S1,biochar,T,3,7.9008,41.49,45.82
irrigation,2023-07-17_S1_S2_ae0a89b4,2023.0,S1_S2,S2,control,B,3,6.3629999999999995,34.48,36.38
irrigation,2023-07-17_S1_S2_ae0a89b4,2023.0,S1_S2,S2,control,M,3,6.0084,31.63,34.72
irrigation,2023-07-17_S1_S2_ae0a89b4,2023.0,S1_S2,S2,control,T,3,7.2072,39.62,40.41
irrigation,2023-07-17_S3_S4_a04fe807,2023.0,S3_S4,S3,biochar,B,3,5.337,23.68,34.92
irrigation,2023-07-17_S3_S4_a04fe807,2023.0,S3_S4,S3,biochar,M,3,6.0906,31.29,35.51
irrigation,2023-07-17_S3_S4_a04fe807,2023.0,S3_S4,S4,control,M,3,4.2989999999999995,17.47,30.05
irrigation,2023-07-17_S3_S4_a04fe807,2023.0,S3_S4,S4,control,T,3,6.6899999999999995,33.07,39.32
irrigation,2023-07-27_S3_S4_89a0fecc,2023.0,S3_S4,S3,biochar,B,3,5.211,23.84,32.01
irrigation,2023-07-27_S3_S4_89a0fecc,2023.0,S3_S4,S3,biochar,T,3,7.1777999999999995,36.25,42.5
irrigation,2023-08-05_S1_S2_efaa9d14,2023.0,S1_S2,S1,biochar,M,3,6.7824,35.31,41.44
irrigation,2023-08-05_S1_S2_efaa9d14,2023.0,S1_S2,S1,biochar,T,3,7.7652,39.87,46.62
irrigation,2023-08-05_S1_S2_efaa9d14,2023.0,S1_S2,S2,control,B,3,5.712,29.81,35.01
irrigation,2023-08-05_S1_S2_efaa9d14,2023.0,S1_S2,S2,control,M,3,6.537000000000001,32.87,39.81
irrigation,2023-08-05_S1_S2_efaa9d14,2023.0,S1_S2,S2,control,T,3,6.8856,37.16,40.13
irrigation,2023-08-05_S3_S4_0f92146d,2023.0,S3_S4,S3,biochar,B,3,4.8228,21.92,29.27
irrigation,2023-08-05_S3_S4_0f92146d,2023.0,S3_S4,S3,biochar,T,3,6.7866,32.67,40.23
irrigation,2023-08-05_S3_S4_0f92146d,2023.0,S3_S4,S4,control,T,3,4.4357999999999995,19.63,27.73
irrigation,2023-08-10_S3_S4_7fce3d7b,2023.0,S3_S4,S3,biochar,B,3,5.1948,24.76,31.03
irrigation,2023-08-10_S3_S4_7fce3d7b,2023.0,S3_S4,S3,biochar,M,3,5.8914,30.63,34.55
irrigation,2023-08-10_S3_S4_7fce3d7b,2023.0,S3_S4,S3,biochar,T,3,7.458,36.44,47.33
irrigation,2023-08-10_S3_S4_7fce3d7b,2023.0,S3_S4,S4,control,B,3,5.0598,26.37,30.73
irrigation,2023-08-10_S3_S4_7fce3d7b,2023.0,S3_S4,S4,control,M,3,3.8933999999999997,17.1,27.14
irrigation,2023-08-10_S3_S4_7fce3d7b,2023.0,S3_S4,S4,control,T,3,6.1338,32.61,36.28
irrigation,2023-08-24_S1_S2_6cc99259,2023.0,S1_S2,S1,biochar,M,3,6.6408000000000005,34.74,39.45
irrigation,2023-08-24_S1_S2_6cc99259,2023.0,S1_S2,S1,biochar,T,3,7.6583999999999985,41.12,43.48
irrigation,2023-08-24_S1_S2_6cc99259,2023.0,S1_S2,S2,control,B,3,5.555999999999999,29.01,33.4
irrigation,2023-08-24_S1_S2_6cc99259,2023.0,S1_S2,S2,control,M,3,5.957999999999999,32.3,34.62
irrigation,2023-08-24_S1_S2_6cc99259,2023.0,S1_S2,S2,control,T,3,6.874200000000001,36.34,40.34
irrigation,2023-08-24_S3_S4_a4b6ae2a,2023.0,S3_S4,S3,biochar,B,3,4.8648,21.97,30.6
irrigation,2023-08-24_S3_S4_a4b6ae2a,2023.0,S3_S4,S3,biochar,T,3,6.9323999999999995,35.92,39.9
irrigation,2023-08-24_S3_S4_a4b6ae2a,2023.0,S3_S4,S4,control,T,3,5.7558,31.63,32.58
irrigation,2023-09-07_S3_S4_ea877a99,2023.0,S3_S4,S3,biochar,B,3,5.245800000000001,23.84,33.75
irrigation,2023-09-07_S3_S4_ea877a99,2023.0,S3_S4,S3,biochar,T,3,7.1868,36.93,42.24
irrigation,2023-09-07_S3_S4_ea877a99,2023.0,S3_S4,S4,control,M,3,4.667999999999999,24.63,27.65
irrigation,2023-09-07_S3_S4_ea877a99,2023.0,S3_S4,S4,control,T,3,6.126,32.02,35.52
irrigation,2023-09-21_S1_S2_6dbb0789,2023.0,S1_S2,S1,biochar,M,3,6.414,33.31,37.83
irrigation,2023-09-21_S1_S2_6dbb0789,2023.0,S1_S2,S1,biochar,T,3,7.4496,39.69,42.3
irrigation,2023-09-21_S1_S2_6dbb0789,2023.0,S1_S2,S2,control,B,3,5.3904,28.87,31.41
irrigation,2023-09-21_S1_S2_6dbb0789,2023.0,S1_S2,S2,control,M,3,6.0978,31.43,38.27
irrigation,2023-09-21_S1_S2_6dbb0789,2023.0,S1_S2,S2,control,T,3,6.7932,35.47,40.87
irrigation,2023-09-22_S3_S4_157133f5,2023.0,S3_S4,S3,biochar,B,3,4.9284,23.43,29.62
irrigation,2023-09-22_S3_S4_157133f5,2023.0,S3_S4,S3,biochar,T,3,6.852600000000001,35.84,40.09
irrigation,2023-09-22_S3_S4_157133f5,2023.0,S3_S4,S4,control,M,3,4.7988,24.85,27.83
irrigation,2023-09-22_S3_S4_157133f5,2023.0,S3_S4,S4,control,T,3,6.424200000000001,31.92,42.82
irrigation,2024-04-19_S3_S4_c5bf8374,2024.0,S3_S4,S3,biochar,B,3,4.9578,22.71,30.81
irrigation,2024-04-19_S3_S4_c5bf8374,2024.0,S3_S4,S3,biochar,T,3,6.7302,35.69,39.91
irrigation,2024-04-19_S3_S4_c5bf8374,2024.0,S3_S4,S4,control,B,3,2.9856,9.0,21.64
irrigation,2024-04-19_S3_S4_c5bf8374,2024.0,S3_S4,S4,control,M,3,4.659000000000001,23.09,29.26
irrigation,2024-04-19_S3_S4_c5bf8374,2024.0,S3_S4,S4,control,T,3,6.2346,31.13,36.71
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,S1,biochar,B,3,8.7798,45.14,51.96
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,S1,biochar,M,3,6.430199999999999,33.62,38.29
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,S1,biochar,T,3,7.5708,38.56,45.04
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,S2,control,B,3,5.5662,29.39,33.2
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,S2,control,M,3,6.441000000000001,31.89,39.17
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,S2,control,T,3,6.5526,34.31,38.88
irrigation,2024-05-03_S3_S4_13e4749a,2024.0,S3_S4,S3,biochar,B,3,4.9884,23.39,30.3
irrigation,2024-05-03_S3_S4_13e4749a,2024.0,S3_S4,S3,biochar,T,3,7.0386,32.97,45.73
irrigation,2024-05-03_S3_S4_13e4749a,2024.0,S3_S4,S4,control,M,3,5.0508,27.33,28.68
irrigation,2024-05-03_S3_S4_13e4749a,2024.0,S3_S4,S4,control,T,3,5.9748,31.92,33.84
irrigation,2024-05-17_S3_S4_09c73fc7,2024.0,S3_S4,S3,biochar,B,3,5.0556,23.78,30.72
irrigation,2024-05-17_S3_S4_09c73fc7,2024.0,S3_S4,S3,biochar,M,3,5.9934,32.5,34.87
irrigation,2024-05-17_S3_S4_09c73fc7,2024.0,S3_S4,S3,biochar,T,3,6.9612,35.75,40.76
irrigation,2024-05-17_S3_S4_09c73fc7,2024.0,S3_S4,S4,control,B,3,5.482200000000001,26.87,34.19
irrigation,2024-05-17_S3_S4_09c73fc7,2024.0,S3_S4,S4,control,M,3,5.0934,27.83,28.67
irrigation,2024-05-17_S3_S4_09c73fc7,2024.0,S3_S4,S4,control,T,3,6.013799999999999,31.83,35.61
irrigation,2024-06-01_S1_S2_ef46e32f,2024.0,S1_S2,S1,biochar,M,3,6.771599999999999,36.15,39.47
irrigation,2024-06-01_S1_S2_ef46e32f,2024.0,S1_S2,S1,biochar,T,3,7.694999999999999,41.98,44.05
irrigation,2024-06-01_S1_S2_ef46e32f,2024.0,S1_S2,S2,control,B,3,6.2867999999999995,30.09,38.94
irrigation,2024-06-01_S1_S2_ef46e32f,2024.0,S1_S2,S2,control,M,3,6.8376,37.09,39.06
irrigation,2024-06-01_S3_S4_0880f850,2024.0,S3_S4,S3,biochar,B,3,5.1438,24.4,30.92
irrigation,2024-06-01_S3_S4_0880f850,2024.0,S3_S4,S3,biochar,T,3,7.3458000000000006,36.0,46.74
irrigation,2024-06-01_S3_S4_0880f850,2024.0,S3_S4,S4,control,M,3,5.836200000000001,28.85,34.33
irrigation,2024-06-01_S3_S4_0880f850,2024.0,S3_S4,S4,control,T,3,6.417000000000001,32.27,41.09
irrigation,2024-06-15_S3_S4_b6aa9839,2024.0,S3_S4,S3,biochar,B,3,5.3309999999999995,26.39,31.33
irrigation,2024-06-15_S3_S4_b6aa9839,2024.0,S3_S4,S3,biochar,T,3,7.1232,36.96,40.98
irrigation,2024-06-15_S3_S4_b6aa9839,2024.0,S3_S4,S4,control,M,3,6.2934,31.96,36.5
irrigation,2024-06-15_S3_S4_b6aa9839,2024.0,S3_S4,S4,control,T,3,6.6774000000000004,32.93,40.6
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S1,biochar,B,3,7.9206,41.99,47.44
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S1,biochar,M,3,6.776999999999999,35.22,40.26
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S1,biochar,T,3,7.848600000000001,42.44,45.53
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S2,control,B,3,5.4618,29.87,31.18
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S2,control,M,3,6.6372,34.45,39.17
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S2,control,T,3,6.8682,32.97,42.86
