capacity_source,event_id,year,pair,logger_position,biochar_profile_water_in,control_profile_water_in,biochar_minus_control_profile_water_in
irrigation,2023-06-01_S1_S2_5b27ce31,2023.0,S1_S2,M,7.05,5.966,1.084
irrigation,2023-06-14_S3_S4_71ac748b,2023.0,S3_S4,B,5.672,4.147,1.525
irrigation,2023-06-14_S3_S4_71ac748b,2023.0,S3_S4,T,7.383,5.813,1.57
irrigation,2023-06-26_S1_S2_69e5d9b6,2023.0,S1_S2,M,6.76,6.041,0.719
irrigation,2023-07-17_S1_S2_ae0a89b4,2023.0,S1_S2,M,6.828,6.008,0.82
irrigation,2023-08-05_S1_S2_efaa9d14,2023.0,S1_S2,M,6.782,6.537,0.245
irrigation,2023-08-05_S3_S4_0f92146d,2023.0,S3_S4,T,6.787,4.436,2.351
irrigation,2023-08-24_S1_S2_6cc99259,2023.0,S1_S2,M,6.641,5.958,0.683
irrigation,2023-08-24_S3_S4_a4b6ae2a,2023.0,S3_S4,T,6.932,5.756,1.177
irrigation,2023-09-21_S1_S2_6dbb0789,2023.0,S1_S2,M,6.414,6.098,0.316
irrigation,2024-04-19_S3_S4_c5bf8374,2024.0,S3_S4,B,4.958,2.986,1.972
irrigation,2024-04-19_S3_S4_c5bf8374,2024.0,S3_S4,T,6.73,6.235,0.496
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,B,8.78,5.566,3.214
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,M,6.43,6.441,-0.011
irrigation,2024-04-20_S1_S2_5f2fb725,2024.0,S1_S2,T,7.571,6.553,1.018
irrigation,2024-05-03_S3_S4_13e4749a,2024.0,S3_S4,T,7.039,5.975,1.064
irrigation,2024-05-17_S3_S4_09c73fc7,2024.0,S3_S4,B,5.056,5.482,-0.427
irrigation,2024-05-17_S3_S4_09c73fc7,2024.0,S3_S4,T,6.961,6.014,0.947
irrigation,2024-06-01_S1_S2_ef46e32f,2024.0,S1_S2,M,6.772,6.838,-0.066
irrigation,2024-06-01_S3_S4_0880f850,2024.0,S3_S4,T,7.346,6.417,0.929
irrigation,2024-06-15_S3_S4_b6aa9839,2024.0,S3_S4,T,7.123,6.677,0.446
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,B,7.921,5.462,2.459
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,M,6.777,6.637,0.14
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,T,7.849,6.868,0.98
irrigation,2024-06-28_S3_S4_14b9d993,2024.0,S3_S4,B,5.373,5.718,-0.345
irrigation,2024-06-28_S3_S4_14b9d993,2024.0,S3_S4,T,6.986,6.573,0.413
irrigation,2024-07-11_S3_S4_d29231ea,2024.0,S3_S4,T,7.209,6.133,1.076
irrigation,2024-07-20_S1_S2_6d735351,2024.0,S1_S2,B,8.036,5.944,2.093
irrigation,2024-07-20_S1_S2_6d735351,2024.0,S1_S2,M,6.59,6.208,0.382
irrigation,2024-07-26_S3_S4_fd133a4c,2024.0,S3_S4,M,6.227,5.485,0.742
irrigation,2024-08-09_S3_S4_fd100e26,2024.0,S3_S4,T,7.267,6.391,0.876
irrigation,2024-08-10_S1_S2_de427086,2024.0,S1_S2,M,6.759,7.037,-0.278
irrigation,2024-08-10_S1_S2_de427086,2024.0,S1_S2,T,7.495,7.178,0.317
irrigation,2024-08-23_S3_S4_0b64e5f5,2024.0,S3_S4,T,7.247,6.57,0.677
irrigation,2024-09-06_S3_S4_9e0ce675,2024.0,S3_S4,T,7.132,6.009,1.123
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,B,8.087,6.048,2.039
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,M,6.538,6.243,0.295
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,T,7.382,6.664,0.718
irrigation,2024-09-20_S3_S4_032d9e33,2024.0,S3_S4,T,6.998,6.466,0.532
irrigation,2024-10-04_S3_S4_bf53dc9a,2024.0,S3_S4,B,5.17,5.093,0.077
irrigation,2024-10-04_S3_S4_bf53dc9a,2024.0,S3_S4,T,7.094,6.365,0.729
irrigation,2024-10-18_S3_S4_e3314155,2024.0,S3_S4,T,7.024,5.97,1.054
irrigation,2025-04-20_S1_S2_f3457ada,2025.0,S1_S2,B,5.629,6.83,-1.201
irrigation,2025-04-20_S1_S2_f3457ada,2025.0,S1_S2,M,6.802,6.719,0.083
irrigation,2025-04-20_S1_S2_f3457ada,2025.0,S1_S2,T,7.815,8.159,-0.344
irrigation,2025-04-20_S3_S4_ead0e049,2025.0,S3_S4,B,5.977,6.574,-0.596
irrigation,2025-04-20_S3_S4_ead0e049,2025.0,S3_S4,T,7.076,6.559,0.517
irrigation,2025-05-02_S3_S4_3cb33cbf,2025.0,S3_S4,B,5.83,6.454,-0.623
irrigation,2025-05-02_S3_S4_3cb33cbf,2025.0,S3_S4,T,7.041,6.263,0.778
irrigation,2025-05-16_S1_S2_799859ac,2025.0,S1_S2,B,5.642,6.686,-1.045
irrigation,2025-05-16_S1_S2_799859ac,2025.0,S1_S2,M,6.571,6.589,-0.019
irrigation,2025-05-16_S1_S2_799859ac,2025.0,S1_S2,T,7.409,8.134,-0.725
irrigation,2025-05-28_S1_S2_ca363c43,2025.0,S1_S2,B,6.025,6.433,-0.408
irrigation,2025-05-28_S1_S2_ca363c43,2025.0,S1_S2,M,6.762,7.239,-0.477
irrigation,2025-05-28_S1_S2_ca363c43,2025.0,S1_S2,T,7.124,8.182,-1.058
irrigation,2025-06-13_S3_S4_29345c78,2025.0,S3_S4,B,6.584,7.315,-0.731
irrigation,2025-06-13_S3_S4_29345c78,2025.0,S3_S4,T,7.151,7.022,0.128
irrigation,2025-06-27_S1_S2_ff537961,2025.0,S1_S2,M,7.382,7.83,-0.448
irrigation,2025-06-28_S3_S4_d9252a87,2025.0,S3_S4,T,6.994,6.913,0.082
irrigation,2025-07-11_S3_S4_e179d57e,2025.0,S3_S4,B,6.615,7.4,-0.785
irrigation,2025-07-11_S3_S4_e179d57e,2025.0,S3_S4,T,7.195,6.529,0.666
irrigation,2025-07-26_S1_S2_98e2053f,2025.0,S1_S2,B,5.674,6.547,-0.873
irrigation,2025-07-26_S1_S2_98e2053f,2025.0,S1_S2,M,6.647,6.943,-0.296
irrigation,2025-07-26_S1_S2_98e2053f,2025.0,S1_S2,T,7.625,8.249,-0.625
irrigation,2025-07-26_S3_S4_b4053dcf,2025.0,S3_S4,B,5.825,7.354,-1.529
irrigation,2025-07-26_S3_S4_b4053dcf,2025.0,S3_S4,T,6.989,6.444,0.545
irrigation,2025-08-08_S3_S4_7c793582,2025.0,S3_S4,B,5.722,6.869,-1.148
irrigation,2025-08-08_S3_S4_7c793582,2025.0,S3_S4,M,6.602,5.737,0.865
irrigation,2025-08-22_S1_S2_9f8675d7,2025.0,S1_S2,B,4.868,5.785,-0.917
irrigation,2025-08-22_S1_S2_9f8675d7,2025.0,S1_S2,M,6.476,6.948,-0.472
irrigation,2025-08-22_S1_S2_9f8675d7,2025.0,S1_S2,T,7.099,7.052,0.047
irrigation,2025-08-22_S3_S4_1b405e4b,2025.0,S3_S4,T,6.487,6.291,0.196
irrigation,2025-09-20_S1_S2_81d8ab0f,2025.0,S1_S2,B,5.033,5.698,-0.664
irrigation,2025-09-20_S1_S2_81d8ab0f,2025.0,S1_S2,M,6.499,6.645,-0.146
irrigation,2025-09-20_S1_S2_81d8ab0f,2025.0,S1_S2,T,6.993,8.053,-1.06
irrigation,2025-09-20_S3_S4_f86ee2c5,2025.0,S3_S4,B,5.677,7.212,-1.535
irrigation,2025-09-20_S3_S4_f86ee2c5,2025.0,S3_S4,T,7.277,6.46,0.817
irrigation,2025-10-04_S3_S4_4439230e,2025.0,S3_S4,B,5.739,6.695,-0.956
irrigation,2026-04-21_S1_S2_001c30f6,2026.0,S1_S2,M,6.698,6.718,-0.019
irrigation,2026-04-21_S1_S2_001c30f6,2026.0,S1_S2,T,7.474,8.173,-0.699
irrigation,2026-04-21_S3_S4_ed1ed131,2026.0,S3_S4,M,6.614,5.726,0.887
irrigation,2026-05-08_S3_S4_989607cc,2026.0,S3_S4,B,5.811,7.106,-1.295
irrigation,2026-05-08_S3_S4_989607cc,2026.0,S3_S4,M,6.776,5.924,0.852
irrigation,2026-05-08_S3_S4_989607cc,2026.0,S3_S4,T,7.11,6.609,0.501
irrigation,2026-05-20_S1_S2_49743b7c,2026.0,S1_S2,B,4.875,5.966,-1.091
irrigation,2026-05-20_S1_S2_49743b7c,2026.0,S1_S2,M,6.393,6.595,-0.202
irrigation,2026-05-20_S1_S2_49743b7c,2026.0,S1_S2,T,7.172,6.742,0.43
irrigation,2026-05-21_S3_S4_272f948e,2026.0,S3_S4,M,6.398,6.015,0.383
irrigation,2026-05-21_S3_S4_272f948e,2026.0,S3_S4,T,6.728,6.495,0.233
irrigation,2026-06-05_S3_S4_f5beba0a,2026.0,S3_S4,B,5.372,6.814,-1.442
irrigation,2026-06-05_S3_S4_f5beba0a,2026.0,S3_S4,M,6.247,5.875,0.373
irrigation,2026-06-20_S1_S2_ba82572f,2026.0,S1_S2,B,5.159,6.365,-1.206
irrigation,2026-06-20_S1_S2_ba82572f,2026.0,S1_S2,M,6.5,6.833,-0.333
irrigation,2026-06-20_S3_S4_47159afc,2026.0,S3_S4,B,6.484,6.961,-0.476
irrigation,2026-06-27_S1_S2_be4e641a,2026.0,S1_S2,B,5.466,6.649,-1.183
irrigation,2026-06-27_S1_S2_be4e641a,2026.0,S1_S2,M,6.559,6.682,-0.123
irrigation,2026-06-27_S1_S2_be4e641a,2026.0,S1_S2,T,7.473,6.977,0.496
