capacity_source,pair,logger_position,matched_event_count,first_year,last_year,mean_difference_in,median_difference_in,difference_sd_in,individual_events_biochar_higher_pct,bootstrap_mean_ci_95_low_in,bootstrap_mean_ci_95_high_in,bootstrap_median_ci_95_low_in,bootstrap_median_ci_95_high_in,bootstrap_mean_above_zero_pct,bootstrap_median_above_zero_pct,bootstrap_direction_classification,bootstrap_iterations,random_seed,minimum_directional_events
combined,S1_S2,B,18,2024,2026,-0.097,-0.768,1.466,27.778,-0.707,0.602,-1.069,-0.037,37.19,1.49,inconclusive,10000,20260830,4
combined,S1_S2,M,26,2023,2026,0.025,-0.032,0.452,38.462,-0.138,0.197,-0.199,0.14,61.34,13.15,inconclusive,10000,20260830,4
combined,S1_S2,T,15,2023,2026,0.554,0.683,0.416,93.333,0.326,0.73,0.43,0.72,100.0,100.0,biochar_higher,10000,20260830,4
combined,S3_S4,B,17,2023,2026,-0.457,-0.623,0.961,23.529,-0.863,0.022,-1.027,-0.345,2.99,0.86,inconclusive,10000,20260830,4
combined,S3_S4,M,12,2023,2026,0.833,0.712,0.538,100.0,0.566,1.145,0.397,0.894,100.0,100.0,biochar_higher,10000,20260830,4
combined,S3_S4,T,33,2023,2026,0.765,0.729,0.486,96.97,0.609,0.931,0.532,0.947,100.0,100.0,biochar_higher,10000,20260830,4
irrigation,S1_S2,B,16,2024,2026,-0.078,-0.895,1.554,25.0,-0.763,0.711,-1.093,0.688,40.46,2.81,inconclusive,10000,20260830,4
irrigation,S1_S2,M,25,2023,2026,0.026,-0.045,0.461,36.0,-0.149,0.206,-0.202,0.245,60.13,7.3,inconclusive,10000,20260830,4
irrigation,S1_S2,T,14,2023,2026,0.544,0.675,0.43,92.857,0.3,0.733,0.409,0.784,100.0,100.0,biochar_higher,10000,20260830,4
irrigation,S3_S4,B,17,2023,2026,-0.457,-0.623,0.961,23.529,-0.858,0.024,-1.027,-0.345,3.19,0.79,inconclusive,10000,20260830,4
irrigation,S3_S4,M,11,2023,2026,0.853,0.742,0.559,100.0,0.575,1.194,0.383,0.9,100.0,100.0,biochar_higher,10000,20260830,4
irrigation,S3_S4,T,32,2023,2026,0.754,0.703,0.489,96.875,0.594,0.923,0.514,0.947,100.0,100.0,biochar_higher,10000,20260830,4
precipitation,S1_S2,B,2,2025,2025,-0.246,-0.246,0.54,50.0,-0.628,0.136,-0.628,0.136,24.81,24.81,insufficient_events,10000,20260830,4
precipitation,S1_S2,M,1,2025,2025,0.018,0.018,,100.0,0.018,0.018,0.018,0.018,100.0,100.0,insufficient_events,10000,20260830,4
precipitation,S1_S2,T,1,2025,2025,0.683,0.683,,100.0,0.683,0.683,0.683,0.683,100.0,100.0,insufficient_events,10000,20260830,4
precipitation,S3_S4,M,1,2025,2025,0.611,0.611,,100.0,0.611,0.611,0.611,0.611,100.0,100.0,insufficient_events,10000,20260830,4
precipitation,S3_S4,T,1,2025,2025,1.118,1.118,,100.0,1.118,1.118,1.118,1.118,100.0,100.0,insufficient_events,10000,20260830,4
