capacity_source,pair,logger_position,biochar_complete_profile_count,control_complete_profile_count,biochar_first_year,biochar_last_year,control_first_year,control_last_year,biochar_mean_profile_water_in,control_mean_profile_water_in,mean_difference_in,biochar_median_profile_water_in,control_median_profile_water_in,median_difference_in,bootstrap_mean_ci_95_low_in,bootstrap_mean_ci_95_high_in,bootstrap_median_ci_95_low_in,bootstrap_median_ci_95_high_in,bootstrap_mean_above_zero_pct,bootstrap_median_above_zero_pct,bootstrap_direction_classification,bootstrap_iterations,random_seed,minimum_directional_events
combined,S1_S2,B,20,24,2024,2026,2023,2026,5.56,5.97,-0.41,5.335,5.955,-0.619,-1.118,0.321,-1.166,-0.112,13.27,0.92,inconclusive,10000,20260830,4
combined,S1_S2,M,26,26,2023,2026,2023,2026,6.605,6.575,0.03,6.615,6.592,0.023,-0.181,0.228,-0.145,0.288,61.68,60.13,inconclusive,10000,20260830,4
combined,S1_S2,T,21,21,2023,2026,2023,2026,7.393,7.186,0.206,7.473,6.977,0.496,-0.123,0.518,-0.005,0.726,89.18,97.27,inconclusive,10000,20260830,4
combined,S3_S4,B,43,21,2023,2026,2023,2026,5.387,6.399,-1.012,5.334,6.814,-1.48,-1.473,-0.48,-1.814,-0.961,0.06,0.0,control_higher,10000,20260830,4
combined,S3_S4,M,13,42,2024,2026,2023,2026,6.34,5.302,1.038,6.398,5.388,1.01,0.614,1.41,0.682,1.381,100.0,100.0,biochar_higher,10000,20260830,4
combined,S3_S4,T,37,39,2023,2026,2023,2026,7.045,6.3,0.745,7.076,6.415,0.662,0.548,0.94,0.554,0.832,100.0,100.0,biochar_higher,10000,20260830,4
irrigation,S1_S2,B,15,22,2024,2026,2023,2026,6.013,6.012,0.002,5.629,5.966,-0.337,-0.718,0.778,-1.107,0.459,48.64,7.4,inconclusive,10000,20260830,4
irrigation,S1_S2,M,25,25,2023,2026,2023,2026,6.62,6.589,0.031,6.641,6.595,0.046,-0.19,0.232,-0.147,0.257,61.94,61.14,inconclusive,10000,20260830,4
irrigation,S1_S2,T,20,20,2023,2026,2023,2026,7.436,7.252,0.184,7.473,7.005,0.468,-0.122,0.467,-0.23,0.694,88.5,94.76,inconclusive,10000,20260830,4
irrigation,S3_S4,B,41,18,2023,2026,2023,2026,5.392,6.313,-0.921,5.334,6.755,-1.421,-1.442,-0.312,-1.818,-0.622,0.34,0.11,control_higher,10000,20260830,4
irrigation,S3_S4,M,11,39,2024,2026,2023,2026,6.512,5.365,1.147,6.572,5.386,1.186,0.848,1.433,0.743,1.426,100.0,100.0,biochar_higher,10000,20260830,4
irrigation,S3_S4,T,34,37,2023,2026,2023,2026,7.105,6.343,0.761,7.102,6.417,0.685,0.611,0.93,0.552,0.819,100.0,100.0,biochar_higher,10000,20260830,4
precipitation,S1_S2,B,5,2,2024,2025,2025,2025,4.202,5.515,-1.314,4.804,5.515,-0.711,-2.387,-0.26,-2.912,-0.063,0.2,1.52,insufficient_events,10000,20260830,4
precipitation,S1_S2,M,1,1,2025,2025,2025,2025,6.236,6.227,0.009,6.236,6.227,0.009,0.009,0.009,0.009,0.009,100.0,100.0,insufficient_events,10000,20260830,4
precipitation,S1_S2,T,1,1,2025,2025,2025,2025,6.523,5.873,0.65,6.523,5.873,0.65,0.65,0.65,0.65,0.65,100.0,100.0,insufficient_events,10000,20260830,4
precipitation,S3_S4,B,2,3,2025,2025,2025,2025,5.294,6.916,-1.622,5.294,6.902,-1.608,-2.183,-1.06,-2.368,-0.889,0.0,0.0,insufficient_events,10000,20260830,4
precipitation,S3_S4,M,2,3,2025,2025,2025,2026,5.396,4.487,0.909,5.396,5.389,0.006,-0.841,2.95,-0.92,3.64,79.28,68.66,insufficient_events,10000,20260830,4
precipitation,S3_S4,T,3,2,2025,2026,2025,2025,6.372,5.505,0.867,6.913,5.505,1.408,-0.378,1.968,-0.829,2.022,91.4,80.49,insufficient_events,10000,20260830,4
