year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2023.00,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_1_raw_S1_B,1,6.00,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.00,72500.00,3.90,18589.74,14.74,16.43,1.69,17.53,flat_segment,23.83,23.83,28.83,24.93,6650.71,7442.66,791.94,0.01,71708.06
2023.00,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_2_raw_S1_B,2,12.00,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.00,72500.00,3.90,18589.74,16.38,16.96,0.58,15.93,flat_segment,0.83,0.83,2.33,-1.57,6650.71,7442.66,791.94,0.01,71708.06
2023.00,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_3_raw_S1_B,3,18.00,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.00,72500.00,3.90,18589.74,5.63,7.58,1.95,7.66,flat_segment,23.83,23.83,25.08,21.18,6650.71,7442.66,791.94,0.01,71708.06
2023.00,S1_S2,west,S1,2023-06-01_S1_S2_28dbbfca,VWC_1_raw_S1_B,1,6.00,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.00,33650.00,6.48,5190.23,19.68,20.81,1.13,19.26,flat_segment,7.23,7.23,17.23,10.75,8643.78,3486.11,-75.01,-0.00,33725.01
2023.00,S1_S2,west,S1,2023-06-01_S1_S2_28dbbfca,VWC_2_raw_S1_B,2,12.00,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.00,33650.00,6.48,5190.23,16.63,16.88,0.24,,no_peak,7.98,7.98,,,8643.78,3486.11,-75.01,-0.00,33725.01
2023.00,S1_S2,west,S1,2023-06-01_S1_S2_28dbbfca,VWC_3_raw_S1_B,3,18.00,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.00,33650.00,6.48,5190.23,11.45,11.73,0.28,,no_peak,12.23,12.23,,,8643.78,3486.11,-75.01,-0.00,33725.01
2023.00,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_1_raw_S1_B,1,6.00,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.00,44700.00,6.52,6859.34,18.17,18.78,0.61,18.75,flat_segment,9.23,9.23,9.48,2.97,10581.20,7333.53,156.63,0.00,44543.37
2023.00,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_2_raw_S1_B,2,12.00,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.00,44700.00,6.52,6859.34,21.49,22.00,0.51,21.77,flat_segment,13.98,13.98,14.98,8.47,10581.20,7333.53,156.63,0.00,44543.37
2023.00,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_3_raw_S1_B,3,18.00,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.00,44700.00,6.52,6859.34,18.81,18.67,-0.14,,no_peak,0.23,0.23,,,10581.20,7333.53,156.63,0.00,44543.37
2023.00,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_1_raw_S1_B,1,6.00,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.00,60450.00,8.00,7556.25,20.33,20.15,-0.18,,no_peak,0.18,0.18,,,12611.28,14658.10,5726.02,0.09,54723.98
2023.00,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_2_raw_S1_B,2,12.00,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.00,60450.00,8.00,7556.25,23.64,43.78,20.14,46.39,fallback_window,23.93,23.93,27.93,19.93,12611.28,14658.10,5726.02,0.09,54723.98
2023.00,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_3_raw_S1_B,3,18.00,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.00,60450.00,8.00,7556.25,25.71,32.27,6.56,34.61,fallback_window,23.93,23.93,27.93,19.93,12611.28,14658.10,5726.02,0.09,54723.98
2023.00,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_1_raw_S1_B,1,6.00,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.00,49250.00,6.13,8029.89,23.97,24.31,0.34,,no_peak,11.95,11.95,,,17244.40,18125.65,5219.48,0.11,44030.52
2023.00,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_2_raw_S1_B,2,12.00,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.00,49250.00,6.13,8029.89,32.24,50.49,18.25,50.49,flat_segment,22.95,22.95,24.45,18.32,17244.40,18125.65,5219.48,0.11,44030.52
