year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip,local_water_diagnostic_method,sensor_profile_baseline_cs650_water_gal,sensor_profile_plateau_cs650_water_gal,sensor_profile_delta_cs650_water_gal,sensor_profile_baseline_legacy_swc_gal,sensor_profile_plateau_legacy_swc_gal,sensor_profile_delta_legacy_swc_gal
2025.00,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_1_raw_S1_B,1,6.00,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.00,132300.00,22.22,5954.99,19.78,46.97,27.20,29.68,fallback_window,10.25,10.25,14.25,-7.97,10984.59,16978.73,5994.14,0.05,126305.86,cs650_approximate_sensing_volume,1.24,2.14,0.90,0.08,0.14,0.06
2025.00,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_2_raw_S1_B,2,12.00,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.00,132300.00,22.22,5954.99,21.17,56.16,35.00,31.11,fallback_window,11.25,11.25,15.25,-6.97,10984.59,16978.73,5994.14,0.05,126305.86,cs650_approximate_sensing_volume,1.24,1.97,0.72,0.08,0.13,0.05
2025.00,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_3_raw_S1_B,3,18.00,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.00,132300.00,22.22,5954.99,19.75,39.35,19.60,33.03,fallback_window,11.00,11.00,15.00,-7.22,10984.59,16978.73,5994.14,0.05,126305.86,cs650_approximate_sensing_volume,1.24,2.00,0.76,0.08,0.13,0.05
2025.00,S1_S2,west,S1,2025-05-16_S1_S2_799859ac,VWC_1_raw_S1_B,1,6.00,B,2025-05-16 15:36:41,2025-05-17 07:37:42,184900.00,92450.00,16.02,5772.01,14.79,32.82,18.03,32.06,flat_segment,19.64,19.64,23.14,7.12,8460.27,17017.91,8557.64,0.09,83892.36,cs650_approximate_sensing_volume,0.96,1.97,1.01,0.06,0.13,0.06
2025.00,S1_S2,west,S1,2025-05-16_S1_S2_799859ac,VWC_2_raw_S1_B,2,12.00,B,2025-05-16 15:36:41,2025-05-17 07:37:42,184900.00,92450.00,16.02,5772.01,13.07,35.11,22.04,32.42,flat_segment,19.64,19.64,28.64,12.62,8460.27,17017.91,8557.64,0.09,83892.36,cs650_approximate_sensing_volume,0.96,1.93,0.97,0.06,0.12,0.06
2025.00,S1_S2,west,S1,2025-05-16_S1_S2_799859ac,VWC_3_raw_S1_B,3,18.00,B,2025-05-16 15:36:41,2025-05-17 07:37:42,184900.00,92450.00,16.02,5772.01,18.89,31.50,12.61,29.55,flat_segment,17.89,17.89,29.14,13.12,8460.27,17017.91,8557.64,0.09,83892.36,cs650_approximate_sensing_volume,0.96,1.93,0.97,0.06,0.12,0.06
2025.00,S1_S2,west,S1,2025-05-28_S1_S2_ca363c43,VWC_1_raw_S1_B,1,6.00,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.00,64250.00,12.53,5126.33,22.87,35.01,12.14,32.49,flat_segment,15.78,15.78,23.03,10.50,13181.26,18173.97,4992.72,0.08,59257.28,cs650_approximate_sensing_volume,1.50,2.11,0.61,0.10,0.14,0.04
2025.00,S1_S2,west,S1,2025-05-28_S1_S2_ca363c43,VWC_2_raw_S1_B,2,12.00,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.00,64250.00,12.53,5126.33,23.92,38.31,14.39,37.95,flat_segment,14.28,14.28,16.03,3.50,13181.26,18173.97,4992.72,0.08,59257.28,cs650_approximate_sensing_volume,1.50,2.13,0.62,0.10,0.14,0.04
2025.00,S1_S2,west,S1,2025-05-28_S1_S2_ca363c43,VWC_3_raw_S1_B,3,18.00,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.00,64250.00,12.53,5126.33,26.04,34.58,8.53,29.98,flat_segment,23.28,23.28,33.03,20.50,13181.26,18173.97,4992.72,0.08,59257.28,cs650_approximate_sensing_volume,1.50,1.96,0.46,0.10,0.13,0.03
2025.00,S1_S2,west,S1,2025-06-27_S1_S2_ff537961,VWC_1_raw_S1_B,1,6.00,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.00,95500.00,16.27,5870.90,14.17,38.80,24.63,32.95,flat_segment,21.70,21.70,30.45,14.18,7176.17,18047.92,10871.75,0.11,84628.25,cs650_approximate_sensing_volume,0.82,2.11,1.30,0.05,0.14,0.08
2025.00,S1_S2,west,S1,2025-06-27_S1_S2_ff537961,VWC_2_raw_S1_B,2,12.00,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.00,95500.00,16.27,5870.90,12.24,40.51,28.27,39.15,flat_segment,12.20,12.20,17.20,0.93,7176.17,18047.92,10871.75,0.11,84628.25,cs650_approximate_sensing_volume,0.82,2.19,1.37,0.05,0.14,0.09
2025.00,S1_S2,west,S1,2025-06-27_S1_S2_ff537961,VWC_3_raw_S1_B,3,18.00,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.00,95500.00,16.27,5870.90,13.24,32.43,19.18,27.63,fallback_window,15.20,15.20,19.20,2.93,7176.17,18047.92,10871.75,0.11,84628.25,cs650_approximate_sensing_volume,0.82,2.16,1.34,0.05,0.14,0.09
2025.00,S1_S2,west,S1,2025-07-26_S1_S2_98e2053f,VWC_1_raw_S1_B,1,6.00,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.00,53225.00,9.08,5859.63,14.36,37.74,23.38,30.81,flat_segment,10.00,10.00,19.00,9.92,7314.98,17116.09,9801.11,0.18,43423.89,cs650_approximate_sensing_volume,0.83,1.94,1.11,0.05,0.13,0.07
2025.00,S1_S2,west,S1,2025-07-26_S1_S2_98e2053f,VWC_2_raw_S1_B,2,12.00,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.00,53225.00,9.08,5859.63,12.28,43.76,31.47,35.53,fallback_window,10.00,10.00,14.00,4.92,7314.98,17116.09,9801.11,0.18,43423.89,cs650_approximate_sensing_volume,0.83,1.99,1.16,0.05,0.13,0.08
2025.00,S1_S2,west,S1,2025-07-26_S1_S2_98e2053f,VWC_3_raw_S1_B,3,18.00,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.00,53225.00,9.08,5859.63,13.78,34.40,20.63,28.23,flat_segment,9.75,9.75,25.00,15.92,7314.98,17116.09,9801.11,0.18,43423.89,cs650_approximate_sensing_volume,0.83,1.91,1.08,0.05,0.12,0.07
2025.00,S1_S2,west,S1,2025-08-22_S1_S2_9f8675d7,VWC_1_raw_S1_B,1,6.00,B,2025-08-22 09:07:00,2025-08-22 19:04:00,61250.00,30625.00,9.95,3077.89,14.29,33.74,19.45,33.68,flat_segment,20.13,20.13,20.38,10.43,6794.86,14686.33,7891.47,0.26,22733.53,cs650_approximate_sensing_volume,0.77,1.62,0.85,0.05,0.10,0.05
2025.00,S1_S2,west,S1,2025-08-22_S1_S2_9f8675d7,VWC_2_raw_S1_B,2,12.00,B,2025-08-22 09:07:00,2025-08-22 19:04:00,61250.00,30625.00,9.95,3077.89,11.77,32.66,20.90,32.97,flat_segment,23.88,23.88,25.63,15.68,6794.86,14686.33,7891.47,0.26,22733.53,cs650_approximate_sensing_volume,0.77,1.65,0.88,0.05,0.11,0.06
2025.00,S1_S2,west,S1,2025-08-22_S1_S2_9f8675d7,VWC_3_raw_S1_B,3,18.00,B,2025-08-22 09:07:00,2025-08-22 19:04:00,61250.00,30625.00,9.95,3077.89,11.49,14.13,2.64,14.50,flat_segment,23.63,23.63,29.13,19.18,6794.86,14686.33,7891.47,0.26,22733.53,cs650_approximate_sensing_volume,0.77,1.65,0.88,0.05,0.11,0.06
2025.00,S1_S2,west,S1,2025-09-20_S1_S2_81d8ab0f,VWC_1_raw_S1_B,1,6.00,B,2025-09-20 10:42:00,2025-09-20 17:31:00,172200.00,86100.00,6.82,12630.81,14.97,34.24,19.27,30.36,flat_segment,8.80,8.80,14.55,7.73,7457.49,15184.01,7726.51,0.09,78373.49,cs650_approximate_sensing_volume,0.85,1.74,0.89,0.06,0.11,0.06
2025.00,S1_S2,west,S1,2025-09-20_S1_S2_81d8ab0f,VWC_2_raw_S1_B,2,12.00,B,2025-09-20 10:42:00,2025-09-20 17:31:00,172200.00,86100.00,6.82,12630.81,12.56,33.10,20.55,32.45,flat_segment,16.05,16.05,20.30,13.48,7457.49,15184.01,7726.51,0.09,78373.49,cs650_approximate_sensing_volume,0.85,1.70,0.85,0.06,0.11,0.06
2025.00,S1_S2,west,S1,2025-09-20_S1_S2_81d8ab0f,VWC_3_raw_S1_B,3,18.00,B,2025-09-20 10:42:00,2025-09-20 17:31:00,172200.00,86100.00,6.82,12630.81,13.68,22.36,8.68,21.08,fallback_window,10.05,10.05,14.05,7.23,7457.49,15184.01,7726.51,0.09,78373.49,cs650_approximate_sensing_volume,0.85,1.74,0.89,0.06,0.11,0.06
2025.00,S1_S2,west,S2,2025-04-20_S1_S2_f3457ada,VWC_1_raw_S2_B,1,6.00,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.00,132300.00,22.22,5954.99,8.22,39.46,31.24,39.46,flat_segment,23.75,23.75,24.00,1.78,3906.51,20688.43,16781.92,0.13,115518.08,cs650_approximate_sensing_volume,0.44,2.35,1.91,0.03,0.15,0.12
2025.00,S1_S2,west,S2,2025-04-20_S1_S2_f3457ada,VWC_2_raw_S2_B,2,12.00,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.00,132300.00,22.22,5954.99,7.05,35.27,28.22,35.35,flat_segment,24.00,24.00,24.25,2.03,3906.51,20688.43,16781.92,0.13,115518.08,cs650_approximate_sensing_volume,0.44,2.35,1.91,0.03,0.15,0.12
2025.00,S1_S2,west,S2,2025-04-20_S1_S2_f3457ada,VWC_3_raw_S2_B,3,18.00,B,2025-04-20 08:15:00,2025-04-21 06:28:00,264600.00,132300.00,22.22,5954.99,6.32,39.49,33.17,39.50,flat_segment,24.00,24.00,24.25,2.03,3906.51,20688.43,16781.92,0.13,115518.08,cs650_approximate_sensing_volume,0.44,2.35,1.91,0.03,0.15,0.12
2025.00,S1_S2,west,S2,2025-05-16_S1_S2_799859ac,VWC_1_raw_S2_B,1,6.00,B,2025-05-16 15:36:41,2025-05-17 07:37:42,184900.00,92450.00,16.02,5772.01,9.31,38.15,28.84,37.72,flat_segment,18.14,18.14,20.14,4.12,6330.30,20168.40,13838.10,0.15,78611.90,cs650_approximate_sensing_volume,0.72,2.30,1.58,0.05,0.15,0.10
2025.00,S1_S2,west,S2,2025-05-16_S1_S2_799859ac,VWC_2_raw_S2_B,2,12.00,B,2025-05-16 15:36:41,2025-05-17 07:37:42,184900.00,92450.00,16.02,5772.01,8.10,33.65,25.54,33.40,flat_segment,18.89,18.89,20.14,4.12,6330.30,20168.40,13838.10,0.15,78611.90,cs650_approximate_sensing_volume,0.72,2.30,1.58,0.05,0.15,0.10
2025.00,S1_S2,west,S2,2025-05-16_S1_S2_799859ac,VWC_3_raw_S2_B,3,18.00,B,2025-05-16 15:36:41,2025-05-17 07:37:42,184900.00,92450.00,16.02,5772.01,17.56,40.45,22.88,40.32,flat_segment,18.89,18.89,19.89,3.87,6330.30,20168.40,13838.10,0.15,78611.90,cs650_approximate_sensing_volume,0.72,2.30,1.58,0.05,0.15,0.10
2025.00,S1_S2,west,S2,2025-05-28_S1_S2_ca363c43,VWC_1_raw_S2_B,1,6.00,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.00,64250.00,12.53,5126.33,11.42,37.81,26.39,31.87,flat_segment,18.78,18.78,33.03,20.50,10144.78,19402.61,9257.83,0.14,54992.17,cs650_approximate_sensing_volume,1.15,2.09,0.94,0.07,0.14,0.06
2025.00,S1_S2,west,S2,2025-05-28_S1_S2_ca363c43,VWC_2_raw_S2_B,2,12.00,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.00,64250.00,12.53,5126.33,16.94,34.80,17.85,34.78,flat_segment,18.53,18.53,18.78,6.25,10144.78,19402.61,9257.83,0.14,54992.17,cs650_approximate_sensing_volume,1.15,2.33,1.18,0.07,0.15,0.08
2025.00,S1_S2,west,S2,2025-05-28_S1_S2_ca363c43,VWC_3_raw_S2_B,3,18.00,B,2025-05-28 18:58:00,2025-05-29 07:30:00,128500.00,64250.00,12.53,5126.33,27.69,40.57,12.88,40.57,flat_segment,15.28,15.28,15.53,3.00,10144.78,19402.61,9257.83,0.14,54992.17,cs650_approximate_sensing_volume,1.15,2.32,1.17,0.07,0.15,0.08
2025.00,S1_S2,west,S2,2025-06-27_S1_S2_ff537961,VWC_1_raw_S2_B,1,6.00,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.00,95500.00,16.27,5870.90,10.00,39.62,29.62,39.57,flat_segment,16.95,16.95,17.20,0.93,7562.82,21222.21,13659.39,0.14,81840.61,cs650_approximate_sensing_volume,0.86,2.41,1.55,0.06,0.16,0.10
2025.00,S1_S2,west,S2,2025-06-27_S1_S2_ff537961,VWC_2_raw_S2_B,2,12.00,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.00,95500.00,16.27,5870.90,9.08,35.32,26.24,35.30,flat_segment,23.70,23.70,23.95,7.68,7562.82,21222.21,13659.39,0.14,81840.61,cs650_approximate_sensing_volume,0.86,2.41,1.55,0.06,0.16,0.10
2025.00,S1_S2,west,S2,2025-06-27_S1_S2_ff537961,VWC_3_raw_S2_B,3,18.00,B,2025-06-27 15:33:00,2025-06-28 07:49:00,191000.00,95500.00,16.27,5870.90,22.71,42.40,19.69,42.40,flat_segment,20.20,20.20,20.45,4.18,7562.82,21222.21,13659.39,0.14,81840.61,cs650_approximate_sensing_volume,0.86,2.42,1.55,0.06,0.16,0.10
2025.00,S1_S2,west,S2,2025-07-26_S1_S2_98e2053f,VWC_1_raw_S2_B,1,6.00,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.00,53225.00,9.08,5859.63,10.07,39.73,29.66,38.70,fallback_window,12.50,12.50,16.50,7.42,8356.12,19748.36,11392.24,0.21,41832.76,cs650_approximate_sensing_volume,0.95,2.32,1.37,0.06,0.15,0.09
2025.00,S1_S2,west,S2,2025-07-26_S1_S2_98e2053f,VWC_2_raw_S2_B,2,12.00,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.00,53225.00,9.08,5859.63,11.12,34.93,23.80,30.76,flat_segment,17.00,17.00,25.75,16.67,8356.12,19748.36,11392.24,0.21,41832.76,cs650_approximate_sensing_volume,0.95,2.06,1.10,0.06,0.13,0.07
2025.00,S1_S2,west,S2,2025-07-26_S1_S2_98e2053f,VWC_3_raw_S2_B,3,18.00,B,2025-07-26 08:45:00,2025-07-26 17:50:00,106450.00,53225.00,9.08,5859.63,24.98,39.72,14.74,39.66,flat_segment,11.50,11.50,11.75,2.67,8356.12,19748.36,11392.24,0.21,41832.76,cs650_approximate_sensing_volume,0.95,2.35,1.40,0.06,0.15,0.09
2025.00,S1_S2,west,S2,2025-08-22_S1_S2_9f8675d7,VWC_1_raw_S2_B,1,6.00,B,2025-08-22 09:07:00,2025-08-22 19:04:00,61250.00,30625.00,9.95,3077.89,10.81,37.89,27.08,31.50,flat_segment,13.13,13.13,24.38,14.43,7708.78,17447.45,9738.67,0.32,20886.33,cs650_approximate_sensing_volume,0.88,1.92,1.04,0.06,0.12,0.07
2025.00,S1_S2,west,S2,2025-08-22_S1_S2_9f8675d7,VWC_2_raw_S2_B,2,12.00,B,2025-08-22 09:07:00,2025-08-22 19:04:00,61250.00,30625.00,9.95,3077.89,10.71,33.87,23.16,29.65,flat_segment,13.13,13.13,22.88,12.93,7708.78,17447.45,9738.67,0.32,20886.33,cs650_approximate_sensing_volume,0.88,1.94,1.06,0.06,0.12,0.07
2025.00,S1_S2,west,S2,2025-08-22_S1_S2_9f8675d7,VWC_3_raw_S2_B,3,18.00,B,2025-08-22 09:07:00,2025-08-22 19:04:00,61250.00,30625.00,9.95,3077.89,21.07,38.81,17.74,35.26,fallback_window,13.13,13.13,17.13,7.18,7708.78,17447.45,9738.67,0.32,20886.33,cs650_approximate_sensing_volume,0.88,2.05,1.17,0.06,0.13,0.08
2025.00,S1_S2,west,S2,2025-09-20_S1_S2_81d8ab0f,VWC_1_raw_S2_B,1,6.00,B,2025-09-20 10:42:00,2025-09-20 17:31:00,172200.00,86100.00,6.82,12630.81,11.14,36.62,25.48,30.32,flat_segment,11.80,11.80,22.80,15.98,8754.72,17183.23,8428.51,0.10,77671.49,cs650_approximate_sensing_volume,1.00,1.92,0.92,0.06,0.12,0.06
2025.00,S1_S2,west,S2,2025-09-20_S1_S2_81d8ab0f,VWC_2_raw_S2_B,2,12.00,B,2025-09-20 10:42:00,2025-09-20 17:31:00,172200.00,86100.00,6.82,12630.81,12.85,31.66,18.81,28.31,flat_segment,9.80,9.80,17.80,10.98,8754.72,17183.23,8428.51,0.10,77671.49,cs650_approximate_sensing_volume,1.00,1.97,0.97,0.06,0.13,0.06
