year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,unretained_gal_strip,estimated_storage_fraction_0_18in,unretained_fraction,whole_strip_storage_estimate_available
2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,18589.74,,12678.00,17940.05,2,False,2,,,False,,,,False
2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.00,7.48,4497.99,,3510.87,3716.32,2,False,2,,,False,,,,False
2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,44700.00,6.52,6859.34,,10506.18,13499.95,2,False,2,,,False,,,,False
2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,60450.00,8.00,7556.25,,13008.68,16428.22,2,False,2,,,False,,,,False
2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,49250.00,6.13,8029.89,,9244.00,15024.46,2,False,2,,,False,,,,False
2023,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,2023-08-24 13:47:00,2023-08-24 18:16:00,30125.00,4.48,6719.33,,9002.34,14953.09,2,False,2,,,False,,,,False
2023,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,2023-09-21 09:07:00,2023-09-21 16:09:00,37650.00,7.03,5353.08,,10648.08,15303.40,2,False,2,,,False,,,,False
2023,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,18589.74,16053.17,16101.01,,2,False,2,,,False,,,,False
2023,S1_S2,west,S2,2023-06-01_S1_S2_5b27ce31,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.00,7.48,4497.99,4766.07,4278.42,,2,False,2,,,False,,,,False
2023,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,44700.00,6.52,6859.34,14523.22,14658.96,12822.22,3,True,3,42004.40,2695.60,False,2695.60,0.94,0.06,True
2023,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,60450.00,8.00,7556.25,16979.15,14768.60,13914.97,3,True,3,45662.72,14787.28,False,14787.28,0.76,0.24,True
2023,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,49250.00,6.13,8029.89,11913.24,12245.98,11433.89,3,True,3,35593.10,13656.90,False,13656.90,0.72,0.28,True
2023,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,2023-08-24 13:47:00,2023-08-24 18:16:00,30125.00,4.48,6719.33,11532.35,9311.20,11581.68,3,True,3,32425.22,-2300.22,True,0.00,1.08,0.00,True
