year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,logger_position,gallons_strip,event_duration_hours,avg_flow_gph_strip,zone,zone_label,zone_length_ft,zone_area_sqft,zone_area_method,zone_gallons_per_inch,n_depth_rows,observed_depth_indices,complete_sensor_0_18in_profile,n_valid_storage_depths,valid_storage_depth_indices,invalid_storage_depth_indices,invalid_storage_reasons,complete_valid_0_18in_storage_profile,zone_storage_estimate_available,partial_valid_storage_in,partial_valid_storage_gal,baseline_zone_storage_in_0_18in,plateau_zone_storage_in_0_18in,estimated_zone_storage_in_0_18in,baseline_zone_storage_gal_0_18in,plateau_zone_storage_gal_0_18in,estimated_zone_storage_gal_0_18in,sensor_scale_baseline_swc_gal,sensor_scale_peak_swc_gal,sensor_scale_delta_swc_gal,sensor_scale_baseline_swc_L,sensor_scale_peak_swc_L,sensor_scale_delta_swc_L
2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,B,72500.00,3.90,18589.74,B,bottom,122.00,4483.40,projected_voronoi_clipped_to_field_boundary,2793.16,3,"1,2,3",True,2,"1,3",2,plateau_below_baseline,False,False,0.29,808.5353712246423,,,,,,,,,,,,
2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,M,72500.00,3.90,18589.74,M,middle,115.30,4195.00,projected_voronoi_clipped_to_field_boundary,2613.50,3,"1,2,3",True,3,"1,2,3",,,True,True,3.81,9944.495133963532,3.06315,6.8682,3.80505,8005.540076897909,17950.03521086144,9944.495133963532,,,,,,
2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,T,72500.00,3.90,18589.74,T,top,109.40,3884.20,projected_voronoi_clipped_to_field_boundary,2419.84,3,"1,2,3",True,3,"1,2,3",,,True,True,5.72,13849.349765084338,2.17626,7.899509999999999,5.72325,5266.201182852827,19115.55094793716,13849.349765084338,,,,,,
2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,2023-06-01 11:16:08,2023-06-01 18:45:00,B,33650.00,7.48,4497.99,B,bottom,122.00,4483.40,projected_voronoi_clipped_to_field_boundary,2793.16,3,"1,2,3",True,0,,"1,2,3",no_peak;plateau_below_baseline,False,False,,,,,,,,,,,,,,
2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,2023-06-01 11:16:08,2023-06-01 18:45:00,M,33650.00,7.48,4497.99,M,middle,115.30,4195.00,projected_voronoi_clipped_to_field_boundary,2613.50,3,"1,2,3",True,3,"1,2,3",,,True,True,1.03,2688.7418427800785,6.0208200000000005,7.0496099999999995,1.0287899999999996,15735.408258096559,18424.150100876635,2688.7418427800785,,,,,,
2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,2023-06-01 11:16:08,2023-06-01 18:45:00,T,33650.00,7.48,4497.99,T,top,109.40,3884.20,projected_voronoi_clipped_to_field_boundary,2419.84,3,"1,2,3",True,3,"1,2,3",,,True,True,1.15,2777.274663676222,5.92704,7.07475,1.1477099999999996,14342.488975956925,17119.763639633147,2777.274663676222,,,,,,
2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,B,44700.00,6.52,6859.34,B,bottom,122.00,4483.40,projected_voronoi_clipped_to_field_boundary,2793.16,3,"1,2,3",True,2,"1,2",3,no_peak,False,False,0.05,145.04868147889545,,,,,,,,,,,,
2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,M,44700.00,6.52,6859.34,M,middle,115.30,4195.00,projected_voronoi_clipped_to_field_boundary,2613.50,3,"1,2,3",True,3,"1,2,3",,,True,True,3.09,8070.92982690166,3.67257,6.76074,3.0881700000000003,9598.258759842956,17669.188586744618,8070.92982690166,,,,,,
2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,T,44700.00,6.52,6859.34,T,top,109.40,3884.20,projected_voronoi_clipped_to_field_boundary,2419.84,3,"1,2,3",True,3,"1,2,3",,,True,True,4.20,10174.798397980296,3.06213,7.266870000000001,4.204740000000001,7409.86491873633,17584.663316716626,10174.798397980296,,,,,,
2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,B,60450.00,8.00,7556.25,B,bottom,122.00,4483.40,projected_voronoi_clipped_to_field_boundary,2793.16,3,"1,2,3",True,2,"2,3",1,no_peak,False,False,1.90,5302.530655103676,,,,,,,,,,,,
2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,M,60450.00,8.00,7556.25,M,middle,115.30,4195.00,projected_voronoi_clipped_to_field_boundary,2613.50,3,"1,2,3",True,3,"1,2,3",,,True,True,3.84,10041.560494280848,2.98551,6.827700000000001,3.8421900000000004,7802.627998948624,17844.188493229474,10041.560494280848,,,,,,
2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,T,60450.00,8.00,7556.25,T,top,109.40,3884.20,projected_voronoi_clipped_to_field_boundary,2419.84,3,"1,2,3",True,3,"1,2,3",,,True,True,5.12,12399.913951116709,2.77617,7.90044,5.124269999999999,6717.887448099276,19117.801399215987,12399.913951116709,,,,,,
2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,B,49250.00,6.13,8029.89,B,bottom,122.00,4483.40,projected_voronoi_clipped_to_field_boundary,2793.16,3,"1,2,3",True,2,"2,3",1,no_peak,False,False,1.73,4833.447744116469,,,,,,,,,,,,
2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,M,49250.00,6.13,8029.89,M,middle,115.30,4195.00,projected_voronoi_clipped_to_field_boundary,2613.50,3,"1,2,3",True,3,"1,2,3",,,True,True,2.73,7130.540544473632,4.05438,6.782730000000001,2.7283499999999994,10596.118889696341,17726.659434169975,7130.540544473632,,,,,,
2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,T,49250.00,6.13,8029.89,T,top,109.40,3884.20,projected_voronoi_clipped_to_field_boundary,2419.84,3,"1,2,3",True,3,"1,2,3",,,True,True,4.69,11345.904205399193,3.07665,7.76535,4.6887,7445.0009967669985,18790.905202166192,11345.904205399193,,,,,,
