year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,n_trustworthy_depths,mean_gallons_strip,mean_event_storage_gal,mean_event_storage_in,mean_profile_area_sqft,mean_bottom_response_delay_hr,mean_time_to_peak_hours,mean_time_to_plateau_hours,mean_event_duration_hours,estimated_surplus_gal_strip,estimated_surplus_fraction
2024,S1_S2,west,S1,2024-04-20_S1_S2_5f2fb725,2024-04-20 10:11:00,2024-04-20 17:54:00,3,62950.0,13119.997,2.7602,4838.5467,19.4834,19.4834,21.8167,7.7167,49830.003,0.7916
2024,S1_S2,west,S1,2024-05-11_S1_S2_4c1cd284,2024-05-11 06:55:00,2024-05-11 16:18:00,3,66500.0,97.9975,0.0325,4838.5467,10.9166,10.9166,19.5833,9.3833,66402.0025,0.9985
2024,S1_S2,west,S1,2024-06-01_S1_S2_ef46e32f,2024-06-01 18:05:00,2024-06-02 07:46:00,2,81250.0,6261.5268,1.939,4838.5467,17.5417,17.5417,21.5417,13.6833,74988.4732,0.9229
2024,S1_S2,west,S1,2024-06-22_S1_S2_e95bd875,2024-06-22 08:00:00,2024-06-22 15:49:00,3,47100.0,8568.3146,1.7818,4838.5467,12.3333,12.3333,17.25,7.8167,38531.6854,0.8181
2024,S1_S2,west,S1,2024-07-20_S1_S2_6d735351,2024-07-20 08:54:00,2024-07-20 17:43:00,3,55550.0,12564.9491,2.9438,4838.5467,13.9333,13.9333,18.6833,8.8167,42985.0509,0.7738
2024,S1_S2,west,S1,2024-08-10_S1_S2_de427086,2024-08-10 08:50:00,2024-08-10 20:38:00,3,84700.0,-6113.1279,-0.965,4838.5467,12.0834,12.0834,17.4167,11.8,90813.1279,1.0722
2024,S1_S2,west,S1,2024-09-07_S1_S2_b15b9a0a,2024-09-07 08:23:00,2024-09-07 16:16:00,3,53000.0,8815.6158,1.7448,4838.5467,13.5334,13.5334,17.0334,7.8833,44184.3842,0.8337
2024,S1_S2,west,S2,2024-04-20_S1_S2_5f2fb725,2024-04-20 10:11:00,2024-04-20 17:54:00,3,62950.0,12188.8847,2.7442,4838.5467,10.2334,10.2334,18.9,7.7167,50761.1153,0.8064
2024,S1_S2,west,S2,2024-05-11_S1_S2_4c1cd284,2024-05-11 06:55:00,2024-05-11 16:18:00,2,66500.0,0.0,,4838.5467,9.5833,9.5833,,9.3833,66500.0,1.0
2024,S1_S2,west,S2,2024-06-01_S1_S2_ef46e32f,2024-06-01 18:05:00,2024-06-02 07:46:00,3,81250.0,14642.714,3.2118,4838.5467,16.4167,16.4167,22.3334,13.6833,66607.286,0.8198
2024,S1_S2,west,S2,2024-06-22_S1_S2_e95bd875,2024-06-22 08:00:00,2024-06-22 15:49:00,3,47100.0,12382.7985,2.7499,4838.5467,11.0,11.0,22.5833,7.8167,34717.2015,0.7371
2024,S1_S2,west,S2,2024-07-20_S1_S2_6d735351,2024-07-20 08:54:00,2024-07-20 17:43:00,3,55550.0,14080.97,3.1225,4838.5467,11.35,11.35,14.6,8.8167,41469.03,0.7465
2024,S1_S2,west,S2,2024-08-10_S1_S2_de427086,2024-08-10 08:50:00,2024-08-10 20:38:00,3,84700.0,15135.3258,3.3032,4838.5467,15.9167,15.9167,18.0834,11.8,69564.6742,0.8213
2024,S1_S2,west,S2,2024-09-07_S1_S2_b15b9a0a,2024-09-07 08:23:00,2024-09-07 16:16:00,3,53000.0,11932.5347,2.5001,4838.5467,10.5334,10.5334,13.7834,7.8833,41067.4653,0.7749
2024,S3_S4,east,S3,2024-04-19_S3_S4_c5bf8374,2024-04-19 14:14:00,2024-04-19 21:33:00,2,54875.0,9135.9402,2.2356,4838.5467,6.0167,6.0167,12.6417,7.3167,45739.0598,0.8335
2024,S3_S4,east,S3,2024-06-01_S3_S4_0880f850,2024-06-01 08:29:00,2024-06-01 17:57:00,2,61450.0,6193.571,1.5585,4838.5467,8.1417,8.1417,14.5167,9.4667,55256.429,0.8992
2024,S3_S4,east,S3,2024-06-15_S3_S4_b6aa9839,2024-06-15 07:29:00,2024-06-15 16:13:00,2,52500.0,6128.1488,1.3244,4838.5467,7.7667,7.7667,13.5167,8.7333,46371.8512,0.8833
2024,S3_S4,east,S3,2024-06-28_S3_S4_14b9d993,2024-06-28 08:19:00,2024-06-28 14:44:00,3,39650.0,5615.2679,1.0931,4838.5467,4.9333,4.9333,8.6833,6.4167,34034.7321,0.8584
2024,S3_S4,east,S3,2024-07-11_S3_S4_d29231ea,2024-07-11 10:01:00,2024-07-11 17:39:00,3,46550.0,8034.9836,1.4977,4838.5467,6.2333,6.2333,9.9833,7.6333,38515.0164,0.8274
2024,S3_S4,east,S3,2024-07-26_S3_S4_fd133a4c,2024-07-26 19:02:00,2024-07-27 07:21:00,2,71850.0,9963.3543,2.4961,4838.5467,11.0917,11.0917,13.2167,12.3167,61886.6457,0.8613
2024,S3_S4,east,S3,2024-08-09_S3_S4_fd100e26,2024-08-09 08:45:00,2024-08-09 15:50:00,2,46900.0,7484.279,1.5044,4838.5467,5.625,5.625,13.0,7.0833,39415.721,0.8404
2024,S3_S4,east,S3,2024-08-23_S3_S4_0b64e5f5,2024-08-23 09:32:00,2024-08-23 15:04:00,3,30150.0,6383.5939,1.273,4838.5467,4.4667,4.4667,8.3834,5.5333,23766.4061,0.7883
2024,S3_S4,east,S3,2024-09-06_S3_S4_9e0ce675,2024-09-06 09:33:00,2024-09-06 16:29:00,1,48950.0,5546.0452,1.7057,4838.5467,5.45,5.45,9.45,6.9333,43403.9548,0.8867
2024,S3_S4,east,S3,2024-09-20_S3_S4_032d9e33,2024-09-20 14:27:00,2024-09-20 17:52:00,3,16450.0,4319.0401,0.874,4838.5467,2.6333,2.6333,8.9667,3.4167,12130.9599,0.7374
2024,S3_S4,east,S3,2024-10-04_S3_S4_bf53dc9a,2024-10-04 11:55:00,2024-10-04 18:02:00,1,47200.0,5698.0636,1.8163,4838.5467,4.8333,4.8333,8.8333,6.1167,41501.9364,0.8793
2024,S3_S4,east,S4,2024-04-19_S3_S4_c5bf8374,2024-04-19 14:14:00,2024-04-19 21:33:00,2,54875.0,1223.7476,0.5275,4838.5467,8.5167,8.5167,8.7667,7.3167,53651.2524,0.9777
2024,S3_S4,east,S4,2024-05-17_S3_S4_09c73fc7,2024-05-17 13:31:00,2024-05-17 19:09:00,3,47550.0,5019.5008,0.9556,4838.5467,3.5666,3.5666,14.4,5.6333,42530.4992,0.8944
2024,S3_S4,east,S4,2024-06-28_S3_S4_14b9d993,2024-06-28 08:19:00,2024-06-28 14:44:00,3,39650.0,2549.5647,0.3413,4838.5467,4.6833,4.6833,12.9333,6.4167,37100.4353,0.9357
2024,S3_S4,east,S4,2024-07-26_S3_S4_fd133a4c,2024-07-26 19:02:00,2024-07-27 07:21:00,2,71850.0,4568.1511,0.8976,4838.5467,21.4667,21.4667,22.0917,12.3167,67281.8489,0.9364
2024,S3_S4,east,S4,2024-08-09_S3_S4_fd100e26,2024-08-09 08:45:00,2024-08-09 15:50:00,2,46900.0,2991.0513,0.5796,4838.5467,16.375,16.375,22.625,7.0833,43908.9487,0.9362
2024,S3_S4,east,S4,2024-08-23_S3_S4_0b64e5f5,2024-08-23 09:32:00,2024-08-23 15:04:00,2,30150.0,3420.0507,0.6627,4838.5467,18.9667,18.9667,21.9667,5.5333,26729.9493,0.8866
2024,S3_S4,east,S4,2024-09-06_S3_S4_9e0ce675,2024-09-06 09:33:00,2024-09-06 16:29:00,2,48950.0,2465.5927,0.5392,4838.5467,5.95,5.95,9.95,6.9333,46484.4073,0.9496
