year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,unretained_gal_strip,estimated_storage_fraction_0_18in,unretained_fraction,whole_strip_storage_estimate_available,event_qc_eligible,event_qc_reason,bottom_6in_arrival_time,bottom_6in_arrival_delay_hr,bottom_6in_response_observed,bottom_6in_arrival_before_irrigation_end,bottom_6in_arrival_after_irrigation_end,post_bottom_6in_arrival_runtime_hr,post_bottom_6in_arrival_applied_gal,post_bottom_6in_arrival_applied_fraction,holding_capacity_eligible,holding_capacity_reason,unretained_eligible,unretained_reason,unretained_available,end_of_field_unretained_eligible,end_of_field_unretained_reason,estimated_end_of_field_unretained_gal_strip,estimated_end_of_field_unretained_fraction,estimated_storage_percent,unretained_percent
2026.00,S1_S2,west,S1,2026-04-21_S1_S2_001c30f6,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,6169.76,9734.84,9013.88,9678.06,3.00,True,3.00,28426.78,82423.22,False,82423.22,0.26,0.74,True,False,unexplained_pre_start_response,2026-04-21 23:15:00,8.35,True,True,False,9.62,59332.72,0.54,False,unexplained_pre_start_response,False,unexplained_pre_start_response,False,False,unexplained_pre_start_response,,,25.64,74.36
2026.00,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,2026-05-20 11:23:00,2026-05-20 17:53:00,54400.00,6.50,8369.23,7168.67,6945.58,5969.52,3.00,True,3.00,20083.76,34316.24,False,34316.24,0.37,0.63,True,True,ok,2026-05-20 17:45:00,6.37,True,True,False,0.13,1115.90,0.02,True,ok,True,ok,True,True,ok,34316.24,0.63,36.92,63.08
2026.00,S1_S2,west,S1,2026-06-20_S1_S2_ba82572f,2026-06-20 08:00:00,2026-06-20 17:03:00,65700.00,9.05,7259.67,10826.65,9871.04,11904.55,3.00,True,3.00,32602.24,33097.76,False,33097.76,0.50,0.50,True,True,ok,2026-06-20 16:00:00,8.00,True,True,False,1.05,7622.65,0.12,True,ok,True,ok,True,True,ok,33097.76,0.50,49.62,50.38
2026.00,S1_S2,west,S1,2026-06-27_S1_S2_be4e641a,2026-06-27 11:05:00,2026-06-27 16:34:00,33511.00,5.48,6111.43,3667.52,3156.48,3612.01,3.00,True,3.00,10436.01,23074.99,False,23074.99,0.31,0.69,True,True,ok,2026-06-27 15:30:00,4.42,True,True,False,1.07,6518.65,0.19,True,ok,True,ok,True,True,ok,23074.99,0.69,31.14,68.86
2026.00,S1_S2,west,S1,2026-07-24_S1_S2_63eb5228,2026-07-24 08:25:00,2026-07-24 15:43:00,34125.00,7.30,4674.66,11165.48,8003.99,11671.71,3.00,True,3.00,30841.18,3283.82,False,3283.82,0.90,0.10,True,True,ok,2026-07-24 15:45:00,7.33,True,False,True,0.00,0.00,0.00,True,ok,True,ok,True,True,ok,3283.82,0.10,90.38,9.62
2026.00,S1_S2,west,S1,2026-08-14_S1_S2_72b4c1d7,2026-08-14 10:25:00,2026-08-14 13:47:00,21350.00,3.37,6341.58,5060.35,4362.56,9046.68,3.00,True,3.00,18469.59,2880.41,False,2880.41,0.87,0.13,True,True,ok,2026-08-14 17:30:00,7.08,True,False,True,0.00,0.00,0.00,True,ok,True,ok,True,True,ok,2880.41,0.13,86.51,13.49
2026.00,S1_S2,west,S2,2026-04-21_S1_S2_001c30f6,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,6169.76,15804.57,12661.95,14497.73,3.00,True,3.00,42964.24,67885.76,False,67885.76,0.39,0.61,True,False,unexplained_pre_start_response,2026-04-21 17:45:00,2.85,True,True,False,15.12,93266.39,0.84,False,unexplained_pre_start_response,False,unexplained_pre_start_response,False,False,unexplained_pre_start_response,,,38.76,61.24
2026.00,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,2026-05-20 11:23:00,2026-05-20 17:53:00,54400.00,6.50,8369.23,12077.75,10634.02,10244.18,3.00,True,3.00,32955.95,21444.05,False,21444.05,0.61,0.39,True,True,ok,2026-05-20 12:45:00,1.37,True,True,False,5.13,42962.05,0.79,True,ok,True,ok,True,True,ok,21444.05,0.39,60.58,39.42
2026.00,S1_S2,west,S2,2026-06-20_S1_S2_ba82572f,2026-06-20 08:00:00,2026-06-20 17:03:00,65700.00,9.05,7259.67,13680.20,10796.21,9878.17,3.00,True,3.00,34354.58,31345.42,False,31345.42,0.52,0.48,True,True,ok,2026-06-20 11:00:00,3.00,True,True,False,6.05,43920.99,0.67,True,ok,True,ok,True,True,ok,31345.42,0.48,52.29,47.71
2026.00,S1_S2,west,S2,2026-06-27_S1_S2_be4e641a,2026-06-27 11:05:00,2026-06-27 16:34:00,33511.00,5.48,6111.43,6955.30,3907.68,6901.83,3.00,True,3.00,17764.82,15746.18,False,15746.18,0.53,0.47,True,True,ok,2026-06-27 13:30:00,2.42,True,True,False,3.07,18741.51,0.56,True,ok,True,ok,True,True,ok,15746.18,0.47,53.01,46.99
2026.00,S1_S2,west,S2,2026-07-24_S1_S2_63eb5228,2026-07-24 08:25:00,2026-07-24 15:43:00,34125.00,7.30,4674.66,10500.32,9694.71,9416.27,3.00,True,3.00,29611.30,4513.70,False,4513.70,0.87,0.13,True,True,ok,2026-07-24 13:00:00,4.58,True,True,False,2.72,12699.49,0.37,True,ok,True,ok,True,True,ok,4513.70,0.13,86.77,13.23
2026.00,S1_S2,west,S2,2026-08-14_S1_S2_72b4c1d7,2026-08-14 10:25:00,2026-08-14 13:47:00,21350.00,3.37,6341.58,8337.31,8618.87,9119.23,3.00,True,3.00,26075.42,-4725.42,True,0.00,1.22,0.00,True,True,ok,2026-08-14 12:15:00,1.83,True,True,False,1.53,9723.97,0.46,True,ok,True,ok,True,True,ok,0.00,0.00,122.13,0.00
2026.00,S3_S4,east,S3,2026-04-21_S3_S4_ed1ed131,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,6169.76,12001.90,11779.35,7130.29,3.00,True,3.00,30911.54,79938.46,False,79938.46,0.28,0.72,True,True,ok,2026-04-21 16:30:00,1.60,True,True,False,16.37,100978.59,0.91,True,ok,True,ok,True,True,ok,79938.46,0.72,27.89,72.11
2026.00,S3_S4,east,S3,2026-05-08_S3_S4_989607cc,2026-05-08 09:00:00,2026-05-08 19:14:00,90350.00,10.23,8828.99,8167.95,9673.31,4736.31,3.00,True,3.00,22577.57,67772.43,False,67772.43,0.25,0.75,True,True,ok,2026-05-08 11:00:00,2.00,True,True,False,8.23,72691.73,0.80,True,ok,True,ok,True,True,ok,67772.43,0.75,24.99,75.01
2026.00,S3_S4,east,S3,2026-05-21_S3_S4_272f948e,2026-05-21 13:27:00,2026-05-21 19:54:00,59850.00,6.45,9279.07,8896.33,8325.12,3684.62,3.00,True,3.00,20906.07,38943.93,False,38943.93,0.35,0.65,True,True,ok,2026-05-21 15:00:00,1.55,True,True,False,4.90,45467.44,0.76,True,ok,True,ok,True,True,ok,38943.93,0.65,34.93,65.07
2026.00,S3_S4,east,S3,2026-06-05_S3_S4_f5beba0a,2026-06-05 14:19:00,2026-06-05 20:47:00,53900.00,6.47,8335.05,10122.52,8584.03,,2.00,False,2.00,,,False,,,,False,True,ok,2026-06-05 16:30:00,2.18,True,True,False,4.28,35702.08,0.66,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
