year,strip,logger_position,n_events,flow_storage_corr
2023,S1,B,0,
2023,S1,M,7,0.545
2023,S1,T,7,0.55
2023,S2,B,7,0.507
2023,S2,M,7,0.613
2023,S2,T,5,0.1
2023,S3,B,12,-0.06
2023,S3,M,1,
2023,S3,T,10,-0.211
2023,S4,B,3,0.927
2023,S4,M,8,0.321
2023,S4,T,10,-0.066
2024,S1,B,5,0.691
2024,S1,M,6,0.181
2024,S1,T,6,0.07
2024,S2,B,6,-0.249
2024,S2,M,6,-0.126
2024,S2,T,5,-0.72
2024,S3,B,14,-0.025
2024,S3,M,14,0.154
2024,S3,T,14,-0.002
2024,S4,B,4,0.567
2024,S4,M,13,0.084
2024,S4,T,14,-0.137
2025,S1,B,7,0.013
2025,S1,M,7,-0.036
2025,S1,T,7,-0.248
2025,S2,B,7,-0.286
2025,S2,M,7,-0.336
2025,S2,T,7,0.165
2025,S3,B,11,-0.23
2025,S3,M,11,-0.361
2025,S3,T,9,0.105
2025,S4,B,9,-0.187
2025,S4,M,11,-0.47
2025,S4,T,11,-0.364
2026,S1,B,6,-0.186
2026,S1,M,6,0.091
2026,S1,T,6,-0.32
2026,S2,B,6,0.262
2026,S2,M,6,0.216
2026,S2,T,6,0.083
2026,S3,B,8,-0.019
2026,S3,M,9,-0.306
2026,S3,T,4,-0.319
2026,S4,B,7,-0.236
2026,S4,M,9,-0.159
2026,S4,T,9,-0.367
