year,event_id,strip,pair,treatment,irrigation_start,irrigation_end,applied_irrigation_gal_strip,comparison_eligible,ineligibility_reason,baseline_profile_water_gal_strip,upper_retained_water_gal_strip,available_storage_gal_strip,baseline_above_upper_retained_gal_strip,applied_minus_available_storage_gal_strip,estimated_water_not_retained_gal_strip,applied_fraction_of_available_storage,irrigation_exceeds_available_storage,zone_area_method,represented_profile,interpretation
2023,2023-05-23_S1_S2_176caf9a,S1,S1_S2,biochar,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-05-23_S1_S2_176caf9a,S2,S1_S2,control,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-05-24_S3_S4_31cada45,S3,S3_S4,biochar,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-05-24_S3_S4_31cada45,S4,S3_S4,control,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-06-01_S1_S2_5b27ce31,S1,S1_S2,biochar,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.0,True,,49458.09,76557.57,27099.49,0.0,6550.51,6550.51,1.24,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-06-01_S1_S2_5b27ce31,S2,S1_S2,control,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-06-02_S3_S4_e824e1bc,S3,S3_S4,biochar,2023-06-02 15:43:00,2023-06-02 22:12:00,33750.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-06-02_S3_S4_e824e1bc,S4,S3_S4,control,2023-06-02 15:43:00,2023-06-02 22:12:00,33750.0,True,,33975.93,68363.11,34387.19,0.0,-637.19,0.0,0.98,False,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-06-14_S3_S4_71ac748b,S3,S3_S4,biochar,2023-06-14 08:25:00,2023-06-14 17:29:00,64100.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-06-14_S3_S4_71ac748b,S4,S3_S4,control,2023-06-14 08:25:00,2023-06-14 17:29:00,64100.0,True,,26311.15,68363.11,42051.96,0.0,22048.04,22048.04,1.52,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-06-26_S1_S2_69e5d9b6,S1,S1_S2,biochar,2023-06-26 09:31:00,2023-06-26 16:02:00,44700.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2023,2023-06-26_S1_S2_69e5d9b6,S2,S1_S2,control,2023-06-26 09:31:00,2023-06-26 16:02:00,44700.0,True,,21312.67,74231.44,52918.78,0.0,-8218.78,0.0,0.84,False,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
