year,event_id,strip,pair,treatment,irrigation_start,irrigation_end,applied_irrigation_gal_strip,comparison_eligible,ineligibility_reason,baseline_profile_water_gal_strip,upper_retained_water_gal_strip,available_storage_gal_strip,baseline_above_upper_retained_gal_strip,applied_minus_available_storage_gal_strip,estimated_water_not_retained_gal_strip,applied_fraction_of_available_storage,irrigation_exceeds_available_storage,zone_area_method,represented_profile,interpretation,event_duration_hours,avg_flow_gph_strip,avg_flow_gpm_strip,avg_flow_gpm_group,start_flow_gpm,end_flow_gpm,flow_allocation_fraction,notes,top_earliest_arrival_time,top_earliest_arrival_delay_hr,top_6in_arrival_time,top_6in_arrival_delay_hr,top_all_depths_arrived,top_all_depths_arrival_time,top_all_depths_arrival_delay_hr,middle_earliest_arrival_time,middle_earliest_arrival_delay_hr,middle_6in_arrival_time,middle_6in_arrival_delay_hr,middle_all_depths_arrived,middle_all_depths_arrival_time,middle_all_depths_arrival_delay_hr,bottom_earliest_arrival_time,bottom_earliest_arrival_delay_hr,bottom_6in_arrival_time,bottom_6in_arrival_delay_hr,bottom_all_depths_arrived,bottom_all_depths_arrival_time,bottom_all_depths_arrival_delay_hr,modeled_hours_to_50pct_available_storage,modeled_time_50pct_available_storage,50pct_threshold_before_irrigation_end,modeled_hours_to_80pct_available_storage,modeled_time_80pct_available_storage,80pct_threshold_before_irrigation_end,modeled_hours_to_90pct_available_storage,modeled_time_90pct_available_storage,90pct_threshold_before_irrigation_end,modeled_hours_to_100pct_available_storage,modeled_time_100pct_available_storage,100pct_threshold_before_irrigation_end,applied_gal_at_top_earliest_arrival,applied_fraction_at_top_earliest_arrival,applied_gal_at_middle_earliest_arrival,applied_fraction_at_middle_earliest_arrival,applied_gal_at_bottom_earliest_arrival,applied_fraction_at_bottom_earliest_arrival,candidate_inspection_alert_time,candidate_alert_available,candidate_alert_before_irrigation_end,runtime_after_candidate_alert_hr,applied_after_candidate_alert_gal,runtime_after_modeled_full_storage_hr,applied_after_modeled_full_storage_gal,max_avg_flow_gph_to_fit_available_storage_at_actual_duration,modeled_avg_flow_reduction_gph_needed_at_actual_duration,modeled_avg_flow_reduction_fraction_needed_at_actual_duration,alert_basis,flow_model_caveat
2023,2023-05-23_S1_S2_176caf9a,S1,S1_S2,biochar,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,3.9,18589.7,309.8,619.7,550.0,550.0,1.0,STRIP 1 NEVER REALLY RAN OFF END OF FIELD AND YOU COULD WALK ON HILLS. STRIP 2 RAN OFF END OF FIELD IN ABOUT 1.5 HOURS INTO WATERING AND FURROWS AND HILLS WERE COMPLETELY FLOODED. SOME WATER FROM STRIP 1 RAN OFF ONTO SRI'S FIELD.,2023-05-23 15:30:00,0.08,2023-05-23 15:30:00,0.08,True,2023-05-23 16:00:00,0.58,2023-05-23 17:45:00,2.33,2023-05-23 17:45:00,2.33,True,2023-05-23 21:30:00,6.08,2023-05-23 15:30:00,0.08,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-05-23_S1_S2_176caf9a,S2,S1_S2,control,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,3.9,18589.7,309.8,619.7,550.0,550.0,1.0,STRIP 1 NEVER REALLY RAN OFF END OF FIELD AND YOU COULD WALK ON HILLS. STRIP 2 RAN OFF END OF FIELD IN ABOUT 1.5 HOURS INTO WATERING AND FURROWS AND HILLS WERE COMPLETELY FLOODED. SOME WATER FROM STRIP 1 RAN OFF ONTO SRI'S FIELD.,2023-05-23 17:45:00,2.33,2023-05-23 17:45:00,2.33,False,,,2023-05-23 15:30:00,0.08,2023-05-23 15:30:00,0.08,True,2023-05-23 17:15:00,1.83,2023-05-23 16:15:00,0.83,2023-05-23 16:15:00,0.83,True,2023-05-23 17:15:00,1.83,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-05-24_S3_S4_31cada45,S3,S3_S4,biochar,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,3.9,18794.9,313.2,626.5,575.0,700.0,1.0,STRIP 4 WAS LOSING WATER TO NE CORNER OF FIELD AND DIDN’T WATER ABOUT 2-3 FURROWS WEST FROM EAST SIDE. STRIPS 3 & 4 WERE RUNNING ONTO STRIP 2 AS WELL. WATER MOVEMENT WAS S-SW.,2023-05-24 10:00:00,0.58,,,False,,,2023-05-24 19:30:00,10.08,2023-05-24 19:30:00,10.08,True,2023-05-24 21:45:00,12.33,2023-05-24 13:15:00,3.83,2023-05-24 13:15:00,3.83,True,2023-05-24 15:30:00,6.08,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-05-24_S3_S4_31cada45,S4,S3_S4,control,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,3.9,18794.9,313.2,626.5,575.0,700.0,1.0,STRIP 4 WAS LOSING WATER TO NE CORNER OF FIELD AND DIDN’T WATER ABOUT 2-3 FURROWS WEST FROM EAST SIDE. STRIPS 3 & 4 WERE RUNNING ONTO STRIP 2 AS WELL. WATER MOVEMENT WAS S-SW.,2023-05-24 09:45:00,0.33,2023-05-24 09:45:00,0.33,True,2023-05-24 11:00:00,1.58,2023-05-24 11:30:00,2.08,2023-05-24 11:30:00,2.08,True,2023-05-24 13:15:00,3.83,2023-05-24 15:30:00,6.08,2023-05-24 15:30:00,6.08,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-06-01_S1_S2_5b27ce31,S1,S1_S2,biochar,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.0,True,,49458.09,76557.57,27099.49,0.0,6550.51,6550.51,1.24,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,7.48,4498.0,86.5,173.0,200.0,290.0,1.0,"STARTED WATER AT 11:16AM NOTICED WATER STOPPED AT 2:07PM FOR UNKNOWN AMOUNT OF TIME. THE CANAL VALVE WAS OFF SO WATER WAS NOT FLOWING IN SYSTEM. TURNED ON AGAIN AT 3:07 PM AND FINALLY OFF AT 6:45 PM. ONLY A TINY BIT OF WATER AT THE VERY END RAN ONTO SRI'S FIELD, SHOULD NOT BE AN ISSUE. ALL BERMS WORKED GOOD. AT 2:10PM, WATER IS BARLEY PAST S1B WHEREAS S2B IS FLOODED WELL PAST IN ALL FURROWS.",2023-06-01 14:45:00,3.48,2023-06-01 14:45:00,3.48,True,2023-06-01 15:45:00,4.48,2023-06-01 15:00:00,3.73,2023-06-01 15:00:00,3.73,True,2023-06-01 17:15:00,5.98,,,,,False,,,3.01,2023-06-01 14:16:52.627884200,True,4.82,2023-06-01 16:05:19.404614723,True,5.42,2023-06-01 16:41:28.330191563,True,6.02,2023-06-01 17:17:37.255768403,True,15658.02,0.58,16782.52,0.62,,,,False,,,,1.46,6550.51,3622.39,875.6,0.19,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-06-01_S1_S2_5b27ce31,S2,S1_S2,control,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,7.48,4498.0,86.5,173.0,200.0,290.0,1.0,"STARTED WATER AT 11:16AM NOTICED WATER STOPPED AT 2:07PM FOR UNKNOWN AMOUNT OF TIME. THE CANAL VALVE WAS OFF SO WATER WAS NOT FLOWING IN SYSTEM. TURNED ON AGAIN AT 3:07 PM AND FINALLY OFF AT 6:45 PM. ONLY A TINY BIT OF WATER AT THE VERY END RAN ONTO SRI'S FIELD, SHOULD NOT BE AN ISSUE. ALL BERMS WORKED GOOD. AT 2:10PM, WATER IS BARLEY PAST S1B WHEREAS S2B IS FLOODED WELL PAST IN ALL FURROWS.",2023-06-01 13:45:00,2.48,2023-06-01 13:45:00,2.48,False,,,2023-06-01 17:15:00,5.98,2023-06-01 17:15:00,5.98,True,2023-06-01 17:45:00,6.48,2023-06-01 15:45:00,4.48,2023-06-01 16:30:00,5.23,True,2023-06-01 16:30:00,5.23,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-06-02_S3_S4_e824e1bc,S3,S3_S4,biochar,2023-06-02 15:43:00,2023-06-02 22:12:00,33750.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,6.48,5205.7,86.8,173.5,260.0,250.0,1.0,"WATER WAS CLEAN COMING OUT OF PIPE. FIELD IS GOOD AND SATURATED. THERE WAS NO SIDE MOVEMENT OF WATER, WATER RAN DOWN RESPECTIVE FURROWS SO 1&2 WERE NOT INFLUENCED FROM THIS WATERING UNLIKE THE FIRST WATERING.",2023-06-02 17:00:00,1.28,,,False,,,2023-06-03 02:45:00,11.03,2023-06-03 02:45:00,11.03,False,,,2023-06-02 18:30:00,2.78,2023-06-02 18:30:00,2.78,True,2023-06-02 20:00:00,4.28,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-06-02_S3_S4_e824e1bc,S4,S3_S4,control,2023-06-02 15:43:00,2023-06-02 22:12:00,33750.0,True,,33975.93,68363.11,34387.19,0.0,-637.19,0.0,0.98,False,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,6.48,5205.7,86.8,173.5,260.0,250.0,1.0,"WATER WAS CLEAN COMING OUT OF PIPE. FIELD IS GOOD AND SATURATED. THERE WAS NO SIDE MOVEMENT OF WATER, WATER RAN DOWN RESPECTIVE FURROWS SO 1&2 WERE NOT INFLUENCED FROM THIS WATERING UNLIKE THE FIRST WATERING.",2023-06-02 18:30:00,2.78,2023-06-02 18:30:00,2.78,False,,,,,,,False,,,,,,,False,,,3.3,2023-06-02 19:01:10.224561538,True,5.28,2023-06-02 21:00:04.359298462,True,5.95,2023-06-02 21:39:42.404210768,True,6.61,2023-06-02 22:19:20.449123077,False,14489.2,0.42,,,,,,False,,,,,,5303.96,0.0,0.0,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-06-14_S3_S4_71ac748b,S3,S3_S4,biochar,2023-06-14 08:25:00,2023-06-14 17:29:00,64100.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,9.07,7069.9,117.8,235.7,250.0,250.0,1.0,"4B FURROWS ARE WET, HILLS ARE PARTIALLY DRY/WET. BOTTOM OF 3&4 ARE WET. WATER REACHED EXTREME SOUTHEAST PORTION OF CATCH DITCH. AT 2:13PM JERRY AND BILL ADJUSTED GATES SO THAT EAST END OF GATES ARE FLOWING. THEY WERE FLOWING AT THE START OF WATERING BUT FLOW REDUCED OVER TIME AND THEY STOPPED AT SOME POINT.",2023-06-14 09:15:00,0.83,2023-06-14 09:30:00,1.08,True,2023-06-14 10:00:00,1.58,2023-06-14 19:00:00,10.58,2023-06-14 19:15:00,10.83,True,2023-06-14 20:15:00,11.83,2023-06-14 10:45:00,2.33,2023-06-14 10:45:00,2.33,True,2023-06-14 11:15:00,2.83,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
2023,2023-06-14_S3_S4_71ac748b,S4,S3_S4,control,2023-06-14 08:25:00,2023-06-14 17:29:00,64100.0,True,,26311.15,68363.11,42051.96,0.0,22048.04,22048.04,1.52,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff,9.07,7069.9,117.8,235.7,250.0,250.0,1.0,"4B FURROWS ARE WET, HILLS ARE PARTIALLY DRY/WET. BOTTOM OF 3&4 ARE WET. WATER REACHED EXTREME SOUTHEAST PORTION OF CATCH DITCH. AT 2:13PM JERRY AND BILL ADJUSTED GATES SO THAT EAST END OF GATES ARE FLOWING. THEY WERE FLOWING AT THE START OF WATERING BUT FLOW REDUCED OVER TIME AND THEY STOPPED AT SOME POINT.",2023-06-14 11:30:00,3.08,2023-06-14 11:30:00,3.08,True,2023-06-14 13:30:00,5.08,2023-06-14 14:30:00,6.08,2023-06-14 14:30:00,6.08,True,2023-06-14 16:45:00,8.33,2023-06-14 16:45:00,8.33,2023-06-14 16:45:00,8.33,False,,,2.97,2023-06-14 11:23:26.449596174,True,4.76,2023-06-14 13:10:30.319353882,True,5.35,2023-06-14 13:46:11.609273116,True,5.95,2023-06-14 14:21:52.899192351,True,21798.86,0.52,43008.56,1.02,58915.83,1.4,2023-06-14 16:45:00.000000000,True,True,0.73,5184.59,3.12,22048.47,4638.07,2431.83,0.34,later of earliest sustained bottom response and modeled 80% available storage,threshold times use event-average strip flow; start/end readings are contextual
