year,strip,depth_inches,n_events,rec_runtime_hours,rec_runtime_minutes,rec_runtime_is_trustworthy,actual_runtime_hours,actual_runtime_minutes,source_time_col,summary_stat,median_avg_flow_gph_strip,median_lag_after_irrigation_hr
2025.00,S1,6.00,7.00,19.38,1163.00,True,12.53,752.00,time_to_plateau_hours,median,5859.63,8.92
2025.00,S1,12.00,7.00,16.20,972.00,True,12.53,752.00,time_to_plateau_hours,median,5859.63,3.92
2025.00,S1,18.00,7.00,24.00,1440.00,True,12.53,752.00,time_to_plateau_hours,median,5859.63,12.12
2025.00,S2,6.00,7.00,20.80,1248.00,True,12.53,752.00,time_to_plateau_hours,median,5859.63,5.42
2025.00,S2,12.00,7.00,20.88,1253.00,True,12.53,752.00,time_to_plateau_hours,median,5859.63,6.68
2025.00,S2,18.00,7.00,15.13,908.00,True,12.53,752.00,time_to_plateau_hours,median,5859.63,1.87
2025.00,S3,6.00,11.00,13.18,791.00,True,9.08,545.00,time_to_plateau_hours,median,5871.91,2.98
2025.00,S3,12.00,11.00,14.75,885.00,True,9.08,545.00,time_to_plateau_hours,median,5871.91,3.73
2025.00,S3,18.00,11.00,16.27,976.00,True,9.08,545.00,time_to_plateau_hours,median,5871.91,6.23
2025.00,S4,6.00,10.00,16.00,960.00,True,9.08,545.00,time_to_plateau_hours,median,5871.91,7.54
2025.00,S4,12.00,10.00,20.11,1206.50,True,9.08,545.00,time_to_plateau_hours,median,5871.91,11.07
2025.00,S4,18.00,9.00,17.75,1065.00,True,9.08,545.00,time_to_plateau_hours,median,5871.91,7.65
