variable_name,source_csv,definition,formula_or_rule
actual_runtime_hours,irrigation_runtimes_2026_all_depths.csv,,
actual_runtime_minutes,irrigation_runtimes_2026_all_depths.csv,,
depth_inches,irrigation_runtimes_2026_all_depths.csv,Probe depth in inches.,Mapped from depth_index using DEPTH_INDEX_TO_INCHES[depth_index]
median_avg_flow_gph_strip,irrigation_runtimes_2026_all_depths.csv,,
median_lag_after_irrigation_hr,irrigation_runtimes_2026_all_depths.csv,,
n_events,irrigation_runtimes_2026_all_depths.csv,,
rec_runtime_hours,irrigation_runtimes_2026_all_depths.csv,,
rec_runtime_is_trustworthy,irrigation_runtimes_2026_all_depths.csv,,
rec_runtime_minutes,irrigation_runtimes_2026_all_depths.csv,,
source_time_col,irrigation_runtimes_2026_all_depths.csv,,
strip,irrigation_runtimes_2026_all_depths.csv,,
summary_stat,irrigation_runtimes_2026_all_depths.csv,,
year,irrigation_runtimes_2026_all_depths.csv,,
depth_inches,irrigation_targets_2026_all_depths.csv,Probe depth in inches.,Mapped from depth_index using DEPTH_INDEX_TO_INCHES[depth_index]
depth_index,irrigation_targets_2026_all_depths.csv,Probe depth index in the logger naming convention.,"1 = 6 in, 2 = 12 in, 3 = 18 in"
k_std,irrigation_targets_2026_all_depths.csv,,
mean_value,irrigation_targets_2026_all_depths.csv,,
n_events,irrigation_targets_2026_all_depths.csv,,
quantile_cap,irrigation_targets_2026_all_depths.csv,,
raw_target_value,irrigation_targets_2026_all_depths.csv,,
sd_value,irrigation_targets_2026_all_depths.csv,,
sensor_col,irrigation_targets_2026_all_depths.csv,,
source_value_col,irrigation_targets_2026_all_depths.csv,,
strip,irrigation_targets_2026_all_depths.csv,,
target_is_trustworthy,irrigation_targets_2026_all_depths.csv,,
target_value,irrigation_targets_2026_all_depths.csv,,
year,irrigation_targets_2026_all_depths.csv,,
