year,strip_group,location,strip,logger_position,sensor_col,depth_index,depth_inches,n_trustworthy_events,mean_bottom_response_delay_hr,sd_bottom_response_delay_hr,mean_time_to_peak_hours,sd_time_to_peak_hours,mean_time_to_plateau_hours,sd_time_to_plateau_hours,mean_event_duration_hours,sd_event_duration_hours,mean_gallons_strip,sd_gallons_strip,mean_baseline_vwc,sd_baseline_vwc,mean_peak_vwc,sd_peak_vwc,mean_peak_increase,sd_peak_increase,mean_plateau_vwc,sd_plateau_vwc,min_plateau_vwc,max_plateau_vwc,mean_event_layer_storage_in,sd_event_layer_storage_in,mean_event_layer_storage_gal_scaled,sd_event_layer_storage_gal_scaled,diagnostic_profile_area_sqft,diagnostic_profile_gallons_per_inch,mean_event_layer_storage_gal_check
2023,S1_S2,west,S1,B,VWC_1_raw_S1_B,1,6,6,6.9496,3.2807,6.9496,3.2807,16.3453,6.3462,6.608,1.2352,42637.5,11202.4746,21.4866,2.8445,22.0552,2.8634,0.5686,0.4199,20.9121,2.3701,18.7515,23.8675,-0.0538,0.0781,-179.8619,261.0865,5363.4833,3341.4501,-179.9371
2023,S1_S2,west,S1,B,VWC_2_raw_S1_B,2,12,6,14.9913,7.4481,14.9913,7.4481,20.25,6.6806,6.608,1.2352,42637.5,11202.4746,25.4248,6.414,32.3852,13.1224,6.9603,9.9399,36.378,14.3656,21.771,50.4605,0.6448,0.7103,2154.7341,2373.5397,5363.4833,3341.4501,2154.6506
2023,S1_S2,west,S1,B,VWC_3_raw_S1_B,3,18,7,16.3973,7.7687,16.3973,7.7687,23.7125,4.2053,6.2211,1.5228,46903.5714,15230.7285,24.4818,13.5887,27.7359,15.5565,3.2541,4.3084,31.4344,17.4627,7.6465,49.667,0.3616,0.2795,1208.285,933.8836,5363.4833,3341.4501,1208.2684
2023,S1_S2,west,S1,M,VWC_1_raw_S1_M,1,6,6,5.9913,1.2934,5.9913,1.2934,15.9496,2.1924,6.608,1.2352,42637.5,11202.4746,15.7978,8.1524,41.7193,1.2701,25.9215,8.0666,37.4035,1.5107,35.7615,39.8155,1.2963,0.421,4331.6555,1406.8432,5363.4833,3341.4501,4331.6332
2023,S1_S2,west,S1,M,VWC_2_raw_S1_M,2,12,6,6.4496,1.2579,6.4496,1.2579,11.6163,2.4692,6.608,1.2352,42637.5,11202.4746,19.3517,6.1412,37.2327,1.3106,17.881,5.9856,35.343,1.395,33.3085,37.555,0.9595,0.303,3206.0546,1012.4584,5363.4833,3341.4501,3206.0657
2023,S1_S2,west,S1,M,VWC_3_raw_S1_M,3,18,7,9.4687,6.1274,9.4687,6.1274,10.7187,5.7471,6.2211,1.5228,46903.5714,15230.7285,30.2037,5.8988,39.6659,1.3407,9.4621,5.2062,39.4262,1.2833,37.8315,41.4445,0.5533,0.3213,1848.9914,1073.5116,5363.4833,3341.4501,1848.9198
2023,S1_S2,west,S1,T,VWC_1_raw_S1_T,1,6,2,6.2322,0.7056,6.2322,0.7056,14.3572,1.5925,6.9989,0.6819,39175.0,7813.5299,23.5438,13.0224,42.2295,0.5664,18.6858,13.5888,39.334,0.029,39.3135,39.3545,0.9474,0.7796,3165.74,2605.016,5363.4833,3341.4501,3165.8569
2023,S1_S2,west,S1,T,VWC_2_raw_S1_T,2,12,2,6.3572,0.5288,6.3572,0.5288,12.2322,3.1804,6.9989,0.6819,39175.0,7813.5299,22.8958,11.1429,40.553,1.8611,17.6572,9.2818,37.9675,0.4405,37.656,38.279,0.9043,0.6422,3021.69,2145.6951,5363.4833,3341.4501,3021.6733
2023,S1_S2,west,S1,T,VWC_3_raw_S1_T,3,18,1,6.7311,,6.7311,,13.7311,,7.4811,,33650.0,,35.041,,44.599,,9.558,,40.279,,40.279,40.279,0.3143,,1050.1509,,5363.4833,3341.4501,1050.2178
2023,S1_S2,west,S2,B,VWC_1_raw_S2_B,1,6,6,5.7829,1.1048,5.7829,1.1048,16.3246,4.0937,6.608,1.2352,42637.5,11202.4746,11.3929,6.3262,38.6005,2.2913,27.2076,7.9152,31.7572,2.5337,29.557,36.3795,1.2219,0.3816,4082.7675,1275.2164,5363.4833,3341.4501,4082.8065
2023,S1_S2,west,S2,B,VWC_2_raw_S2_B,2,12,6,5.8246,1.0587,5.8246,1.0587,13.658,4.134,6.608,1.2352,42637.5,11202.4746,10.6535,7.5293,35.2398,1.0653,24.5863,8.1324,30.9121,2.3521,28.866,35.188,1.2155,0.4648,4061.5828,1552.9923,5363.4833,3341.4501,4061.5883
2023,S1_S2,west,S2,B,VWC_3_raw_S2_B,3,18,6,5.6802,1.5554,5.6802,1.5554,9.6802,1.5554,6.2357,1.6677,46512.5,16645.8835,12.5887,7.8356,38.4185,1.8139,25.8298,7.1278,33.8312,1.3195,31.4125,35.135,1.2746,0.4459,4258.8285,1490.1545,5363.4833,3341.4501,4258.8452
2023,S1_S2,west,S2,M,VWC_1_raw_S2_M,1,6,6,6.908,1.2706,6.908,1.2706,14.3663,5.8724,6.608,1.2352,42637.5,11202.4746,14.827,6.271,39.6535,0.9254,24.8265,6.6301,36.2168,2.2427,34.617,39.8055,1.2834,0.4257,4288.3837,1422.6337,5363.4833,3341.4501,4288.4171
2023,S1_S2,west,S2,M,VWC_2_raw_S2_M,2,12,6,6.8663,1.3579,6.8663,1.3579,17.283,1.8702,6.608,1.2352,42637.5,11202.4746,14.4896,6.0266,36.7925,1.0831,22.3029,6.8197,32.9303,0.7273,31.928,33.794,1.1064,0.3464,3697.1308,1157.4454,5363.4833,3341.4501,3697.0918
2023,S1_S2,west,S2,M,VWC_3_raw_S2_M,3,18,6,6.1163,2.5189,6.1163,2.5189,11.283,5.0295,6.608,1.2352,42637.5,11202.4746,18.1635,9.0063,36.0162,3.0126,17.8527,9.1652,32.5415,1.9728,30.722,36.2725,0.8627,0.5438,2882.6022,1817.1561,5363.4833,3341.4501,2882.669
2023,S1_S2,west,S2,T,VWC_1_raw_S2_T,1,6,6,10.408,1.3237,10.408,1.3237,13.8663,2.6753,6.608,1.2352,42637.5,11202.4746,14.553,4.6198,43.6028,2.3205,29.0498,3.6674,38.5778,1.5089,36.875,40.7045,1.4415,0.2216,4816.6669,740.5857,5363.4833,3341.4501,4816.7003
2023,S1_S2,west,S2,T,VWC_2_raw_S2_T,2,12,6,10.783,1.5965,10.783,1.5965,14.7413,2.9391,6.608,1.2352,42637.5,11202.4746,19.2042,4.9191,43.5077,1.1173,24.3034,3.9306,39.9973,0.984,38.063,40.8715,1.2476,0.296,4168.743,989.1269,5363.4833,3341.4501,4168.8489
2023,S1_S2,west,S2,T,VWC_3_raw_S2_T,3,18,5,10.6433,1.5944,10.6433,1.5944,16.1933,4.9985,6.4333,1.2956,44435.0,11516.8029,22.6218,2.2764,39.4558,0.6514,16.834,2.7264,37.8635,2.0916,35.4695,40.0875,0.9145,0.2454,3055.7628,819.9138,5363.4833,3341.4501,3055.7561
2023,S3_S4,east,S3,B,VWC_1_raw_S3_B,1,6,12,9.0153,3.2848,9.0153,3.2848,16.3903,4.98,7.1542,2.6667,55110.4167,22348.3461,14.2571,4.3854,34.9773,2.5813,20.7202,3.6883,32.071,2.5875,27.915,37.0555,1.0688,0.2884,3571.4588,963.6522,5363.4833,3341.4501,3571.4254
2023,S3_S4,east,S3,B,VWC_2_raw_S3_B,2,12,12,10.2444,4.9202,10.2444,4.9202,16.7028,4.8806,7.1542,2.6667,55110.4167,22348.3461,16.918,5.1933,32.0479,4.8912,15.1299,4.4472,29.419,4.1114,17.0635,33.1255,0.7501,0.2542,2506.2964,849.5938,5363.4833,3341.4501,2506.3104
2023,S3_S4,east,S3,B,VWC_3_raw_S3_B,3,18,12,8.4944,2.8606,8.4944,2.8606,12.8694,3.7118,7.1542,2.6667,55110.4167,22348.3461,12.7334,3.0926,26.9178,4.3664,14.1844,2.4651,23.0756,3.8243,14.796,31.206,0.6205,0.1703,2073.4784,569.0016,5363.4833,3341.4501,2073.4812
2023,S3_S4,east,S3,T,VWC_1_raw_S3_T,1,6,10,7.3317,2.4224,7.3317,2.4224,8.9817,2.8087,7.5467,2.7007,55427.5,22866.2793,15.8194,2.9285,41.03,0.8294,25.2106,2.9008,40.5024,1.0074,38.282,42.353,1.481,0.1762,4948.6007,588.8384,5363.4833,3341.4501,4948.6208
