strip_group,location,strip,sensor_col,depth_inches,n_trustworthy_events,mean_bottom_response_delay_hr,sd_bottom_response_delay_hr,mean_time_to_peak_hours,sd_time_to_peak_hours,mean_time_to_plateau_hours,sd_time_to_plateau_hours,mean_event_duration_hours,sd_event_duration_hours,mean_gallons_strip,sd_gallons_strip,mean_baseline_vwc,sd_baseline_vwc,mean_peak_vwc,sd_peak_vwc,mean_peak_increase,sd_peak_increase,mean_plateau_vwc,sd_plateau_vwc,min_plateau_vwc,max_plateau_vwc,mean_profile_baseline_storage_gal,sd_profile_baseline_storage_gal,mean_profile_plateau_storage_gal,sd_profile_plateau_storage_gal,mean_event_storage_gal,sd_event_storage_gal,mean_efficiency_strip,sd_efficiency_strip,mean_estimated_loss_gal_strip,sd_estimated_loss_gal_strip,profile_area_sqft,gallons_per_profile_inch,mean_profile_baseline_storage_in,mean_profile_plateau_storage_in,mean_event_storage_in,mean_profile_baseline_storage_gal_scaled,mean_profile_plateau_storage_gal_scaled,mean_event_storage_gal_scaled
S1_S2,west,S1,VWC_1_raw_S1_B,6,6,13.9222,2.3502,13.9222,2.3502,18.9639,2.2249,8.9028,1.5658,61633.3333,13268.3709,26.7863,3.7718,50.1948,7.8166,23.4085,11.2857,37.6152,14.8698,9.9175,51.96,15128.5544,2720.8107,19020.1786,8967.0237,6175.6243,7611.7447,0.1187,0.1233,55457.709,19852.4538,4838.5467,3014.4146,5.0187,6.3097,2.0487,15128.5544,19020.1786,6175.6243
S1_S2,west,S1,VWC_2_raw_S1_B,12,7,15.3143,3.9955,15.3143,3.9955,18.5611,2.965,9.5857,2.3039,64435.7143,14201.4587,27.7382,6.1676,52.302,7.3948,24.5638,13.3998,40.1588,17.8179,3.841,49.234,15391.4172,2579.2804,19621.599,8338.9572,6187.8961,6948.6163,0.1127,0.1137,58247.8182,19568.501,4838.5467,3014.4146,5.1059,6.5093,2.0528,15391.4172,19621.599,6187.8961
S1_S2,west,S1,VWC_3_raw_S1_B,18,7,13.0286,5.8253,13.0286,5.8253,19.0195,3.5047,9.5857,2.3039,64435.7143,14201.4587,29.8741,5.5329,43.6409,3.7607,13.7668,8.3577,42.17,3.7937,35.6,46.4485,15391.4172,2579.2804,19621.599,8338.9572,6187.8961,6948.6163,0.1127,0.1137,58247.8182,19568.501,4838.5467,3014.4146,5.1059,6.5093,2.0528,15391.4172,19621.599,6187.8961
S1_S2,west,S2,VWC_1_raw_S2_B,6,7,13.1357,2.6331,13.1357,2.6331,18.6028,4.1672,9.5857,2.3039,64435.7143,14201.4587,9.2314,0.563,34.8389,11.0849,25.6074,11.2836,34.4148,3.8383,30.176,39.204,5028.2392,1211.7868,15497.5457,6944.0575,11480.4611,5219.2266,0.1849,0.0883,52955.2532,14470.6866,4838.5467,3014.4146,1.6681,5.1411,3.8085,5028.2392,15497.5457,11480.4611
S1_S2,west,S2,VWC_2_raw_S2_B,12,6,12.6445,3.2464,12.6445,3.2464,18.6028,6.0772,9.6194,2.5219,64091.6667,15524.9289,7.6192,0.7677,35.2215,0.6124,27.6023,1.1785,32.2048,2.6477,29.392,35.063,4686.5987,884.1264,18080.47,1350.3111,13393.8713,1390.9811,0.2157,0.037,50697.7954,14438.6133,4838.5467,3014.4146,1.5547,5.998,4.4433,4686.5987,18080.47,13393.8713
S1_S2,west,S2,VWC_3_raw_S2_B,18,7,11.1,4.6754,11.1,4.6754,17.9361,3.6921,9.5857,2.3039,64435.7143,14201.4587,10.411,4.7966,37.0289,8.333,26.6179,12.2397,33.2868,2.6262,29.866,36.741,5028.2392,1211.7868,15497.5457,6944.0575,11480.4611,5219.2266,0.1849,0.0883,52955.2532,14470.6866,4838.5467,3014.4146,1.6681,5.1411,3.8085,5028.2392,15497.5457,11480.4611
S3_S4,east,S3,VWC_1_raw_S3_B,6,4,4.6708,1.6419,4.6708,1.6419,7.1708,3.197,5.75,1.7779,33200.0,13034.4416,16.8435,3.085,34.342,1.1655,17.4985,3.7469,33.3999,2.705,29.5145,35.327,9521.3474,1062.0339,15609.5687,1010.0245,6088.2214,1552.505,0.1971,0.0522,27111.7786,11741.3452,4838.5467,3014.4146,3.1586,5.1783,2.0197,9521.3474,15609.5687,6088.2214
S3_S4,east,S3,VWC_2_raw_S3_B,12,9,6.4111,2.5835,6.4111,2.5835,13.2722,3.0002,7.5463,2.5127,46708.3333,16542.691,19.3687,4.7597,32.2214,1.2145,12.8528,4.8849,30.5304,1.3438,28.298,32.9,8606.108,1723.1944,15634.7945,695.0492,7028.6865,1786.6679,0.1634,0.0493,39679.6468,15259.1837,4838.5467,3014.4146,2.855,5.1867,2.3317,8606.108,15634.7945,7028.6865
S3_S4,east,S3,VWC_3_raw_S3_B,18,11,5.9985,2.1163,5.9985,2.1163,10.1803,2.0566,7.3606,2.2924,46956.8182,14811.7272,13.2786,2.0816,26.7899,1.6171,13.5113,2.2738,23.3516,1.5149,20.0875,26.3945,8806.5671,1606.6984,15579.5023,644.6106,6772.9352,1696.6657,0.155,0.048,40183.8829,13700.8609,4838.5467,3014.4146,2.9215,5.1683,2.2468,8806.5671,15579.5023,6772.9352
S3_S4,east,S4,VWC_1_raw_S4_B,6,7,9.5548,6.8461,9.5548,6.8461,15.7333,5.0548,7.1476,2.3546,47464.2857,12636.6766,17.8436,4.8218,35.3027,4.1493,17.4591,4.0763,31.9127,5.7484,24.5595,38.8795,11096.4855,2025.4712,15601.9161,2756.0374,3417.879,998.9999,0.0747,0.0244,44046.4067,12222.3255,4838.5467,3014.4146,3.6811,5.1758,1.1338,11096.4855,15601.9161,3417.879
S3_S4,east,S4,VWC_2_raw_S4_B,12,9,10.8278,8.3097,10.8278,8.3097,16.5222,8.8189,6.7519,2.3928,44841.6667,15463.7277,30.5581,4.6998,34.7541,5.7121,4.1961,2.5797,33.2487,5.2509,21.636,38.5895,11122.9164,2455.8368,13766.6581,4432.5879,2803.6324,1521.6221,0.0611,0.0345,42038.0343,14656.2948,4838.5467,3014.4146,3.6899,4.5669,0.9301,11122.9164,13766.6581,2803.6324
S3_S4,east,S4,VWC_3_raw_S4_B,18,5,7.2133,2.9922,7.2133,2.9922,11.6291,1.6291,5.78,1.4566,41145.0,14817.8777,25.3058,7.6799,31.5934,8.4516,6.2876,6.6453,27.7345,6.2541,19.1165,33.772,12218.6187,2842.6049,12765.8124,5131.7979,2357.5692,1863.1233,0.0518,0.0394,38787.4308,13881.3319,4838.5467,3014.4146,4.0534,4.2349,0.7821,12218.6187,12765.8124,2357.5692
