strip_group,location,strip,sensor_col,depth_index,depth_inches,n_trustworthy_events,mean_bottom_response_delay_hr,sd_bottom_response_delay_hr,mean_time_to_peak_hours,sd_time_to_peak_hours,mean_time_to_plateau_hours,sd_time_to_plateau_hours,mean_event_duration_hours,sd_event_duration_hours,mean_gallons_strip,sd_gallons_strip,mean_baseline_vwc,sd_baseline_vwc,mean_peak_vwc,sd_peak_vwc,mean_peak_increase,sd_peak_increase,mean_plateau_vwc,sd_plateau_vwc,min_plateau_vwc,max_plateau_vwc,mean_event_layer_storage_in,sd_event_layer_storage_in,mean_event_layer_storage_gal_scaled,sd_event_layer_storage_gal_scaled,diagnostic_profile_area_sqft,diagnostic_profile_gallons_per_inch,mean_event_layer_storage_gal_check
S1_S2,west,S1,VWC_1_raw_S1_B,1,6,6,14.1009,5.0918,14.1009,5.0918,19.0592,3.9409,12.7695,5.6004,76491.6667,35373.7355,16.8428,3.6165,36.7525,5.2785,19.9097,5.0922,31.5159,1.4908,29.683,33.677,0.8804,0.2414,2653.8454,727.646,4838.5467,3014.4146,2653.8906
S1_S2,west,S1,VWC_2_raw_S1_B,2,12,7,15.3293,4.9697,15.3293,4.9697,19.5793,5.5879,13.2691,5.2806,79207.1429,33081.228,15.2851,5.0368,39.9439,8.2035,24.6588,7.1837,34.5117,3.0792,31.1055,39.145,1.1536,0.3402,3477.4243,1025.4068,4838.5467,3014.4146,3477.3425
S1_S2,west,S1,VWC_3_raw_S1_B,3,18,7,15.8293,5.9831,15.8293,5.9831,23.5079,7.4911,13.2691,5.2806,79207.1429,33081.228,16.6976,5.1334,29.8216,8.621,13.1239,6.9039,26.2861,6.3414,14.502,33.03,0.5753,0.2913,1734.2099,878.0998,4838.5467,3014.4146,1734.2358
S1_S2,west,S2,VWC_1_raw_S2_B,1,6,7,16.4365,4.2829,16.4365,4.2829,22.5793,5.5746,13.2691,5.2806,79207.1429,33081.228,10.1396,1.1188,38.4696,1.1686,28.33,2.0674,35.5919,4.1519,30.315,39.5665,1.5271,0.3064,4603.4244,923.7525,4838.5467,3014.4146,4603.3986
S1_S2,west,S2,VWC_2_raw_S2_B,2,12,7,17.865,5.1859,17.865,5.1859,21.9365,3.0313,13.2691,5.2806,79207.1429,33081.228,10.8379,3.3255,34.2133,1.3004,23.3754,3.8286,32.506,2.9074,28.307,35.3525,1.3001,0.2927,3918.993,882.4442,4838.5467,3014.4146,3918.9543
S1_S2,west,S2,VWC_3_raw_S2_B,3,18,7,16.5079,4.6379,16.5079,4.6379,17.9365,4.0126,13.2691,5.2806,79207.1429,33081.228,20.6733,7.0882,40.0963,1.1942,19.423,6.9474,39.1476,2.4988,35.256,42.4,1.1084,0.4535,3341.3623,1366.9876,4838.5467,3014.4146,3341.3063
S3_S4,east,S3,VWC_1_raw_S3_B,1,6,11,10.656,2.8605,10.656,2.8605,11.7696,3.552,10.2258,4.5736,61877.2727,28392.1214,17.2806,5.4073,35.1251,1.2758,17.8445,5.1517,34.8283,1.7748,30.7485,37.1265,1.0529,0.3016,3173.7593,909.195,4838.5467,3014.4146,3173.7675
S3_S4,east,S3,VWC_2_raw_S3_B,2,12,9,12.974,5.3373,12.974,5.3373,15.2518,6.3233,10.2815,4.9489,63650.0,31006.7004,21.8454,5.1616,33.1164,2.8537,11.2711,3.8405,32.2486,2.9188,26.6705,36.0355,0.6242,0.2345,1881.5775,706.8807,4838.5467,3014.4146,1881.5641
S3_S4,east,S3,VWC_3_raw_S3_B,3,18,9,11.7796,2.9809,11.7796,2.9809,14.1129,4.079,10.2815,4.9489,63650.0,31006.7004,17.4147,3.6432,33.7662,4.9937,16.3515,3.2972,30.7236,4.7835,21.407,37.381,0.7985,0.2739,2407.1005,825.6227,4838.5467,3014.4146,2407.144
S3_S4,east,S4,VWC_1_raw_S4_B,1,6,10,11.7183,4.6248,11.7183,4.6248,17.0433,6.5003,9.995,4.753,61640.0,29916.4257,28.1184,6.4641,40.6915,7.57,12.573,6.1003,39.2698,6.1858,25.1065,45.5295,0.6691,0.2849,2016.8785,858.6932,4838.5467,3014.4146,2016.8845
S3_S4,east,S4,VWC_2_raw_S4_B,2,12,11,12.1333,2.9259,12.1333,2.9259,18.7583,4.6094,10.2258,4.5736,61877.2727,28392.1214,33.521,3.6813,39.6112,4.0989,6.0902,4.0163,37.2415,2.2276,33.892,40.809,0.2186,0.1716,659.1078,517.1608,4838.5467,3014.4146,659.1017
S3_S4,east,S4,VWC_3_raw_S4_B,3,18,10,12.4049,3.7377,12.4049,3.7377,15.3629,5.0965,10.5067,4.7199,63710.0,29234.0132,34.8315,5.6853,40.033,2.9361,5.2015,5.5959,38.9378,2.5383,33.807,41.678,0.2899,0.3294,873.8888,992.8879,4838.5467,3014.4146,873.8453
