strip_group,location,strip,sensor_col,depth_index,depth_inches,n_trustworthy_events,mean_bottom_response_delay_hr,sd_bottom_response_delay_hr,mean_time_to_peak_hours,sd_time_to_peak_hours,mean_time_to_plateau_hours,sd_time_to_plateau_hours,mean_event_duration_hours,sd_event_duration_hours,mean_gallons_strip,sd_gallons_strip,mean_baseline_vwc,sd_baseline_vwc,mean_peak_vwc,sd_peak_vwc,mean_peak_increase,sd_peak_increase,mean_plateau_vwc,sd_plateau_vwc,min_plateau_vwc,max_plateau_vwc,mean_event_layer_storage_in,sd_event_layer_storage_in,mean_event_layer_storage_gal_scaled,sd_event_layer_storage_gal_scaled,diagnostic_profile_area_sqft,diagnostic_profile_gallons_per_inch,mean_event_layer_storage_gal_check
S1_S2,west,S1,VWC_1_raw_S1_B,1,6,5,7.5029,3.4578,7.5029,3.4578,14.8104,4.6751,6.3295,1.1515,39075.0,7854.0,21.8357,3.0886,22.4554,3.0079,0.6197,0.358,20.6273,2.8177,18.7515,23.8675,-0.0339,0.0746,-102.0379,224.9097,4838.5467,3014.4146,-102.0882
S1_S2,west,S1,VWC_2_raw_S1_B,2,12,6,15.5746,6.8749,15.5746,6.8749,20.9375,6.2576,6.608,1.2352,42638.0,11202.0,25.5236,6.4097,32.252,12.9753,6.7284,9.6774,36.2769,14.2714,21.771,50.489,0.6308,0.7005,1901.4324,2111.7178,4838.5467,3014.4146,1901.4927
S1_S2,west,S1,VWC_3_raw_S1_B,3,18,6,17.3829,7.9593,17.3829,7.9593,24.525,3.8985,6.1718,1.6621,47271.0,16650.0,25.6736,14.2987,29.1518,16.4412,3.4782,4.4197,31.3509,17.4322,7.6635,49.667,0.3387,0.2879,1021.0953,867.892,4838.5467,3014.4146,1021.0576
S1_S2,west,S2,VWC_1_raw_S2_B,1,6,6,7.783,1.1048,7.783,1.1048,18.3246,4.0937,6.608,1.2352,42638.0,11202.0,11.43,6.3236,38.6005,2.2913,27.1705,7.9129,31.7572,2.5337,29.557,36.3795,1.2196,0.3809,3676.4704,1148.2482,4838.5467,3014.4146,3676.4805
S1_S2,west,S2,VWC_2_raw_S2_B,2,12,6,7.8246,1.0587,7.8246,1.0587,15.658,4.134,6.608,1.2352,42638.0,11202.0,10.7023,7.5292,35.2398,1.0653,24.5375,8.1291,30.9121,2.3521,28.866,35.188,1.2126,0.4646,3655.2339,1400.626,4838.5467,3014.4146,3655.2289
S1_S2,west,S2,VWC_3_raw_S2_B,3,18,7,7.683,1.4199,7.683,1.4199,11.683,1.4199,6.2211,1.5228,46904.0,15231.0,13.4279,7.5175,38.5966,1.7216,25.1687,6.7464,33.9993,1.2841,31.4125,35.135,1.2343,0.4231,3720.6489,1275.3873,4838.5467,3014.4146,3720.6488
S3_S4,east,S3,VWC_1_raw_S3_B,1,6,12,8.0153,3.2848,8.0153,3.2848,15.3903,4.98,7.1542,2.6667,55110.0,22348.0,14.2144,4.3714,34.9773,2.5813,20.763,3.6687,32.071,2.5875,27.915,37.0555,1.0714,0.2874,3229.6438,866.3328,4838.5467,3014.4146,3229.6689
S3_S4,east,S3,VWC_2_raw_S3_B,2,12,12,9.3278,5.1732,9.3278,5.1732,15.7861,5.0245,7.1542,2.6667,55110.0,22348.0,16.877,5.1943,32.0488,4.8881,15.1718,4.4598,29.4199,4.1087,17.0735,33.1255,0.7526,0.2548,2268.5655,768.2186,4838.5467,3014.4146,2268.573
S3_S4,east,S3,VWC_3_raw_S3_B,3,18,12,7.4944,2.8606,7.4944,2.8606,11.8694,3.7118,7.1542,2.6667,55110.0,22348.0,12.7143,3.0919,26.9178,4.3664,14.2035,2.471,23.0756,3.8243,14.796,31.206,0.6217,0.1704,1873.9937,513.7945,4838.5467,3014.4146,1874.0113
S3_S4,east,S4,VWC_1_raw_S4_B,1,6,3,18.4889,1.4526,18.4889,1.4526,18.7389,1.4526,6.2111,2.626,63417.0,10242.0,7.4157,0.8121,25.1487,1.9421,17.733,1.8471,25.0897,1.9316,23.4675,27.2265,1.0604,0.1102,3196.6058,332.14,4838.5467,3014.4146,3196.5857
S3_S4,east,S4,VWC_2_raw_S4_B,2,12,4,15.8375,7.5755,15.8375,7.5755,19.5222,4.806,7.9458,2.27,57788.0,19627.0,23.0715,1.4629,27.4842,3.9926,4.4128,2.8167,29.2882,1.5035,27.733,30.734,0.3384,0.0704,1020.0477,212.1474,4838.5467,3014.4146,1020.0779
S3_S4,east,S4,VWC_3_raw_S4_B,3,18,5,20.1866,4.1092,20.1866,4.1092,27.0375,8.5132,7.1367,2.6718,60890.0,18358.0,13.4291,3.0411,18.1216,8.2838,4.6925,5.349,19.5275,7.3042,10.492,26.371,0.3452,0.2379,1040.5156,717.1295,4838.5467,3014.4146,1040.5759
S1_S2,west,S1,VWC_1_raw_S1_B,1,6,6,13.9222,2.3502,13.9222,2.3502,18.9639,2.2249,8.9028,1.5658,61633.0,13268.0,26.7863,3.7718,50.1948,7.8166,23.4085,11.2857,37.6152,14.8698,9.9175,51.96,0.6497,0.9799,1958.5556,2953.6964,4838.5467,3014.4146,1958.6159
S1_S2,west,S1,VWC_2_raw_S1_B,2,12,7,15.3143,3.9955,15.3143,3.9955,18.5611,2.965,9.5857,2.3039,64436.0,14201.0,27.7382,6.1676,52.302,7.3948,24.5638,13.3998,40.1588,17.8179,3.841,49.234,0.8574,1.0227,2584.7399,3082.6917,4838.5467,3014.4146,2584.7098
S1_S2,west,S1,VWC_3_raw_S1_B,3,18,7,13.0286,5.8253,13.0286,5.8253,19.0195,3.5047,9.5857,2.3039,64436.0,14201.0,29.8741,5.5329,43.6409,3.7607,13.7668,8.3577,42.17,3.7937,35.6,46.4485,0.8066,0.5057,2431.5474,1524.3155,4838.5467,3014.4146,2431.477
S1_S2,west,S2,VWC_1_raw_S2_B,1,6,7,13.1357,2.6331,13.1357,2.6331,18.6028,4.1672,9.5857,2.3039,64436.0,14201.0,9.2314,0.563,34.8389,11.0849,25.6074,11.2836,34.4148,3.8383,30.176,39.204,1.5154,0.2127,4567.9534,641.268,4838.5467,3014.4146,4567.9434
S1_S2,west,S2,VWC_2_raw_S2_B,2,12,6,12.6445,3.2464,12.6445,3.2464,18.6028,6.0772,9.6194,2.5219,64092.0,15525.0,7.6192,0.7677,35.2215,0.6124,27.6023,1.1785,32.2048,2.6477,29.392,35.063,1.4751,0.1433,4446.6684,431.7828,4838.5467,3014.4146,4446.6132
S1_S2,west,S2,VWC_3_raw_S2_B,3,18,7,11.1,4.6754,11.1,4.6754,17.9361,3.6921,9.5857,2.3039,64436.0,14201.0,10.411,4.7966,37.0289,8.333,26.6179,12.2397,33.2868,2.6262,29.866,36.741,1.4501,0.2446,4371.1574,737.4333,4838.5467,3014.4146,4371.1523
S3_S4,east,S3,VWC_1_raw_S3_B,1,6,1,6.7667,,6.7667,,17.2667,,7.3167,,54875.0,,10.719,,35.06,,24.341,,30.807,,30.807,30.807,1.2053,,3633.2136,,4838.5467,3014.4146,3633.2739
S3_S4,east,S3,VWC_2_raw_S3_B,2,12,1,7.0167,,7.0167,,16.2667,,7.3167,,54875.0,,12.473,,31.847,,19.374,,29.1075,,29.1075,29.1075,0.9981,,3008.5968,,4838.5467,3014.4146,3008.6872
S3_S4,east,S3,VWC_3_raw_S3_B,3,18,1,7.0167,,7.0167,,11.0167,,7.3167,,54875.0,,9.013,,27.539,,18.526,,22.7055,,22.7055,22.7055,0.8216,,2476.4923,,4838.5467,3014.4146,2476.643
S3_S4,east,S4,VWC_1_raw_S4_B,1,6,1,23.7667,,23.7667,,24.0167,,7.3167,,54875.0,,8.303,,8.89,,0.587,,9.0045,,9.0045,9.0045,0.0421,,126.8767,,4838.5467,3014.4146,126.9069
S3_S4,east,S4,VWC_2_raw_S4_B,2,12,1,7.7667,,7.7667,,8.0167,,7.3167,,54875.0,,20.7715,,21.704,,0.9325,,21.636,,21.636,21.636,0.0519,,156.3577,,4838.5467,3014.4146,156.4481
S3_S4,east,S4,VWC_3_raw_S4_B,3,18,1,11.2667,,11.2667,,11.5167,,7.3167,,54875.0,,13.843,,19.154,,5.311,,19.1165,,19.1165,19.1165,0.3164,,953.7909,,4838.5467,3014.4146,953.7608
S3_S4,west,S3,VWC_1_raw_S3_B,1,6,13,7.2897,2.6347,7.2897,2.6347,13.5013,6.8317,7.2192,2.1537,46719.0,13478.0,17.1859,3.3919,34.4317,0.8075,17.2458,3.8402,32.34,1.9948,29.5145,35.327,0.9093,0.2495,2740.8402,752.2394,4838.5467,3014.4146,2740.868
S3_S4,west,S3,VWC_2_raw_S3_B,2,12,13,7.0782,2.2405,7.0782,2.2405,14.5782,2.7909,7.2192,2.1537,46719.0,13478.0,21.2581,3.5267,32.2104,0.9922,10.9523,3.7204,30.2888,1.1505,28.298,32.9,0.5418,0.258,1633.335,777.5875,4838.5467,3014.4146,1633.3489
