year,strip_group,location,strip,event_id,irrigation_start,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,s2_bottom_largest,s3_middle_low
2023,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,60450.0,8.0,7556.25,15460.158636654818,13577.658867369206,12776.730806598933,True,False
2023,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,2023-09-21 09:07:00,37650.0,7.0333,5353.0806,12380.709723541242,10814.439318486275,11150.388288692488,True,False
2023,S3_S4,east,S3,2023-07-17_S3_S4_a04fe807,2023-07-17 19:19:00,80450.0,10.5667,7613.5647,11200.279418080141,10131.268356114528,10867.37742756511,False,True
2023,S3_S4,east,S3,2023-07-27_S3_S4_89a0fecc,2023-07-27 10:00:00,25200.0,7.4833,3367.4833,8356.016681441566,6825.776568911031,9265.898057453469,False,True
2023,S3_S4,east,S3,2023-08-10_S3_S4_7fce3d7b,2023-08-10 13:57:00,52850.0,5.6667,9326.4706,5020.252452069417,3514.9718807834092,7765.025615218631,False,True
2023,S3_S4,east,S3,2023-08-24_S3_S4_a4b6ae2a,2023-08-24 13:47:00,30125.0,4.4833,6719.3309,8498.495122957698,6055.948067659809,10156.625050221322,False,True
2024,S1_S2,west,S2,2024-06-22_S1_S2_e95bd875,2024-06-22 08:00:00,47100.0,7.8167,6025.5864,12698.43506189178,11572.95345774047,12444.8223440197,True,False
2024,S1_S2,west,S2,2024-08-10_S1_S2_de427086,2024-08-10 08:50:00,84700.0,11.8,7177.9661,15521.124041823135,12633.660691064959,12937.092080511578,True,False
2024,S1_S2,west,S2,2024-09-07_S1_S2_b15b9a0a,2024-09-07 08:23:00,53000.0,7.8833,6723.0444,12236.694032793572,8846.868608818533,10418.918951102121,True,False
2025,S1_S2,west,S2,2025-04-20_S1_S2_f3457ada,2025-04-20 08:15:00,132300.0,22.2167,5954.9887,17209.689457116565,16088.89295223113,15775.271859202068,True,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_001c30f6,2026-04-21 14:54:00,110850.0,17.9667,6169.7588,14446.388390895587,11633.29734517708,13299.515718539591,True,False
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,2026-05-20 11:23:00,54400.0,6.5,8369.2308,11015.06608904801,9766.331358362833,9397.510703089343,True,False
2026,S1_S2,west,S2,2026-06-20_S1_S2_ba82572f,2026-06-20 08:00:00,65700.0,9.05,7259.6685,12486.308857607515,9923.58544493233,9061.75428583475,True,False
2026,S1_S2,west,S2,2026-06-27_S1_S2_be4e641a,2026-06-27 11:05:00,33511.0,5.4833,6111.4286,6337.803916279678,3573.8359457354522,6331.406725372349,True,False
2026,S1_S2,west,S2,2026-07-24_S1_S2_63eb5228,2026-07-24 08:25:00,34125.0,7.3,4674.6575,9582.79663886094,8904.181092176694,8638.031834955085,True,False
