year,strip,logger_position,n_events,mean_storage_gal,median_storage_gal,max_storage_gal,p95_storage_gal,sd_storage_gal,mean_storage_in,median_storage_in,max_storage_in,p95_storage_in,sd_storage_in
2023,S1,B,7,,,,,,,,,,
2023,S1,M,7,8825.771699171997,9405.554629615199,11702.0526533064,11668.11776964288,2890.3203650658306,2.9,3.09,3.84,3.83,0.95
2023,S1,T,7,12515.009008892399,13543.319890043998,16531.61975829,16012.573258338716,4276.912330050895,4.33,4.69,5.72,5.54,1.48
2023,S2,B,7,11487.14146725,12238.370708003999,15282.415695455999,15042.045663224999,3657.3501619618323,3.76,4.0,5.0,4.92,1.2
2023,S2,M,7,10694.974300480799,11033.0253998496,14432.392997265597,14099.595188343837,3642.1115569481576,3.45,3.56,4.66,4.55,1.18
2023,S2,T,7,11177.604361181997,10965.342961196398,12564.695649147596,12367.852241399756,919.7841707597228,3.81,3.74,4.28,4.22,0.31
2023,S3,B,12,7154.70847721,7527.034749527999,10003.83676047,9364.880468334299,1866.1779806327959,2.45,2.57,3.42,3.2,0.64
2023,S3,M,12,5909.3104748832,5592.4225356383995,9242.7531821856,9131.239883303999,2664.1634808245344,1.88,1.78,2.95,2.91,0.85
2023,S3,T,12,7979.179209608039,8289.5721477786,10105.8596855412,9804.515756868419,1420.7723710677499,2.71,2.82,3.44,3.33,0.48
2023,S4,B,12,5391.349214367201,5486.6844975936,6209.355435435602,6137.088341651402,869.602120915638,1.9,1.93,2.19,2.16,0.31
2023,S4,M,12,6940.619518499099,6744.077602617601,9447.211584921597,9035.945737789318,1498.9211250667745,2.24,2.18,3.05,2.92,0.48
2023,S4,T,12,8380.786305841322,8518.9353227748,10353.2407939296,9932.5933118181,1623.0303883013898,2.8,2.85,3.46,3.32,0.54
2024,S1,B,7,10536.950123103601,9415.056256300802,14012.1248539356,13893.566890649041,3097.7611431190658,3.27,2.92,4.35,4.31,0.96
2024,S1,M,7,9854.258339517199,9867.111077720398,11613.697692340798,11342.0998418028,1209.3871116015184,3.24,3.24,3.81,3.72,0.4
2024,S1,T,7,12616.818392543399,13054.325366149198,14192.626281598801,14150.1653004348,1711.985896456413,4.37,4.52,4.91,4.9,0.59
2024,S2,B,7,13577.367696046002,13413.161468469001,15342.680191230003,15217.840040928004,1410.0375900984286,4.44,4.39,5.02,4.98,0.46
2024,S2,M,7,12323.861732985599,12641.613211533597,15159.2088365928,14735.356870436999,2184.852444092646,3.98,4.08,4.89,4.76,0.71
2024,S2,T,7,11689.178975774159,12238.295345438399,13713.300869965198,13515.119828187599,1748.4765995626758,3.98,4.17,4.67,4.61,0.6
2024,S3,B,14,6200.135781576,5719.305419583001,9673.491174941999,9137.7634900587,1612.2208360025677,2.12,1.95,3.31,3.12,0.55
2024,S3,M,14,8032.608952948801,7736.8293924768,10840.9378692384,10472.30851246272,1276.1383093102565,2.56,2.47,3.45,3.34,0.41
2024,S3,T,14,7779.601814509199,7509.442523498999,10295.840353008,10181.357808664558,1260.4285045963347,2.64,2.55,3.5,3.46,0.43
2024,S4,B,14,2749.1482866434994,2564.312114754599,4704.294313328399,4411.0830218086785,1468.931528918841,0.97,0.9,1.66,1.56,0.52
2024,S4,M,14,7657.554410646645,7764.073792019999,10822.110303362399,10271.853359701918,1899.0977356446906,2.47,2.51,3.49,3.32,0.61
2024,S4,T,14,8847.569070323401,8911.763805403203,11155.217043331202,11068.783120521422,1495.5277091195112,2.96,2.98,3.73,3.7,0.5
2025,S1,B,7,8518.858228126799,8428.0718423412,11611.0071853524,11267.973808696079,2177.9414531292714,2.64,2.62,3.6,3.5,0.68
2025,S1,M,7,8448.034335398397,7938.149590207197,11888.447813978395,11578.264337777755,2349.891570105761,2.77,2.61,3.9,3.8,0.77
2025,S1,T,7,10620.048457382398,11279.369698430397,14027.635040504396,13685.468856373436,3043.918934871603,3.68,3.9,4.86,4.74,1.05
2025,S2,B,7,12033.584115276,11548.310127018,17011.832443284,16116.588223642198,3059.0793053649063,3.94,3.78,5.56,5.27,1.0
2025,S2,M,7,10618.737848366398,9837.2511375264,15787.2134165256,14913.584309947677,2824.700767709149,3.43,3.17,5.1,4.81,0.91
2025,S2,T,7,13661.278975085997,13463.1105050568,15513.474666858,15377.115197837398,1777.375117999546,4.66,4.59,5.29,5.24,0.61
2025,S3,B,11,7169.91301229891,6515.812157484001,9987.951385608001,9849.151825695,1708.765632761938,2.45,2.23,3.41,3.37,0.58
2025,S3,M,11,,,,,,,,,,
2025,S3,T,11,5760.570327094801,5445.112414324802,8673.3719216508,7964.875509563279,1397.2214994337091,1.96,1.85,2.95,2.71,0.48
2025,S4,B,11,3565.4223849029336,2878.263509234398,8033.8549768008,6796.390523566557,1920.3403581475018,1.26,1.02,2.83,2.4,0.68
2025,S4,M,11,6631.36533221629,6472.927608588,11924.4647014416,10126.3414636944,2236.6288796447916,2.14,2.09,3.85,3.27,0.72
2025,S4,T,11,8324.033182963527,8324.628241776,12661.7021692476,11026.0077661188,1862.1407415210754,2.79,2.79,4.24,3.69,0.62
2026,S1,B,6,7158.7053214992,7636.2036069564,10082.7420798636,9999.075991898699,2833.995598760779,2.22,2.37,3.13,3.1,0.88
2026,S1,M,6,6210.918224705599,6737.682522320399,8904.7546905744,8712.488996043,2394.553220211178,2.04,2.21,2.92,2.86,0.79
2026,S1,T,6,7791.604486104598,8452.594868734797,10721.39774391,10671.0728157243,2957.6413503199847,2.7,2.93,3.71,3.69,1.02
