variable_name,source_csv,definition,formula_or_rule
avg_flow_gpm,irrigation_2026_backup_20260426_121939.csv,,
date,irrigation_2026_backup_20260426_121939.csv,,
end_flow_gpm,irrigation_2026_backup_20260426_121939.csv,,
end_timestamp,irrigation_2026_backup_20260426_121939.csv,,
end_totalizer_gal_x100,irrigation_2026_backup_20260426_121939.csv,,
entered_by,irrigation_2026_backup_20260426_121939.csv,,
event_id,irrigation_2026_backup_20260426_121939.csv,,
flow_allocation_fraction,irrigation_2026_backup_20260426_121939.csv,,
gallons,irrigation_2026_backup_20260426_121939.csv,,
location,irrigation_2026_backup_20260426_121939.csv,,
notes,irrigation_2026_backup_20260426_121939.csv,,
start_flow_gpm,irrigation_2026_backup_20260426_121939.csv,,
start_timestamp,irrigation_2026_backup_20260426_121939.csv,,
start_totalizer_gal_x100,irrigation_2026_backup_20260426_121939.csv,,
strip_group,irrigation_2026_backup_20260426_121939.csv,,
total_meter_gallons,irrigation_2026_backup_20260426_121939.csv,,
year,irrigation_2026_backup_20260426_121939.csv,,
avg_flow_gpm,irrigation_2026_backup_20260426_192555.csv,,
date,irrigation_2026_backup_20260426_192555.csv,,
end_flow_gpm,irrigation_2026_backup_20260426_192555.csv,,
end_timestamp,irrigation_2026_backup_20260426_192555.csv,,
end_totalizer_gal_x100,irrigation_2026_backup_20260426_192555.csv,,
entered_by,irrigation_2026_backup_20260426_192555.csv,,
event_id,irrigation_2026_backup_20260426_192555.csv,,
flow_allocation_fraction,irrigation_2026_backup_20260426_192555.csv,,
gallons,irrigation_2026_backup_20260426_192555.csv,,
location,irrigation_2026_backup_20260426_192555.csv,,
notes,irrigation_2026_backup_20260426_192555.csv,,
start_flow_gpm,irrigation_2026_backup_20260426_192555.csv,,
start_timestamp,irrigation_2026_backup_20260426_192555.csv,,
start_totalizer_gal_x100,irrigation_2026_backup_20260426_192555.csv,,
strip_group,irrigation_2026_backup_20260426_192555.csv,,
total_meter_gallons,irrigation_2026_backup_20260426_192555.csv,,
year,irrigation_2026_backup_20260426_192555.csv,,
avg_flow_gpm,irrigation_2026_backup_20260426_194720.csv,,
date,irrigation_2026_backup_20260426_194720.csv,,
end_flow_gpm,irrigation_2026_backup_20260426_194720.csv,,
end_photo,irrigation_2026_backup_20260426_194720.csv,,
end_timestamp,irrigation_2026_backup_20260426_194720.csv,,
end_totalizer_gal_x100,irrigation_2026_backup_20260426_194720.csv,,
entered_by,irrigation_2026_backup_20260426_194720.csv,,
event_id,irrigation_2026_backup_20260426_194720.csv,,
flow_allocation_fraction,irrigation_2026_backup_20260426_194720.csv,,
gallons,irrigation_2026_backup_20260426_194720.csv,,
location,irrigation_2026_backup_20260426_194720.csv,,
notes,irrigation_2026_backup_20260426_194720.csv,,
start_flow_gpm,irrigation_2026_backup_20260426_194720.csv,,
start_photo,irrigation_2026_backup_20260426_194720.csv,,
start_timestamp,irrigation_2026_backup_20260426_194720.csv,,
start_totalizer_gal_x100,irrigation_2026_backup_20260426_194720.csv,,
strip_group,irrigation_2026_backup_20260426_194720.csv,,
total_meter_gallons,irrigation_2026_backup_20260426_194720.csv,,
year,irrigation_2026_backup_20260426_194720.csv,,
avg_flow_gph_strip,irrigation_event_multidepth_plot_log_2026.csv,Average strip-level application flow rate during one irrigation event.,gallons_strip / event_duration_hours
event_duration_hours,irrigation_event_multidepth_plot_log_2026.csv,Length of time irrigation water was running for one event.,"irrigation_end - irrigation_start, in hours"
event_id,irrigation_event_multidepth_plot_log_2026.csv,,
gallons_strip,irrigation_event_multidepth_plot_log_2026.csv,Water assigned to one individual strip.,gallons_group * strip_allocation_fraction
irrigation_end,irrigation_event_multidepth_plot_log_2026.csv,,
irrigation_start,irrigation_event_multidepth_plot_log_2026.csv,,
logger_position,irrigation_event_multidepth_plot_log_2026.csv,,
