year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2023.0000,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_1_raw_S1_B,1,6.0000,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.0000,72500.0000,3.9000,18589.7400,14.7400,16.4300,1.6900,17.5300,flat_segment,23.8300,23.8300,28.8300,24.9300,5901.3000,6604.0100,702.7100,0.0100,71797.2900
2023.0000,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_2_raw_S1_B,2,12.0000,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.0000,72500.0000,3.9000,18589.7400,16.3800,16.9600,0.5800,15.9300,flat_segment,0.8300,0.8300,2.3300,-1.5700,5901.3000,6604.0100,702.7100,0.0100,71797.2900
2023.0000,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_3_raw_S1_B,3,18.0000,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.0000,72500.0000,3.9000,18589.7400,5.6300,7.5800,1.9500,7.6600,flat_segment,23.8300,23.8300,25.0800,21.1800,5901.3000,6604.0100,702.7100,0.0100,71797.2900
2023.0000,S1_S2,west,S1,2023-06-01_S1_S2_28dbbfca,VWC_1_raw_S1_B,1,6.0000,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.0000,33650.0000,6.4800,5190.2300,19.6800,20.8100,1.1300,19.2600,flat_segment,7.2300,7.2300,17.2300,10.7500,7669.7900,3093.2900,-66.5600,-0.0000,33716.5600
2023.0000,S1_S2,west,S1,2023-06-01_S1_S2_28dbbfca,VWC_2_raw_S1_B,2,12.0000,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.0000,33650.0000,6.4800,5190.2300,16.6300,16.8800,0.2400,,no_peak,7.9800,7.9800,,,7669.7900,3093.2900,-66.5600,-0.0000,33716.5600
2023.0000,S1_S2,west,S1,2023-06-01_S1_S2_28dbbfca,VWC_3_raw_S1_B,3,18.0000,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.0000,33650.0000,6.4800,5190.2300,11.4500,11.7300,0.2800,,no_peak,12.2300,12.2300,,,7669.7900,3093.2900,-66.5600,-0.0000,33716.5600
2023.0000,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_1_raw_S1_B,1,6.0000,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.0000,44700.0000,6.5200,6859.3400,18.1700,18.7800,0.6100,18.7500,flat_segment,9.2300,9.2300,9.4800,2.9700,9388.9000,6507.1800,138.9800,0.0000,44561.0200
2023.0000,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_2_raw_S1_B,2,12.0000,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.0000,44700.0000,6.5200,6859.3400,21.4900,22.0000,0.5100,21.7700,flat_segment,13.9800,13.9800,14.9800,8.4700,9388.9000,6507.1800,138.9800,0.0000,44561.0200
2023.0000,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_3_raw_S1_B,3,18.0000,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.0000,44700.0000,6.5200,6859.3400,18.8100,18.6700,-0.1400,,no_peak,0.2300,0.2300,,,9388.9000,6507.1800,138.9800,0.0000,44561.0200
2023.0000,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_1_raw_S1_B,1,6.0000,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.0000,60450.0000,8.0000,7556.2500,20.3300,20.1500,-0.1800,,no_peak,0.1800,0.1800,,,11190.2200,13006.4000,5080.8100,0.0800,55369.1900
2023.0000,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_2_raw_S1_B,2,12.0000,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.0000,60450.0000,8.0000,7556.2500,23.6400,43.7800,20.1400,46.3900,fallback_window,23.9300,23.9300,27.9300,19.9300,11190.2200,13006.4000,5080.8100,0.0800,55369.1900
2023.0000,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_3_raw_S1_B,3,18.0000,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.0000,60450.0000,8.0000,7556.2500,25.7100,32.2700,6.5600,34.6100,fallback_window,23.9300,23.9300,27.9300,19.9300,11190.2200,13006.4000,5080.8100,0.0800,55369.1900
2023.0000,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_1_raw_S1_B,1,6.0000,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.0000,49250.0000,6.1300,8029.8900,23.9700,24.3100,0.3400,,no_peak,11.9500,11.9500,,,15301.2800,16083.2300,4631.3400,0.0900,44618.6600
2023.0000,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_2_raw_S1_B,2,12.0000,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.0000,49250.0000,6.1300,8029.8900,32.2400,50.4900,18.2500,50.4900,flat_segment,22.9500,22.9500,24.4500,18.3200,15301.2800,16083.2300,4631.3400,0.0900,44618.6600
2023.0000,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_3_raw_S1_B,3,18.0000,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.0000,49250.0000,6.1300,8029.8900,39.0800,50.1400,11.0700,49.6700,fallback_window,14.9500,14.9500,18.9500,12.8200,15301.2800,16083.2300,4631.3400,0.0900,44618.6600
2023.0000,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,VWC_1_raw_S1_B,1,6.0000,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.0000,30125.0000,4.4800,6719.3300,25.7500,26.4800,0.7300,23.8700,flat_segment,3.4700,3.4700,16.7200,12.2300,15870.8600,3832.6900,-302.7000,-0.0100,30427.7000
