year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,n_trustworthy_depths,mean_gallons_strip,mean_event_storage_gal,mean_event_storage_in,mean_profile_area_sqft,mean_bottom_response_delay_hr,mean_time_to_peak_hours,mean_time_to_plateau_hours,mean_event_duration_hours,estimated_surplus_gal_strip,estimated_surplus_fraction
2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,1,72500.0,702.706,0.3667,4293.3333,23.8333,23.8333,25.0833,3.9,71797.294,0.9903
2023,S1_S2,west,S1,2023-06-01_S1_S2_28dbbfca,2023-06-01 12:16:00,2023-06-01 18:45:00,3,33650.0,-66.5612,-0.0249,4293.3333,9.15,9.15,17.2333,6.4833,33716.5612,1.002
2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,2,44700.0,138.9836,0.0344,4293.3333,11.6083,11.6083,12.2333,6.5167,44561.0164,0.9969
2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,2,60450.0,5080.8087,2.1652,4293.3333,23.9333,23.9333,27.9333,8.0,55369.1913,0.916
2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,3,49250.0,4631.3402,2.0482,4293.3333,16.6167,16.6167,21.7,6.1333,44618.6598,0.906
2023,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,2023-08-24 13:47:00,2023-08-24 18:16:00,3,30125.0,-302.6967,-0.1131,4293.3333,5.1334,5.1334,16.7167,4.4833,30427.6967,1.01
2023,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,2023-09-21 09:07:00,2023-09-21 16:09:00,3,37650.0,294.5873,0.1418,4293.3333,14.8833,14.8833,21.2583,7.0333,37355.4127,0.9922
2023,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,1,72500.0,12675.7666,5.0122,4293.3333,5.5833,5.5833,9.5833,3.9,59824.2334,0.8252
2023,S1_S2,west,S2,2023-06-01_S1_S2_28dbbfca,2023-06-01 12:16:00,2023-06-01 18:45:00,3,33650.0,3758.9795,0.9513,4293.3333,7.8166,7.8166,12.8166,6.4833,29891.0205,0.8883
2023,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,3,44700.0,11427.6445,2.8861,4293.3333,7.8166,7.8166,17.15,6.5167,33272.3555,0.7443
2023,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,3,60450.0,13377.1077,3.3198,4293.3333,8.7666,8.7666,11.5166,8.0,47072.8923,0.7787
2023,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,3,49250.0,9380.7883,2.2573,4293.3333,7.6167,7.6167,16.7,6.1333,39869.2117,0.8095
2023,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,2023-08-24 13:47:00,2023-08-24 18:16:00,3,30125.0,9068.2961,2.1333,4293.3333,5.8834,5.8834,14.3834,4.4833,21056.7039,0.699
2023,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,2023-09-21 09:07:00,2023-09-21 16:09:00,3,37650.0,10712.5736,2.7155,4293.3333,8.3833,8.3833,18.4666,7.0333,26937.4264,0.7155
2023,S3_S4,east,S3,2023-05-24_S3_S4_31cada45,2023-05-24 09:25:00,2023-05-24 13:19:00,3,73300.0,6717.86,1.4396,4293.3333,16.0,16.0,16.25,3.9,66582.14,0.9084
2023,S3_S4,east,S3,2023-06-02_S3_S4_e824e1bc,2023-06-02 15:43:00,2023-06-02 22:12:00,3,33750.0,5674.2388,1.3239,4293.3333,5.7833,5.7833,13.2,6.4833,28075.7612,0.8319
2023,S3_S4,east,S3,2023-06-14_S3_S4_71ac748b,2023-06-14 08:25:00,2023-06-14 17:29:00,3,64100.0,7239.1086,1.627,4293.3333,9.25,9.25,12.5833,9.0667,56860.8914,0.8871
2023,S3_S4,east,S3,2023-06-27_S3_S4_87f629e2,2023-06-27 07:53:00,2023-06-27 16:14:00,3,67850.0,7503.4263,1.6546,4293.3333,8.7834,8.7834,15.6167,8.35,60346.5737,0.8894
2023,S3_S4,east,S3,2023-07-07_S3_S4_bf19b251,2023-07-07 07:46:00,2023-07-07 15:46:00,3,64250.0,8089.1485,1.9761,4293.3333,6.9,6.9,13.9,8.0,56160.8515,0.8741
2023,S3_S4,east,S3,2023-07-17_S3_S4_a04fe807,2023-07-17 19:19:00,2023-07-18 05:53:00,3,80450.0,9151.9592,2.0662,4293.3333,11.1,11.1,18.4333,10.5667,71298.0408,0.8862
2023,S3_S4,east,S3,2023-07-27_S3_S4_89a0fecc,2023-07-27 10:00:00,2023-07-27 17:29:00,3,25200.0,6827.8586,1.5185,4293.3333,8.3333,8.3333,15.4167,7.4833,18372.1414,0.7291
2023,S3_S4,east,S3,2023-08-05_S3_S4_0f92146d,2023-08-05 08:51:00,2023-08-05 11:03:00,3,18300.0,3149.7321,0.7197,4293.3333,2.65,2.65,9.5667,2.2,15150.2679,0.8279
2023,S3_S4,east,S3,2023-08-10_S3_S4_7fce3d7b,2023-08-10 13:57:00,2023-08-10 19:37:00,3,52850.0,4102.1428,0.9641,4293.3333,6.2167,6.2167,13.1333,5.6667,48747.8572,0.9224
2023,S3_S4,east,S3,2023-08-24_S3_S4_a4b6ae2a,2023-08-24 13:47:00,2023-08-24 18:16:00,3,30125.0,6944.2804,1.5037,4293.3333,5.05,5.05,11.9667,4.4833,23180.7196,0.7695
2023,S3_S4,east,S3,2023-09-07_S3_S4_ea877a99,2023-09-07 07:38:00,2023-09-07 18:19:00,3,78850.0,7788.6999,1.7118,4293.3333,9.7,9.7,13.45,10.6833,71061.3001,0.9012
2023,S3_S4,east,S3,2023-09-22_S3_S4_157133f5,2023-09-22 07:20:00,2023-09-22 16:18:00,3,72300.0,5356.9291,1.2608,4293.3333,9.5834,9.5834,18.6667,8.9667,66943.0709,0.9259
2023,S3_S4,east,S4,2023-05-24_S3_S4_31cada45,2023-05-24 09:25:00,2023-05-24 13:19:00,2,73300.0,2822.1452,0.5688,4293.3333,21.3333,21.3333,21.5833,3.9,70477.8548,0.9615
