year,date,start_timestamp,end_timestamp,strip_group,location,gallons,notes
2025,2025-04-20,2025-04-20 08:15:00,2025-04-21 06:28:00,S1_S2,west,264600,RAN OVERNIGHT. FLOW METER AT 400GPM.
2025,2025-04-20,2025-04-20 08:15:00,2025-04-21 06:28:00,S3_S4,east,264600,RAN OVERNIGHT. FLOW METER AT 400GPM.
2025,2025-05-02,2025-05-02 19:10:00,2025-05-03 08:21:00,S3_S4,east,153500,STARTED FRIDAY EVENING RAN OVERNIGHT.
2025,2025-05-17,2025-05-17 15:36:00,2025-05-18 07:37:00,S1_S2,west,184900,STARTED FRIDAY EVENING RAN OVERNIGHT.
2025,2025-05-28,2025-05-28 18:58:00,2025-05-29 07:30:00,S1_S2,west,128500,WATERED OVERNIGHT.
2025,2025-05-28,2025-05-28 18:58:00,2025-05-29 07:30:00,S3_S4,east,128500,WATERED OVERNIGHT.
2025,2025-06-13,2025-06-13 10:49:00,2025-06-13 19:16:00,S3_S4,east,113800,STAFF TURNED ON VALVE TEMPORARILY WHEN REPAIRING A NEARBY VALVE: REASON FOR METER DISCREPANCY.
2025,2025-06-27,2025-06-27 15:33:00,2025-06-28 07:49:00,S1_S2,west,191000,
2025,2025-06-28,2025-06-28 08:50:00,2025-06-28 16:15:00,S3_S4,east,87100,
2025,2025-07-11,2025-07-11 08:30:00,2025-07-11 18:12:00,S3_S4,east,92800,
2025,2025-07-26,2025-07-26 08:45:00,2025-07-26 17:50:00,S1_S2,west,106450,
2025,2025-07-26,2025-07-26 08:45:00,2025-07-26 17:50:00,S3_S4,east,106450,
2025,2025-08-08,2025-08-08 13:14:00,2025-08-08 19:28:00,S3_S4,east,77500,
2025,2025-08-22,2025-08-22 09:07:00,2025-08-22 19:04:00,S1_S2,west,61250,TURNED OFF FROM APX. 9:45AM - 11AM FOR SYSTEM REPAIRS.
2025,2025-08-22,2025-08-22 09:07:00,2025-08-22 19:04:00,S3_S4,east,61250,TURNED OFF FROM APX. 9:45AM - 11AM FOR SYSTEM REPAIRS.
2025,2025-09-20,2025-09-20 10:42:00,2025-09-20 17:31:00,S1_S2,west,172200,WATERED AT THE SAME TIME.
2025,2025-09-20,2025-09-20 10:42:00,2025-09-20 17:31:00,S3_S4,east,172200,WATERED AT THE SAME TIME.
2025,2025-10-04,2025-10-04 10:12:00,2025-10-04 17:06:00,S3_S4,east,103600,
