event_id,strip,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,output_file,status
2025-04-20_S1_S2_f3457ada,S1,B,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-20 04:15:00,2025-04-21 20:15:00,22.22,132300.0,5955.0,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-04-20_0815_S1_B_event_2025-04-20_S1_S2_f3457ada.png,written
2025-05-17_S1_S2_8db50082,S1,B,2025-05-17 15:36:00,2025-05-18 07:37:00,2025-05-17 11:36:00,2025-05-19 03:36:00,16.02,92450.0,5772.1,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-05-17_1536_S1_B_event_2025-05-17_S1_S2_8db50082.png,written
2025-05-28_S1_S2_ca363c43,S1,B,2025-05-28 18:58:00,2025-05-29 07:30:00,2025-05-28 14:58:00,2025-05-30 06:58:00,12.53,64250.0,5126.3,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-05-28_1858_S1_B_event_2025-05-28_S1_S2_ca363c43.png,written
2025-06-27_S1_S2_ff537961,S1,B,2025-06-27 15:33:00,2025-06-28 07:49:00,2025-06-27 11:33:00,2025-06-29 03:33:00,16.27,95500.0,5870.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-06-27_1533_S1_B_event_2025-06-27_S1_S2_ff537961.png,written
2025-07-26_S1_S2_98e2053f,S1,B,2025-07-26 08:45:00,2025-07-26 17:50:00,2025-07-26 04:45:00,2025-07-27 20:45:00,9.08,53225.0,5859.6,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-07-26_0845_S1_B_event_2025-07-26_S1_S2_98e2053f.png,written
2025-08-22_S1_S2_9f8675d7,S1,B,2025-08-22 09:07:00,2025-08-22 19:04:00,2025-08-22 05:07:00,2025-08-23 21:07:00,9.95,30625.0,3077.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-08-22_0907_S1_B_event_2025-08-22_S1_S2_9f8675d7.png,written
2025-09-20_S1_S2_81d8ab0f,S1,B,2025-09-20 10:42:00,2025-09-20 17:31:00,2025-09-20 06:42:00,2025-09-21 22:42:00,6.82,86100.0,12630.8,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-09-20_1042_S1_B_event_2025-09-20_S1_S2_81d8ab0f.png,written
2025-04-20_S1_S2_f3457ada,S2,B,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-20 04:15:00,2025-04-21 20:15:00,22.22,132300.0,5955.0,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-04-20_0815_S2_B_event_2025-04-20_S1_S2_f3457ada.png,written
2025-05-17_S1_S2_8db50082,S2,B,2025-05-17 15:36:00,2025-05-18 07:37:00,2025-05-17 11:36:00,2025-05-19 03:36:00,16.02,92450.0,5772.1,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-05-17_1536_S2_B_event_2025-05-17_S1_S2_8db50082.png,written
2025-05-28_S1_S2_ca363c43,S2,B,2025-05-28 18:58:00,2025-05-29 07:30:00,2025-05-28 14:58:00,2025-05-30 06:58:00,12.53,64250.0,5126.3,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-05-28_1858_S2_B_event_2025-05-28_S1_S2_ca363c43.png,written
2025-06-27_S1_S2_ff537961,S2,B,2025-06-27 15:33:00,2025-06-28 07:49:00,2025-06-27 11:33:00,2025-06-29 03:33:00,16.27,95500.0,5870.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-06-27_1533_S2_B_event_2025-06-27_S1_S2_ff537961.png,written
