flag_pre_start_response,flag_unexplained_pre_start_response,likely_precip_driven_pre_start_response,possible_battery_or_logger_issue,year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,irrigation_start,irrigation_end,window_start,first_vwc,last_pre_start_vwc,max_pre_start_vwc,max_pre_start_time,pre_start_increase,last_minus_first,threshold,vwc_missing_fraction_pre_start_window,precip_col,precip_threshold_in,total_precip_in_pre_start_window,max_precip_in_pre_start_window,first_precip_time_pre_start_window,last_precip_time_pre_start_window,battery_col,battery_pre_start_min_v,battery_pre_start_median_v,battery_pre_start_max_v,battery_pre_start_low_count,battery_pre_start_high_count,battery_pre_start_out_of_range_count,battery_pre_start_out_of_range_fraction,flag_battery_low_pre_start,flag_battery_out_of_range_pre_start,battery_event_min_v,battery_event_median_v,battery_event_max_v,battery_event_low_count,battery_event_high_count,battery_event_out_of_range_count,battery_event_out_of_range_fraction,flag_battery_low_event,flag_battery_out_of_range_event,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,event_duration_hours,gallons_strip
False,False,False,True,2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S1_B,1,6,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,14.459,14.897,14.897,2026-04-21 14:45:00,0.438,0.438,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S1_B,13.435,13.5285,13.836,0,24,24,1.0,False,True,12.749,12.917,13.474,0,31,31,0.4306,False,True,13.35,13.35,27.6,17.9667,110850.0
False,False,False,True,2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S1_B,2,12,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,13.131,13.063,13.169,2026-04-21 10:00:00,0.038,-0.068,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S1_B,13.435,13.5285,13.836,0,24,24,1.0,False,True,12.749,12.917,13.474,0,31,31,0.4306,False,True,17.35,17.35,31.1,17.9667,110850.0
False,False,False,True,2026,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S1_B,3,18,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,12.003,11.857,12.051,2026-04-21 10:30:00,0.048,-0.146,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S1_B,13.435,13.5285,13.836,0,24,24,1.0,False,True,12.749,12.917,13.474,0,31,31,0.4306,False,True,20.35,20.35,29.35,17.9667,110850.0
False,False,False,True,2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S1_B,1,6,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-20 05:23:00,17.359,17.085,17.359,2026-05-20 05:30:00,0.0,-0.274,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S1_B,12.706,13.565,13.888,0,14,14,0.5833,False,True,13.487,13.591,13.617,0,26,26,1.0,False,True,11.3667,11.3667,19.1167,6.5,54400.0
False,False,False,True,2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S1_B,2,12,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-20 05:23:00,17.739,17.42,17.739,2026-05-20 05:30:00,0.0,-0.319,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S1_B,12.706,13.565,13.888,0,14,14,0.5833,False,True,13.487,13.591,13.617,0,26,26,1.0,False,True,15.6167,15.6167,15.8667,6.5,54400.0
False,False,False,True,2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S1_B,3,18,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-20 05:23:00,13.056,13.278,13.289,2026-05-20 09:15:00,0.233,0.222,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S1_B,12.706,13.565,13.888,0,14,14,0.5833,False,True,13.487,13.591,13.617,0,26,26,1.0,False,True,23.1167,23.1167,23.3667,6.5,54400.0
False,False,False,True,2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S2_B,1,6,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,9.406,9.891,9.891,2026-04-21 14:45:00,0.485,0.485,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S2_B,13.322,13.4165,13.675,0,24,24,1.0,False,True,12.695,12.8725,13.407,0,25,25,0.3472,False,True,20.35,20.35,24.35,17.9667,110850.0
False,False,False,True,2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S2_B,2,12,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,9.371,9.137,9.371,2026-04-21 09:00:00,0.0,-0.234,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S2_B,13.322,13.4165,13.675,0,24,24,1.0,False,True,12.695,12.8725,13.407,0,25,25,0.3472,False,True,20.1,20.1,24.1,17.9667,110850.0
False,False,False,True,2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S2_B,3,18,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,8.645,8.477,8.687,2026-04-21 10:15:00,0.042,-0.168,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S2_B,13.322,13.4165,13.675,0,24,24,1.0,False,True,12.695,12.8725,13.407,0,25,25,0.3472,False,True,20.1,20.1,24.1,17.9667,110850.0
False,False,False,True,2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S2_B,1,6,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-20 05:23:00,10.282,10.207,10.29,2026-05-20 05:45:00,0.008,-0.075,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S2_B,12.667,13.2945,13.777,0,13,13,0.5417,False,True,13.434,13.4835,13.532,0,26,26,1.0,False,True,8.1167,8.1167,12.1167,6.5,54400.0
False,False,False,True,2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S2_B,2,12,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-20 05:23:00,12.509,12.395,12.544,2026-05-20 06:15:00,0.035,-0.114,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S2_B,12.667,13.2945,13.777,0,13,13,0.5417,False,True,13.434,13.4835,13.532,0,26,26,1.0,False,True,8.1167,8.1167,21.6167,6.5,54400.0
False,False,False,True,2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S2_B,3,18,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-20 05:23:00,17.523,17.42,17.538,2026-05-20 07:30:00,0.015,-0.103,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S2_B,12.667,13.2945,13.777,0,13,13,0.5417,False,True,13.434,13.4835,13.532,0,26,26,1.0,False,True,8.3667,8.3667,12.3667,6.5,54400.0
True,False,False,True,2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_1_raw_S3_B,1,6,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,10.714,34.218,34.218,2026-04-21 14:45:00,23.504,23.504,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S3_B,13.305,13.366,13.431,0,24,24,1.0,False,True,12.67,12.8265,13.64,0,31,31,0.4306,False,True,15.85,15.85,16.1,17.9667,110850.0
True,False,False,True,2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_2_raw_S3_B,2,12,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,11.781,30.911,30.911,2026-04-21 14:45:00,19.13,19.13,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S3_B,13.305,13.366,13.431,0,24,24,1.0,False,True,12.67,12.8265,13.64,0,31,31,0.4306,False,True,15.85,15.85,27.85,17.9667,110850.0
True,False,False,True,2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_3_raw_S3_B,3,18,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 08:54:00,9.299,27.946,27.946,2026-04-21 14:45:00,18.647,18.647,0.5,0.0,precip_in,0.01,0.0,0.0,,,BattV_Min_S3_B,13.305,13.366,13.431,0,24,24,1.0,False,True,12.67,12.8265,13.64,0,31,31,0.4306,False,True,2.85,2.85,3.1,17.9667,110850.0
