year,strip,sensor_col,depth_index,depth_inches,n_events,mean_value,sd_value,raw_target_value,quantile_cap,target_value,target_is_trustworthy,source_value_col,k_std
2025.0000,S1,VWC_1_raw_S1_B,1,6.0000,6.0000,31.6640,1.5966,32.4623,33.4961,32.4623,True,plateau_vwc,0.5000
2025.0000,S1,VWC_2_raw_S1_B,2,12.0000,6.0000,34.8597,3.2188,36.4691,38.8460,36.4691,True,plateau_vwc,0.5000
2025.0000,S1,VWC_3_raw_S1_B,3,18.0000,6.0000,25.7428,6.7658,29.1257,32.2673,29.1257,True,plateau_vwc,0.5000
2025.0000,S2,VWC_1_raw_S2_B,1,6.0000,6.0000,35.2367,4.4302,37.4518,39.5410,37.4518,True,plateau_vwc,0.5000
2025.0000,S2,VWC_2_raw_S2_B,2,12.0000,6.0000,32.3567,3.1554,33.9343,35.3394,33.9343,True,plateau_vwc,0.5000
2025.0000,S2,VWC_3_raw_S2_B,3,18.0000,6.0000,38.9525,2.6783,40.2916,41.9425,40.2916,True,plateau_vwc,0.5000
2025.0000,S3,VWC_1_raw_S3_B,1,6.0000,10.0000,34.7822,1.8638,35.7140,36.9940,35.7140,True,plateau_vwc,0.5000
2025.0000,S3,VWC_2_raw_S3_B,2,12.0000,10.0000,32.9622,3.3389,34.6317,37.1462,34.6317,True,plateau_vwc,0.5000
2025.0000,S3,VWC_3_raw_S3_B,3,18.0000,10.0000,32.5550,5.6163,35.3632,39.0502,35.3632,True,plateau_vwc,0.5000
2025.0000,S4,VWC_1_raw_S4_B,1,6.0000,10.0000,39.9088,6.0093,42.9135,44.7382,42.9135,True,plateau_vwc,0.5000
2025.0000,S4,VWC_2_raw_S4_B,2,12.0000,9.0000,37.5507,2.1229,38.6122,40.1522,38.6122,True,plateau_vwc,0.5000
2025.0000,S4,VWC_3_raw_S4_B,3,18.0000,9.0000,39.3082,2.6606,40.6385,41.6280,40.6385,True,plateau_vwc,0.5000
