matched_strip_group,matched_location,suggested_event_id,start_timestamp,end_timestamp,duration_hours,start_reading_x100,end_reading_x100,computed_gallons,reported_gallons,gallons_difference,gallons_ratio,time_diff_hours,matched_irrigation_start,matched_irrigation_end,start_time_diff_hours,end_time_diff_hours,start_photo,end_photo,start_filename,end_filename,start_timestamp_source,end_timestamp_source,review_status,notes,photo_timestamp,photo_meter_reading_x100,photo_filename,photo_path,photo_timestamp_source,photo_file_type
S1_S2,west,known_event_001,2023-05-23T15:26,2023-05-23T19:19,3.883,160580,162024,144400.0,145000.0,-600.0,0.996,0.01,2023-05-23T15:25,2023-05-23T19:19,0.02,0.0,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7487.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7516.JPEG,IMG_7487.JPEG,IMG_7516.JPEG,DateTime,DateTime,event_driven_suggested,,,,,,,
S3_S4,east,known_event_002,,,,,,,146600.0,,,,2023-05-24T09:25,2023-05-24T13:19,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S1_S2,west,known_event_003,2023-06-01T11:16,2023-06-01T18:45,7.483,163494,164167,67300.0,67300.0,0.0,1.0,0.5,2023-06-01T12:16,2023-06-01T18:45,1.0,0.0,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7561.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7586.JPEG,IMG_7561.JPEG,IMG_7586.JPEG,DateTime,DateTime,event_driven_suggested,,,,,,,
S3_S4,east,known_event_004,2023-06-02T15:43,2023-06-02T20:18,4.583,164171,164846,67500.0,67500.0,0.0,1.0,0.95,2023-06-02T15:43,2023-06-02T22:12,0.0,1.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7596.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7611.JPEG,IMG_7596.JPEG,IMG_7611.JPEG,DateTime,DateTime,event_driven_suggested,,,,,,,
S3_S4,east,known_event_005,,,,,,,128200.0,,,,2023-06-14T08:25,2023-06-14T17:29,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S1_S2,west,known_event_006,,,,,,,89400.0,,,,2023-06-26T09:31,2023-06-26T16:02,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S3_S4,east,known_event_007,,,,,,,135700.0,,,,2023-06-27T07:53,2023-06-27T16:14,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S3_S4,east,known_event_008,,,,,,,128500.0,,,,2023-07-07T07:46,2023-07-07T15:46,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S1_S2,west,known_event_009,,,,,,,120900.0,,,,2023-07-17T08:04,2023-07-17T16:04,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S3_S4,east,known_event_010,,,,,,,160900.0,,,,2023-07-17T19:19,2023-07-18T05:53,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S3_S4,east,known_event_011,,,,,,,50400.0,,,,2023-07-27T10:00,2023-07-27T17:29,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S1_S2,west,known_event_012,,,,,,,98500.0,,,,2023-08-05T08:48,2023-08-05T14:56,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
