strip_group,location,strip,sensor_col,depth_inches,n_trustworthy_events,mean_bottom_response_delay_hr,sd_bottom_response_delay_hr,mean_time_to_peak_hours,sd_time_to_peak_hours,mean_time_to_plateau_hours,sd_time_to_plateau_hours,mean_event_duration_hours,sd_event_duration_hours,mean_gallons_strip,sd_gallons_strip,mean_baseline_vwc,sd_baseline_vwc,mean_peak_vwc,sd_peak_vwc,mean_peak_increase,sd_peak_increase,mean_plateau_vwc,sd_plateau_vwc,mean_profile_baseline_storage_gal,sd_profile_baseline_storage_gal,mean_profile_plateau_storage_gal,sd_profile_plateau_storage_gal,mean_event_storage_gal,sd_event_storage_gal,mean_efficiency_strip,sd_efficiency_strip,mean_estimated_loss_gal_strip,sd_estimated_loss_gal_strip,profile_area_sqft,gallons_per_profile_inch,mean_profile_baseline_storage_in,mean_profile_plateau_storage_in,mean_event_storage_in,mean_profile_baseline_storage_gal_scaled,mean_profile_plateau_storage_gal_scaled,mean_event_storage_gal_scaled
S1_S2,west,S1,VWC_1_raw_S1_B,6,5,7.3033,3.434,7.3033,3.434,14.4778,4.333,6.13,0.9749,39075.0,7853.9003,21.8403,3.0845,22.4554,3.0079,0.6151,0.3494,20.6273,2.8177,12206.5787,3601.4074,7827.8497,5279.5599,939.1306,2076.1523,0.0186,0.0427,38135.8694,6380.917,4293.3333,2674.7467,4.5636,2.9266,0.3511,12206.5787,7827.8497,939.1306
S1_S2,west,S1,VWC_2_raw_S1_B,12,6,15.4083,7.0754,15.4083,7.0754,20.9375,6.2576,6.4416,1.159,42637.5,11202.4746,25.5167,6.4212,32.252,12.9753,6.7353,9.6718,36.2769,14.2714,12037.1863,3247.8102,8690.9422,5173.8355,1629.4103,2511.4225,0.0295,0.0466,41008.0897,9059.2924,4293.3333,2674.7467,4.5003,3.2493,0.6092,12037.1863,8690.9422,1629.4103
S1_S2,west,S1,VWC_3_raw_S1_B,18,6,17.2166,8.073,17.2166,8.073,24.525,3.8985,6.0055,1.5511,47270.8333,16650.4386,25.6571,14.3183,29.1518,16.4412,3.4948,4.4051,31.3509,17.4322,11455.9203,4033.6034,8707.0807,5165.8063,1723.364,2454.4107,0.0306,0.0459,45547.4693,15633.745,4293.3333,2674.7467,4.283,3.2553,0.6443,11455.9203,8707.0807,1723.364
S1_S2,west,S2,VWC_1_raw_S2_B,6,6,7.6166,1.004,7.6166,1.004,18.1583,4.273,6.4416,1.159,42637.5,11202.4746,11.4269,6.3161,38.6005,2.2913,27.1736,7.9055,31.7572,2.5337,5901.8502,3249.595,15522.7484,911.7523,9620.8983,3264.6687,0.2274,0.0697,33016.6017,9320.5983,4293.3333,2674.7467,2.2065,5.8034,3.5969,5901.8502,15522.7484,9620.8983
S1_S2,west,S2,VWC_2_raw_S2_B,12,6,7.6583,0.9084,7.6583,0.9084,15.4916,4.2456,6.4416,1.159,42637.5,11202.4746,10.6947,7.5105,35.2398,1.0653,24.5452,8.1104,30.9121,2.3521,5901.8502,3249.595,15522.7484,911.7523,9620.8983,3264.6687,0.2274,0.0697,33016.6017,9320.5983,4293.3333,2674.7467,2.2065,5.8034,3.5969,5901.8502,15522.7484,9620.8983
S1_S2,west,S2,VWC_3_raw_S2_B,18,7,7.5405,1.3453,7.5405,1.3453,11.5405,1.3453,6.0786,1.4291,46903.5714,15230.7285,13.4227,7.5076,38.5966,1.7216,25.1739,6.7357,33.9993,1.2841,5578.5435,3087.3257,15635.8516,884.4714,10057.308,3196.0746,0.2199,0.0666,36846.2634,13230.9783,4293.3333,2674.7467,2.0856,5.8457,3.7601,5578.5435,15635.8516,10057.308
S3_S4,east,S3,VWC_1_raw_S3_B,6,12,8.0153,3.2848,8.0153,3.2848,15.3903,4.98,7.1542,2.6667,55110.4167,22348.3461,14.2144,4.3714,34.9773,2.5813,20.763,3.6687,32.071,2.5875,7034.3936,1890.0324,13579.8423,1468.5027,6545.4487,1707.2634,0.1372,0.0617,48564.968,21411.3963,4293.3333,2674.7467,2.6299,5.0771,2.4471,7034.3936,13579.8423,6545.4487
S3_S4,east,S3,VWC_2_raw_S3_B,12,12,9.3278,5.1732,9.3278,5.1732,15.7861,5.0245,7.1542,2.6667,55110.4167,22348.3461,16.877,5.1943,32.0488,4.8881,15.1718,4.4598,29.4199,4.1087,7034.3936,1890.0324,13579.8423,1468.5027,6545.4487,1707.2634,0.1372,0.0617,48564.968,21411.3963,4293.3333,2674.7467,2.6299,5.0771,2.4471,7034.3936,13579.8423,6545.4487
S3_S4,east,S3,VWC_3_raw_S3_B,18,12,7.4944,2.8606,7.4944,2.8606,11.8694,3.7118,7.1542,2.6667,55110.4167,22348.3461,12.7143,3.0919,26.9178,4.3664,14.2035,2.471,23.0756,3.8243,7034.3936,1890.0324,13579.8423,1468.5027,6545.4487,1707.2634,0.1372,0.0617,48564.968,21411.3963,4293.3333,2674.7467,2.6299,5.0771,2.4471,7034.3936,13579.8423,6545.4487
S3_S4,east,S4,VWC_1_raw_S4_B,6,3,18.4889,1.4526,18.4889,1.4526,18.7389,1.4526,6.2111,2.626,63416.6667,10242.1108,7.4157,0.8121,25.1487,1.9421,17.733,1.8471,25.0897,1.9316,6892.1181,779.464,10031.1714,4148.6243,4303.0307,1520.6318,0.0718,0.0366,59113.636,11762.6096,4293.3333,2674.7467,2.5767,3.7503,1.6088,6892.1181,10031.1714,4303.0307
