"TOA5","S1M","CR200X","23673","CR200X.Std.04","CSU_3depths.CR2","4256","Table3"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg"
"TS","RN","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-10-10 00:00:00",0,0.1567207,0.179235,15.81612,0.191023,0.3304082,15.30849,0.3400172,0.731178,15.54926
"2023-10-11 00:00:00",1,0.1505718,0.1657743,14.7012,0.1878209,0.3177522,15.17947,0.3395945,0.7299303,15.5817
"2023-10-12 00:00:00",2,0.1435553,0.1531018,15.03311,0.182326,0.2986796,15.39227,0.3387019,0.7289827,15.65233
"2023-10-13 00:00:00",3,0.1396824,0.1431843,13.98067,0.1802869,0.2902794,14.8476,0.339123,0.7243723,15.4031
"2023-10-14 00:00:00",4,0.1362637,0.1357694,13.35913,0.1777516,0.2802734,14.31686,0.338654,0.7154187,14.98328
"2023-10-15 00:00:00",5,0.1323035,0.1265654,12.37071,0.1746406,0.2670299,13.63304,0.3378532,0.7033487,14.47122
"2023-10-16 00:00:00",6,0.1293409,0.1204114,12.1091,0.1713614,0.2538995,13.13607,0.3367587,0.6914468,13.96309
"2023-10-17 00:00:00",7,0.1267518,0.116104,12.51236,0.167539,0.242395,13.18835,0.3352023,0.6857103,13.8154
"2023-10-18 00:00:00",8,0.1237287,0.1112758,12.62832,0.1641256,0.2310663,13.25314,0.3337606,0.6821004,13.80645
"2023-10-19 00:00:00",9,0.1212642,0.1071904,12.78813,0.1608446,0.2208782,13.31012,0.3321345,0.6773545,13.80023
"2023-10-20 00:00:00",10,0.1190356,0.1039793,13.12146,0.1579261,0.2123348,13.47528,0.3302945,0.6736057,13.86364
"2023-10-21 00:00:00",11,0.1168132,0.1002286,13.18625,0.1551738,0.204861,13.58928,0.3281509,0.6702993,13.95761
"2023-10-22 00:00:00",12,0.1143663,0.09588942,12.90593,0.1526468,0.1969304,13.46623,0.3257703,0.6636944,13.91056
"2023-10-23 00:00:00",13,0.1125696,0.09278724,12.79283,0.1504227,0.1902544,13.34921,0.323412,0.6565847,13.8082
"2023-10-24 00:00:00",14,0.1115864,0.09131605,13.02144,0.1490378,0.1858931,13.40892,0.3210867,0.6505057,13.78752
"2023-10-25 00:00:00",15,0.1100545,0.08857359,12.647,0.1479605,0.1821718,13.28834,0.3189366,0.644625,13.75064
"2023-10-26 00:00:00",16,0.1087231,0.08598244,12.24049,0.1469278,0.1783425,12.98454,0.3169124,0.6354925,13.53935
"2023-10-27 00:00:00",17,0.107987,0.0845153,12.0653,0.1463783,0.1764458,12.83064,0.3151629,0.6284673,13.373
"2023-10-28 00:00:00",18,0.1070127,0.08239727,11.46119,0.1461932,0.1747591,12.42455,0.3142539,0.6219454,13.10481
"2023-10-29 00:00:00",19,0.107534,0.08367962,11.96945,0.1462839,0.1753488,12.46143,0.3134406,0.6176919,12.96273
"2023-10-30 00:00:00",20,0.1062608,0.08084639,11.00793,0.146476,0.1754947,12.21189,0.3134486,0.6162586,12.90142
"2023-10-31 00:00:00",21,0.1031497,0.07441396,8.549097,0.1449327,0.1697296,10.67669,0.3132147,0.6019795,11.97344
"2023-11-01 00:00:00",22,0.1023152,0.07261591,7.738281,0.144236,0.1668039,9.673238,0.3131022,0.58816,11.02585
"2023-11-02 00:00:00",23,0.1023132,0.07240813,7.589799,0.143899,0.1662173,9.260881,0.3130199,0.5803251,10.48944
"2023-11-03 00:00:00",24,0.1024916,0.07270189,7.651938,0.1438806,0.1661322,9.056062,0.3130006,0.5757189,10.17208
"2023-11-04 00:00:00",25,0.1033756,0.07438632,8.27875,0.1441434,0.1676768,9.269618,0.3130252,0.5754312,10.13804
"2023-11-05 00:00:00",26,0.1035714,0.07473102,8.401774,0.144397,0.1684462,9.352755,0.3130264,0.575734,10.16534
"2023-11-06 00:00:00",27,0.1040864,0.07587505,8.81066,0.1446511,0.1707337,9.582646,0.3132415,0.5775481,10.25997
"2024-01-05 00:00:00",87,0.1120422,0.08062141,0.09843344,0.1531222,0.2178448,1.20523,0.3165516,0.4943326,2.072559
