"TOA5","S2T","CR200X","23594","CR200X.Std.04","CSU_3depths_M3.CR2","60237","Table2"
"TIMESTAMP","RECORD","BattV_Min","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-10-11 12:00:00",0,13.58128,0.1463751,0.1866307,13.55777,0.2016642,0.3598467,14.7627,0.2822737,0.4811014,15.55887
"2023-10-12 00:00:00",1,12.97772,0.1465018,0.1907856,14.41973,0.2010958,0.3597907,14.90979,0.2818719,0.4801276,15.49113
"2023-10-12 12:00:00",2,12.80816,0.1447983,0.1809141,12.71659,0.2012914,0.3563817,14.53068,0.2836416,0.4813096,15.41364
"2023-10-13 00:00:00",3,13.00794,0.1452765,0.1850733,13.31389,0.2001988,0.3519536,14.10718,0.2832054,0.4773382,15.03842
"2023-10-13 12:00:00",4,12.78801,0.1429484,0.1749785,11.52489,0.200066,0.3492928,13.81389,0.2844827,0.4781829,14.91954
"2023-10-14 00:00:00",5,12.97521,0.1437132,0.1812679,12.81617,0.1977756,0.344209,13.50227,0.2824621,0.4730433,14.517
"2023-10-14 12:00:00",6,12.78633,0.1401986,0.1659441,10.18079,0.1976021,0.33856,12.9646,0.2841114,0.4734577,14.35684
"2023-10-15 00:00:00",7,12.94415,0.1416787,0.1735352,11.72539,0.1960641,0.3343559,12.5933,0.2823554,0.4672889,13.84067
"2023-10-15 12:00:00",8,12.7687,0.1389367,0.1617332,9.599016,0.1959679,0.3313007,12.28031,0.2833375,0.4679243,13.72709
"2023-10-16 00:00:00",9,12.90469,0.1410951,0.1745602,12.19657,0.1938848,0.330334,12.33279,0.2808256,0.4634037,13.37523
"2023-10-16 12:00:00",10,12.77794,0.138245,0.1629495,10.13428,0.1940185,0.3302797,12.33432,0.2822336,0.4676533,13.51071
"2023-10-17 00:00:00",11,12.94163,0.1400177,0.1748139,12.64185,0.1917101,0.3293102,12.50877,0.2791921,0.4649816,13.31541
"2023-10-17 12:00:00",12,12.77122,0.1365133,0.1614162,10.22035,0.1916973,0.3283502,12.45735,0.2806468,0.4701103,13.51555
"2023-10-18 00:00:00",13,12.9559,0.1383307,0.1732892,12.81841,0.1893292,0.3263662,12.56161,0.2776806,0.4671426,13.29954
"2023-10-18 12:00:00",14,12.77206,0.134814,0.1604105,10.47493,0.1893427,0.3261248,12.57084,0.279127,0.4725692,13.52709
"2023-10-19 00:00:00",15,12.93156,0.1364309,0.1715427,12.973,0.1867714,0.3236597,12.67716,0.2758517,0.4696555,13.33891
"2023-10-19 12:00:00",16,12.7813,0.133055,0.1598774,10.86907,0.186841,0.324017,12.7311,0.2772518,0.4751636,13.58121
"2023-10-20 00:00:00",17,12.92232,0.1348761,0.1709612,13.38273,0.184371,0.3226461,12.94052,0.2736643,0.4734499,13.45859
"2023-10-20 12:00:00",18,12.7771,0.1309945,0.1573286,10.86243,0.1843784,0.3220172,12.88526,0.2749773,0.478911,13.70536
