"TOA5","S3B","CR200X","23123","CR200X.Std.04","CSU_3depths.CR2","4256","Table2"
"TIMESTAMP","RECORD","BattV_Min","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-10-13 00:00:00",0,12.98108,0.1664192,0.2316582,14.14232,0.2054936,0.3151496,14.43003,0.1309913,0.1266066,14.87201
"2023-10-13 12:00:00",1,12.7175,0.1646736,0.2208539,12.89077,0.2049594,0.3115314,14.1658,0.1310478,0.1261572,14.81834
"2023-10-14 00:00:00",2,12.89798,0.1631849,0.2233604,13.29302,0.203244,0.3067318,13.73824,0.1305771,0.1241655,14.37993
"2023-10-14 12:00:00",3,12.74016,0.1609718,0.2103827,11.80623,0.2024232,0.302033,13.40556,0.1303874,0.1234827,14.28053
"2023-10-15 00:00:00",4,12.90889,0.1602437,0.2137361,12.25681,0.2009326,0.2966908,12.87202,0.1296617,0.1211421,13.72922
"2023-10-13 00:00:00",0,12.98108,0.1664192,0.2316582,14.14232,0.2054936,0.3151496,14.43003,0.1309913,0.1266066,14.87201
"2023-10-13 12:00:00",1,12.7175,0.1646736,0.2208539,12.89077,0.2049594,0.3115314,14.1658,0.1310478,0.1261572,14.81834
"2023-10-14 00:00:00",2,12.89798,0.1631849,0.2233604,13.29302,0.203244,0.3067318,13.73824,0.1305771,0.1241655,14.37993
"2023-10-14 12:00:00",3,12.74016,0.1609718,0.2103827,11.80623,0.2024232,0.302033,13.40556,0.1303874,0.1234827,14.28053
"2023-10-15 00:00:00",4,12.90889,0.1602437,0.2137361,12.25681,0.2009326,0.2966908,12.87202,0.1296617,0.1211421,13.72922
"2023-10-15 12:00:00",5,12.71498,0.1584183,0.2034857,11.10007,0.2002938,0.2934584,12.68506,0.1295199,0.1205506,13.64295
"2023-10-16 00:00:00",6,12.9005,0.1576064,0.2116155,12.40074,0.1987137,0.2916479,12.56478,0.1290508,0.1188085,13.25223
"2023-10-16 12:00:00",7,12.67469,0.1560005,0.2029482,11.54753,0.1981018,0.291555,12.77459,0.1289558,0.1192829,13.46885
"2023-10-17 00:00:00",8,12.88706,0.154861,0.210297,12.8766,0.196144,0.2902871,12.80154,0.1283836,0.1181496,13.26376
"2023-10-17 12:00:00",9,12.626,0.1528878,0.1997773,11.76927,0.1955451,0.2894713,12.97342,0.1282702,0.1188306,13.55012
"2023-10-18 00:00:00",10,12.88706,0.1515842,0.2057533,13.02162,0.1935761,0.2866715,12.89247,0.1277611,0.1175269,13.30565
"2023-10-18 12:00:00",11,12.72673,0.1500171,0.1963255,12.02236,0.1929891,0.2861596,13.10886,0.127609,0.1182222,13.59861
"2023-10-19 00:00:00",12,12.89966,0.150386,0.2038153,13.26884,0.1905874,0.2829154,13.05921,0.1271162,0.1169954,13.38689
"2023-10-19 12:00:00",13,12.72338,0.1470673,0.1944444,12.36102,0.1900109,0.2825986,13.31113,0.127038,0.1177115,13.70132
