"TOA5","S3T","CR200X","23124","CR200X.Std.04","CSU_3depths_M3.CR2","60237","Public"
"TIMESTAMP","RECORD","BattV","VWC_1","EC_1","T_1","P_1","PA_1","VR_1","VWC_2","EC_2","T_2","P_2","PA_2","VR_2","VWC_3","EC_3","T_3","P_3","PA_3","VR_3"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","","","","","","","","","","","","","","","","","","",""
"2023-11-04 09:25:47",33116,14.0052,0.1093,0.1191,5.8506,6.2613,1.3654,1.153,0.1737,0.2594,8.9558,9.2606,1.4863,1.3321,0.251,0.3127,10.3012,13.466,1.6016,1.4027
"2023-11-04 09:27:06",33118,13.98841,0.1094,0.1189,5.8446,6.2625,1.3654,1.1527,0.1737,0.2593,8.9732,9.2612,1.4863,1.3319,0.251,0.3123,10.2869,13.4684,1.6016,1.4021
"2023-11-04 09:29:49",33120,13.98589,0.1095,0.118,5.8145,6.2686,1.3654,1.1515,0.1737,0.2593,8.9385,9.2609,1.4863,1.332,0.251,0.3127,10.2898,13.466,1.6016,1.4027
"2023-11-04 09:35:10",33126,13.94224,0.1094,0.1188,5.8355,6.2631,1.3654,1.1526,0.1736,0.2597,8.9298,9.2587,1.4863,1.3325,0.251,0.3125,10.2955,13.4673,1.6016,1.4024
"2023-11-04 09:41:22",33132,13.90446,0.1094,0.1187,5.8025,6.2637,1.3654,1.1525,0.1736,0.2597,8.9385,9.2588,1.4863,1.3324,0.251,0.3128,10.2812,13.4656,1.6016,1.4028
"2023-11-04 09:46:23",33137,13.87173,0.1094,0.1188,5.8055,6.2633,1.3654,1.1526,0.1736,0.2597,8.9529,9.2588,1.4863,1.3324,0.251,0.3128,10.2727,13.4658,1.6016,1.4027
"2023-11-04 09:47:26",33138,13.87089,0.1093,0.1191,5.7784,6.2616,1.3654,1.1529,0.1736,0.2595,8.924,9.2601,1.4863,1.3322,0.251,0.3128,10.2784,13.466,1.6016,1.4027
"2023-11-04 09:53:07",33144,13.85158,0.1094,0.1187,5.7694,6.2638,1.3654,1.1525,0.1737,0.259,8.9443,9.2628,1.4863,1.3316,0.251,0.3123,10.2869,13.4684,1.6016,1.4021
"2023-11-04 09:55:08",33146,13.83647,0.1093,0.1191,5.7905,6.2615,1.3654,1.1529,0.1737,0.259,8.8894,9.2631,1.4863,1.3315,0.251,0.3125,10.267,13.4675,1.6016,1.4023
"2023-11-04 09:59:12",33150,13.81381,0.1095,0.1179,5.7574,6.2692,1.3654,1.1514,0.1737,0.259,8.9096,9.2631,1.4863,1.3315,0.251,0.3125,10.2926,13.4673,1.6016,1.4024
"2023-11-04 10:47:11",33198,13.70132,0.1094,0.1188,5.7905,6.2632,1.3654,1.1526,0.1738,0.258,8.8633,9.269,1.4863,1.3303,0.2503,0.3119,10.267,13.4241,1.6005,1.4016
"2023-11-04 11:18:14",33229,13.63752,0.1099,0.1199,5.9137,6.2883,1.3665,1.1541,0.1739,0.2576,8.8026,9.2714,1.4863,1.3297,0.2502,0.3124,10.2413,13.4213,1.6005,1.4023
