"TOA5","S4B","CR200X","23664","CR200X.Std.04","CSU_3depths.CR2","51716","Public"
"TIMESTAMP","RECORD","BattV","VWC_1","EC_1","T_1","P_1","PA_1","VR_1","VWC_2","EC_2","T_2","P_2","PA_2","VR_2","VWC_3","EC_3","T_3","P_3","PA_3","VR_3"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","","","","","","","","","","","","","","","","","","",""
"2023-05-17 08:42:57",1129,13.72818,"NAN","NAN","NAN",0,0,0,0.1731,0.5434,14.7202,9.2321,1.5394,1.6773,0.0827,0.3684,14.4825,5.1207,1.3846,1.4621
"2023-05-17 08:46:11",1133,13.70384,"NAN","NAN","NAN",0,0,0,0.1733,0.5423,14.9245,9.242,1.5394,1.6758,0.0836,0.3681,14.7202,5.1598,1.3857,1.4618
"2023-05-17 10:14:40",1221,13.45285,"NAN","NAN","NAN",0,0,0,0.1731,0.5434,18.6835,9.2321,1.5394,1.6773,0.0837,0.3724,17.7862,5.1621,1.3869,1.4672
"2023-05-29 17:06:59",18913,13.35715,0.1751,0.5459,27.4101,9.3329,1.544,1.6829,0.2118,0.7699,20.2289,11.2365,1.6129,1.9731,0.1148,0.4983,19.0117,6.5033,1.4558,1.6265
"2023-06-01 16:06:40",23173,13.47215,0.1377,0.3723,22.2055,7.5398,1.4603,1.4642,0.2146,0.82,19.731,11.3895,1.6276,2.0373,0.1187,0.5456,19.411,6.6755,1.4716,1.6866
"2023-06-01 16:09:38",23176,13.50153,0.1369,0.3719,22.2,7.5032,1.4592,1.4637,0.2142,0.8219,19.7501,11.3672,1.6276,2.0398,0.1187,0.5454,19.4137,6.6768,1.4716,1.6864
"2023-06-09 15:21:33",34649,13.30175,0.0893,0.1916,26.71,5.3977,1.3529,1.2381,0.22,0.7381,20.949,11.6859,1.6152,1.9323,0.1212,0.5523,20.4944,6.7863,1.4761,1.6951
"2023-06-12 10:38:19",38686,13.37898,0.085,0.1443,22.5217,5.2179,1.3349,1.1792,0.2222,0.7313,22.1918,11.8108,1.6163,1.9236,0.1218,0.5397,21.6481,6.813,1.4739,1.6791
"2023-06-13 15:54:01",40442,13.48391,0.0876,0.1556,26.8339,5.3267,1.3416,1.1933,0.2232,0.7209,22.2605,11.8639,1.6152,1.9103,0.1214,0.5223,21.5219,6.7967,1.4694,1.657
"2023-06-14 14:32:21",41801,13.42515,0.0868,0.1421,25.3148,5.295,1.3371,1.1764,0.2215,0.7091,21.6206,11.7702,1.6107,1.8951,0.1206,0.5216,21.3409,6.7603,1.4682,1.6561
"2023-06-21 10:12:40",369,13.38317,0.1383,0.3908,20.0346,7.5641,1.4648,1.4875,0.2912,1.3787,21.4615,16.0124,1.8446,2.7627,0.2974,1.7333,21.4231,16.436,1.9543,3.2301
"2023-07-01 10:09:01",95,13.40248,0.1744,0.3993,19.6626,9.2992,1.5146,1.4982,0.2996,1.4815,21.2997,16.5869,1.8785,2.8978,0.2652,1.3891,21.5576,14.3304,1.8378,2.7754
