DATE,STRIP_ID,TIME_ON,TIME_OFF,METER_GAL_START_GAL_X_100,METER_GAL_END_GAL_X_100,METER_GAL_USE_GAL_X_100,,
5/23/23,west,3:25:00 PM,7:19:00 PM,160574,162024,145000,,
6/1/23,west,12:16:00 PM,6:45:00 PM,163494,164167,67300,,
6/26/23,west,9:31:00 AM,4:02:00 PM,166136,167030,89400,,
7/17/23,west,8:04:00 AM,4:04:00 PM,169684,170893,120900,,
8/5/23,west,8:48:00 AM,2:56:00 PM,173025,174376,98500,,
8/24/23,west,1:47:00 PM,6:16:00 PM,175450,176655,60250,,
9/21/23,west,9:07:00 AM,4:09:00 PM,178252,179005,75300,,
5/24/23,east,9:25:00 AM,1:19:00 PM,162026,163492,146600,,
6/2/23,east,3:43:00 PM,10:12:00 PM,164171,164846,67500,,
6/14/23,east,8:25:00 AM,5:29:00 PM,164847,166129,128200,,
6/27/23,east,7:53:00 AM,4:14:00 PM,167039,168396,135700,,
7/7/23,east,7:46:00 AM,3:46:00 PM,168398,169683,128500,,
7/17/23,east,7:19:00 PM,5:53:00 AM,170904,172513,160900,,
7/27/23,east,10:00:00 AM,5:29:00 PM,172515,173019,50400,,
8/5/23,east,8:51:00 AM,11:03:00 AM,173262,173628,36600,,
8/10/23,east,1:57:00 PM,7:37:00 PM,174384,175441,105700,,
8/24/23,east,1:47:00 PM,6:16:00 PM,175450,176655,60250,,
9/7/23,east,7:38:00 AM,6:19:00 PM,176662,178239,157700,,
9/22/23,east,7:20:00 AM,4:18:00 PM,179007,180453,144600,,
