DATE,STRIP I.D.,LOCATION,TIME ON,TIME OFF,WATER DURATION,FLOW RATE START,FLOW RATE END,METER GAL. START (GAL. X 100),METER GAL. END (GAL. X 100),GAL. USED (X 100),ACRE FT. USED,GAL/MIN,NOTES
"Sunday, April 20, 2025",3 & 4,EAST,8:45:00 AM,6:30:00 AM,21:45,200,200,201790,207082,529200,0.81,370,RAN OVERNIGHT. FLOW METER AT 400GPM.
"Sunday, April 20, 2025",1 & 2,WEST,8:45:00 AM,6:30:00 AM,21:45,200,200,201790,207082,529200,0.81,370,RAN OVERNIGHT. FLOW METER AT 400GPM.
"Saturday, May 3, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, May 17, 2025",1 & 2,WEST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, May 17, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, May 31, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, June 14, 2025",1 & 2,WEST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, June 14, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, June 28, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, July 12, 2025",1 & 2,WEST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, July 12, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, July 26, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, August 9, 2025",1 & 2,WEST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, August 9, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, August 23, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, September 6, 2025",1 & 2,WEST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, September 6, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, September 20, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, October 4, 2025",1 & 2,WEST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, October 4, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
"Saturday, October 18, 2025",3 & 4,EAST,,,0:00,,,,,0,0,#DIV/0!,
PERCENT OF 1&2 VS. 3&4,,,,,100.00%,,,,,#REF!,#REF!,,
STRIPS 1 & 2 AVGS & TOTALS,,,,,285:45:00,,,,,#REF!,#REF!,,
STRIPS 3 & 4 AVGS & TOTALS,,,,,285:45:00,,,,,529200,1.62,,
