logger_tag,year,file_path,file_kind,kind,severity,start,end,details,min_v,max_v,gap_minutes,voltage_col,plot_path
S1B,2023,biochar_app/data-raw/datfiles_2023/S1B_Table1_late2023_withBattV.dat,late2023_withBattV,gap,info,2023-11-06 10:15:00,2023-12-11 12:15:00,S1B_Table1_late2023_withBattV.dat,,,50520.0,,
S1B,2024,biochar_app/data-raw/datfiles_2024/S1B_Table1.dat,main,gap,info,2023-11-06 10:15:00,2023-12-11 12:15:00,S1B_Table1.dat,,,50520.0,,
S1B,2024,biochar_app/data-raw/datfiles_2024/S1B_Table1.dat,main,gap,info,2024-03-28 16:30:00,2024-03-28 17:45:00,S1B_Table1.dat,,,75.0,,
S1B,2025,biochar_app/data-raw/datfiles_2025/S1B_Table1.dat,main,gap,info,2023-11-06 10:15:00,2023-12-11 12:15:00,S1B_Table1.dat,,,50520.0,,
S1B,2025,biochar_app/data-raw/datfiles_2025/S1B_Table1.dat,main,gap,info,2024-03-28 16:30:00,2024-03-28 17:45:00,S1B_Table1.dat,,,75.0,,
S1B,2026,biochar_app/data-raw/datfiles_2026/S1B_Table1.dat,main,gap,info,2023-11-06 10:15:00,2023-12-11 12:15:00,S1B_Table1.dat,,,50520.0,,
S1B,2026,biochar_app/data-raw/datfiles_2026/S1B_Table1.dat,main,gap,info,2024-03-28 16:30:00,2024-03-28 17:45:00,S1B_Table1.dat,,,75.0,,
S1M,2023,biochar_app/data-raw/datfiles_2023/S1M_Table1_late2023_withBattV.dat,late2023_withBattV,gap,info,2023-11-06 10:30:00,2023-12-16 10:00:00,S1M_Table1_late2023_withBattV.dat,,,57570.0,,
S1M,2024,biochar_app/data-raw/datfiles_2024/S1M_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-16 10:00:00,S1M_Table1.dat,,,57570.0,,
S1M,2024,biochar_app/data-raw/datfiles_2024/S1M_Table1.dat,main,gap,info,2024-07-12 09:30:00,2024-07-12 10:45:00,S1M_Table1.dat,,,75.0,,
S1M,2025,biochar_app/data-raw/datfiles_2025/S1M_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-16 10:00:00,S1M_Table1.dat,,,57570.0,,
S1M,2025,biochar_app/data-raw/datfiles_2025/S1M_Table1.dat,main,gap,info,2024-07-12 09:30:00,2024-07-12 10:45:00,S1M_Table1.dat,,,75.0,,
S1M,2026,biochar_app/data-raw/datfiles_2026/S1M_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-16 10:00:00,S1M_Table1.dat,,,57570.0,,
S1M,2026,biochar_app/data-raw/datfiles_2026/S1M_Table1.dat,main,gap,info,2024-07-12 09:30:00,2024-07-12 10:45:00,S1M_Table1.dat,,,75.0,,
S1T,2023,biochar_app/data-raw/datfiles_2023/S1T_Table1_late2023_withBattV.dat,late2023_withBattV,gap,info,2023-11-06 10:30:00,2023-12-16 10:45:00,S1T_Table1_late2023_withBattV.dat,,,57615.0,,
S1T,2024,biochar_app/data-raw/datfiles_2024/S1T_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-16 10:45:00,S1T_Table1.dat,,,57615.0,,
S1T,2024,biochar_app/data-raw/datfiles_2024/S1T_Table1.dat,main,gap,info,2024-04-02 15:00:00,2024-04-02 16:15:00,S1T_Table1.dat,,,75.0,,
S1T,2025,biochar_app/data-raw/datfiles_2025/S1T_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-16 10:45:00,S1T_Table1.dat,,,57615.0,,
S1T,2025,biochar_app/data-raw/datfiles_2025/S1T_Table1.dat,main,gap,info,2024-04-02 15:00:00,2024-04-02 16:15:00,S1T_Table1.dat,,,75.0,,
S1T,2026,biochar_app/data-raw/datfiles_2026/S1T_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-16 10:45:00,S1T_Table1.dat,,,57615.0,,
S1T,2026,biochar_app/data-raw/datfiles_2026/S1T_Table1.dat,main,gap,info,2024-04-02 15:00:00,2024-04-02 16:15:00,S1T_Table1.dat,,,75.0,,
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1.dat,main,gap,info,2023-05-15 19:15:00,2023-05-16 07:45:00,S2B_Table1.dat,,,750.0,,
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1_late2023_withBattV.dat,late2023_withBattV,gap,info,2023-11-06 10:30:00,2023-12-11 12:00:00,S2B_Table1_late2023_withBattV.dat,,,50490.0,,
S2B,2024,biochar_app/data-raw/datfiles_2024/S2B_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-11 12:00:00,S2B_Table1.dat,,,50490.0,,
S2B,2024,biochar_app/data-raw/datfiles_2024/S2B_Table1.dat,main,gap,info,2024-03-28 16:15:00,2024-03-28 17:30:00,S2B_Table1.dat,,,75.0,,
S2B,2025,biochar_app/data-raw/datfiles_2025/S2B_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-11 12:00:00,S2B_Table1.dat,,,50490.0,,
S2B,2025,biochar_app/data-raw/datfiles_2025/S2B_Table1.dat,main,gap,info,2024-03-28 16:15:00,2024-03-28 17:30:00,S2B_Table1.dat,,,75.0,,
S2B,2026,biochar_app/data-raw/datfiles_2026/S2B_Table1.dat,main,gap,info,2023-11-06 10:30:00,2023-12-11 12:00:00,S2B_Table1.dat,,,50490.0,,
S2B,2026,biochar_app/data-raw/datfiles_2026/S2B_Table1.dat,main,gap,info,2024-03-28 16:15:00,2024-03-28 17:30:00,S2B_Table1.dat,,,75.0,,
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1_late2023_withBattV.dat,late2023_withBattV,gap,info,2023-11-06 10:45:00,2023-12-15 09:15:00,S2M_Table1_late2023_withBattV.dat,,,56070.0,,
S2M,2024,biochar_app/data-raw/datfiles_2024/S2M_Table1.dat,main,gap,info,2023-11-06 10:45:00,2023-12-15 09:15:00,S2M_Table1.dat,,,56070.0,,
S2M,2025,biochar_app/data-raw/datfiles_2025/S2M_Table1.dat,main,gap,info,2023-11-06 10:45:00,2023-12-15 09:15:00,S2M_Table1.dat,,,56070.0,,
S2M,2026,biochar_app/data-raw/datfiles_2026/S2M_Table1.dat,main,gap,info,2023-11-06 10:45:00,2023-12-15 09:15:00,S2M_Table1.dat,,,56070.0,,
S2T,2023,biochar_app/data-raw/datfiles_2023/S2T_Table1.dat,main,gap,info,2023-06-05 12:00:00,2023-06-05 13:00:00,S2T_Table1.dat,,,60.0,,
S2T,2023,biochar_app/data-raw/datfiles_2023/S2T_Table1_late2023_withBattV.dat,late2023_withBattV,gap,info,2023-11-06 10:45:00,2023-12-16 10:15:00,S2T_Table1_late2023_withBattV.dat,,,57570.0,,
S2T,2024,biochar_app/data-raw/datfiles_2024/S2T_Table1.dat,main,gap,info,2023-11-06 10:45:00,2023-12-16 10:15:00,S2T_Table1.dat,,,57570.0,,
S2T,2024,biochar_app/data-raw/datfiles_2024/S2T_Table1.dat,main,gap,info,2024-04-02 14:45:00,2024-04-02 16:00:00,S2T_Table1.dat,,,75.0,,
S2T,2025,biochar_app/data-raw/datfiles_2025/S2T_Table1.dat,main,gap,info,2023-11-06 10:45:00,2023-12-16 10:15:00,S2T_Table1.dat,,,57570.0,,
S2T,2025,biochar_app/data-raw/datfiles_2025/S2T_Table1.dat,main,gap,info,2024-04-02 14:45:00,2024-04-02 16:00:00,S2T_Table1.dat,,,75.0,,
S2T,2026,biochar_app/data-raw/datfiles_2026/S2T_Table1.dat,main,gap,info,2023-11-06 10:45:00,2023-12-16 10:15:00,S2T_Table1.dat,,,57570.0,,
S2T,2026,biochar_app/data-raw/datfiles_2026/S2T_Table1.dat,main,gap,info,2024-04-02 14:45:00,2024-04-02 16:00:00,S2T_Table1.dat,,,75.0,,
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,main,gap,info,2023-05-16 15:45:00,2023-05-17 13:15:00,S3B_Table1.dat,,,1290.0,,
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,late2023_withBattV,gap,info,2023-11-06 11:00:00,2023-12-11 10:45:00,S3B_Table1_late2023_withBattV.dat,,,50385.0,,
S3B,2024,biochar_app/data-raw/datfiles_2024/S3B_Table1.dat,main,gap,info,2023-11-06 11:00:00,2023-12-11 10:45:00,S3B_Table1.dat,,,50385.0,,
S3B,2024,biochar_app/data-raw/datfiles_2024/S3B_Table1.dat,main,gap,info,2024-03-28 16:00:00,2024-03-28 17:15:00,S3B_Table1.dat,,,75.0,,
S3B,2025,biochar_app/data-raw/datfiles_2025/S3B_Table1.dat,main,gap,info,2023-11-06 11:00:00,2023-12-11 10:45:00,S3B_Table1.dat,,,50385.0,,
S3B,2025,biochar_app/data-raw/datfiles_2025/S3B_Table1.dat,main,gap,info,2024-03-28 16:00:00,2024-03-28 17:15:00,S3B_Table1.dat,,,75.0,,
S3B,2026,biochar_app/data-raw/datfiles_2026/S3B_Table1.dat,main,gap,info,2023-11-06 11:00:00,2023-12-11 10:45:00,S3B_Table1.dat,,,50385.0,,
S3B,2026,biochar_app/data-raw/datfiles_2026/S3B_Table1.dat,main,gap,info,2024-03-28 16:00:00,2024-03-28 17:15:00,S3B_Table1.dat,,,75.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-15 19:15:00,2023-05-16 07:45:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-16 19:30:00,2023-05-17 07:45:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-17 19:30:00,2023-05-18 07:30:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-18 19:30:00,2023-05-19 07:45:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-19 19:45:00,2023-05-20 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-20 19:45:00,2023-05-21 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-21 19:45:00,2023-05-22 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-22 19:45:00,2023-05-23 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-23 19:45:00,2023-05-24 08:15:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-24 19:45:00,2023-05-25 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-25 19:45:00,2023-05-26 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-26 19:30:00,2023-05-27 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-27 19:45:00,2023-05-28 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-28 19:45:00,2023-05-29 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-29 20:00:00,2023-05-30 08:15:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-30 20:15:00,2023-05-31 09:30:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-31 19:45:00,2023-06-01 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-01 19:45:00,2023-06-02 08:45:00,S3M_Table1.dat,,,780.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-02 19:30:00,2023-06-03 08:00:00,S3M_Table1.dat,,,750.0,,
