logger,year,n_rows,forward_setclock,backward_setclock,nonmonotonic_events,duplicate_timestamps,downtime_gaps,first_forward_time,first_backward_time,has_FF,has_BB,classification,needs_research,reasons,status
S1B,2023,15049,0,0,1,0,0,,,False,False,likely_explained,False,nonmonotonic=1,ok
S1B,2024,35142,1,2,3,1,0,2024-03-28 17:45:00,2024-02-23 15:30:00,False,False,likely_explained,False,nonmonotonic=3;duplicates=1,ok
S1B,2025,45446,0,0,2,0,0,,,False,False,likely_explained,False,nonmonotonic=2,ok
S1B,2026,5807,0,0,1,1,0,,,False,False,likely_explained,False,nonmonotonic=1;duplicates=1,ok
S1M,2023,14739,0,0,1,0,1,,,False,False,likely_explained,False,nonmonotonic=1;downtime_gaps=1,ok
S1M,2024,35136,1,1,1,0,0,2024-07-12 10:45:00,2024-02-23 15:15:00,False,False,likely_explained,False,nonmonotonic=1,ok
S1M,2025,44228,0,0,1,0,0,,,False,False,likely_explained,False,nonmonotonic=1,ok
S1M,2026,5812,0,1,1,0,0,,2026-02-23 08:45:00,False,False,likely_explained,False,nonmonotonic=1,ok
S1T,2023,13627,0,0,1,1,0,,,False,False,likely_explained,False,nonmonotonic=1;duplicates=1,ok
S1T,2024,35138,1,1,3,2,0,2024-04-02 16:15:00,2024-02-23 10:45:00,False,False,likely_explained,False,nonmonotonic=3;duplicates=2,ok
S1T,2025,44700,0,0,1,0,0,,,False,False,likely_explained,False,nonmonotonic=1,ok
S1T,2026,5813,0,1,1,0,0,,2026-02-23 08:45:00,False,False,likely_explained,False,nonmonotonic=1,ok
S2B,2023,14699,0,0,3,2,1,,,False,False,likely_explained,False,nonmonotonic=3;duplicates=2;downtime_gaps=1,ok
S2B,2024,35136,1,1,1,0,0,2024-03-28 17:30:00,2024-02-23 15:45:00,False,False,likely_explained,False,nonmonotonic=1,ok
S2B,2025,35017,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S2B,2026,5813,0,1,1,0,0,,2026-02-23 08:45:00,False,False,likely_explained,False,nonmonotonic=1,ok
S2M,2023,16057,0,0,1,0,3,,,False,False,likely_explained,False,nonmonotonic=1;downtime_gaps=3,ok
S2M,2024,35136,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S2M,2025,35017,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S2M,2026,5814,0,1,1,0,0,,2026-02-23 08:45:00,False,False,likely_explained,False,nonmonotonic=1,ok
S2T,2023,16588,0,0,2,0,1,,,False,False,likely_explained,False,nonmonotonic=2;downtime_gaps=1,ok
S2T,2024,35139,1,1,2,0,0,2024-04-02 16:00:00,2024-12-14 14:15:00,False,False,likely_explained,False,nonmonotonic=2,ok
S2T,2025,35012,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S2T,2026,5809,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S3B,2023,14241,1,0,1,0,5,2023-04-28 10:45:00,,False,False,needs_research,True,forward_in_2023;nonmonotonic=1;downtime_gaps=5,ok
S3B,2024,35132,1,0,0,0,0,2024-03-28 17:15:00,,False,False,likely_explained,False,,ok
S3B,2025,35017,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S3B,2026,5815,0,1,1,0,0,,2026-02-23 08:45:00,False,False,likely_explained,False,nonmonotonic=1,ok
S3M,2023,7295,1,0,1,0,160,2023-09-04 10:30:00,,False,False,needs_research,True,forward_in_2023;nonmonotonic=1;downtime_gaps=160,ok
S3M,2024,34101,1,0,1,1,50,2024-07-07 06:30:00,,False,False,likely_explained,False,nonmonotonic=1;duplicates=1;downtime_gaps=50,ok
S3M,2025,34594,1,0,0,0,13,2025-01-16 23:45:00,,False,False,likely_explained,False,downtime_gaps=13,ok
S3M,2026,5794,0,0,0,0,1,,,False,False,likely_explained,False,downtime_gaps=1,ok
S3T,2023,14352,0,0,0,0,5,,,False,False,likely_explained,False,downtime_gaps=5,ok
S3T,2024,43416,2,1,3,0,1,2024-03-21 16:00:00,2024-02-23 11:30:00,True,False,needs_research,True,two_forwards_no_intervening_backward;nonmonotonic=3;downtime_gaps=1,ok
S3T,2025,35017,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S3T,2026,5816,0,1,1,0,0,,2026-02-23 08:45:00,False,False,likely_explained,False,nonmonotonic=1,ok
S4B,2023,8644,2,0,0,0,105,2023-09-04 10:30:00,,True,False,needs_research,True,forward_in_2023;two_forwards_no_intervening_backward;downtime_gaps=105,ok
S4B,2024,24358,0,0,0,0,4,,,False,False,likely_explained,False,downtime_gaps=4,ok
S4B,2025,35017,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S4B,2026,5895,0,1,2,0,0,,2026-02-23 09:00:00,False,False,likely_explained,False,nonmonotonic=2,ok
S4M,2023,13487,0,0,0,0,3,,,False,False,likely_explained,False,downtime_gaps=3,ok
S4M,2024,35135,1,1,1,0,0,2024-04-02 15:45:00,2024-02-23 14:30:00,False,False,likely_explained,False,nonmonotonic=1,ok
S4M,2025,35017,0,0,0,0,0,,,False,False,likely_explained,False,,ok
S4M,2026,5816,0,1,1,0,0,,2026-02-23 09:00:00,False,False,likely_explained,False,nonmonotonic=1,ok
S4T,2023,13373,0,0,0,0,2,,,False,False,likely_explained,False,downtime_gaps=2,ok
S4T,2024,35136,1,1,1,0,0,2024-03-21 15:45:00,2024-02-23 11:45:00,False,False,likely_explained,False,nonmonotonic=1,ok
S4T,2025,35634,0,0,1,0,0,,,False,False,likely_explained,False,nonmonotonic=1,ok
S4T,2026,5817,0,1,1,0,0,,2026-02-23 09:00:00,False,False,likely_explained,False,nonmonotonic=1,ok
