logger,year,start_offset_min,start_mode,forward_setclock,backward_setclock,end_offset_min,end_mode,first_forward_time,first_backward_time,nonmonotonic_events,duplicate_timestamps,downtime_gaps,has_FF,has_BB,classification,needs_research,reasons,status
S1T,2023,0,MDT,0,0,0,MDT,,,1,1,0,False,False,likely_explained,False,ok,ok
S1T,2024,0,MDT,1,1,0,MDT,2024-04-02 16:15:00,2024-02-23 10:45:00,3,2,0,False,False,likely_explained,False,ok,ok
S1T,2025,0,MDT,0,0,0,MDT,,,1,0,0,False,False,likely_explained,False,ok,ok
S1T,2026,0,MDT,0,1,-60,MST,,2026-02-23 08:45:00,1,0,0,False,False,likely_explained,False,ok,ok
S1T,ALL,0,MDT,1,2,-60,MST,,,6,3,0,False,False,likely_explained,False,ok,ok
S1M,2023,0,MDT,0,0,0,MDT,,,1,0,1,False,False,likely_explained,False,ok,ok
S1M,2024,0,MDT,1,1,0,MDT,2024-07-12 10:45:00,2024-02-23 15:15:00,1,0,0,False,False,likely_explained,False,ok,ok
S1M,2025,0,MDT,0,0,0,MDT,,,1,0,0,False,False,likely_explained,False,ok,ok
S1M,2026,0,MDT,0,1,-60,MST,,2026-02-23 08:45:00,1,0,0,False,False,likely_explained,False,ok,ok
S1M,ALL,0,MDT,1,2,-60,MST,,,4,0,1,False,False,likely_explained,False,ok,ok
S1B,2023,0,MDT,0,0,0,MDT,,,1,0,0,False,False,likely_explained,False,ok,ok
S1B,2024,0,MDT,1,2,-60,MST,2024-03-28 17:45:00,2024-02-23 15:30:00,3,1,0,False,False,likely_explained,False,ok,ok
S1B,2025,-60,MST,0,0,-60,MST,,,2,0,0,False,False,likely_explained,False,ok,ok
S1B,2026,-60,MST,0,0,-60,MST,,,1,1,0,False,False,likely_explained,False,ok,ok
S1B,ALL,0,MDT,1,2,-60,MST,,,7,2,0,False,False,likely_explained,False,ok,ok
S2T,2023,0,MDT,0,0,0,MDT,,,2,0,1,False,False,likely_explained,False,ok,ok
S2T,2024,0,MDT,1,1,0,MDT,2024-04-02 16:00:00,2024-12-14 14:15:00,2,0,0,False,False,likely_explained,False,ok,ok
S2T,2025,0,MDT,0,0,0,MDT,,,0,0,0,False,False,likely_explained,False,ok,ok
S2T,2026,0,MDT,0,0,0,MDT,,,0,0,0,False,False,likely_explained,False,ok,ok
S2T,ALL,0,MDT,1,1,0,MDT,,,4,0,1,False,False,likely_explained,False,ok,ok
S2M,2023,0,MDT,0,0,0,MDT,,,1,0,3,False,False,likely_explained,False,ok,ok
