logger,year,event_time,event_type,gap_min,normalized_delta_min,cumulative_offset_min,implied_mode
S1B,2023,2023-08-08 16:30:00,NONMONOTONIC,-21300.0,0,0,MDT
S1B,2024,2024-02-23 15:30:00,BACKWARD_SET_CLOCK,-45.0,-60,-60,MST
S1B,2024,2024-03-28 17:45:00,FORWARD_SET_CLOCK,75.0,60,0,MDT
S1B,2024,2024-07-09 07:00:00,DUPLICATE,0.0,0,0,MDT
S1B,2024,2024-12-14 13:15:00,BACKWARD_SET_CLOCK,-60.0,-60,-60,MST
S1B,2025,2025-05-30 02:15:00,NONMONOTONIC,-144345.0,0,-60,MST
S1B,2025,2025-06-16 07:15:00,NONMONOTONIC,-12135.0,0,-60,MST
S1B,2026,2026-02-23 08:45:00,DUPLICATE,0.0,0,-60,MST
S1M,2023,2023-05-15 18:15:00,DOWNTIME,4650.0,0,0,MDT
S1M,2023,2023-08-08 16:30:00,NONMONOTONIC,-21300.0,0,0,MDT
S1M,2024,2024-02-23 15:15:00,BACKWARD_SET_CLOCK,-45.0,-60,-60,MST
S1M,2024,2024-07-12 10:45:00,FORWARD_SET_CLOCK,75.0,60,0,MDT
S1M,2025,2025-05-21 10:00:00,NONMONOTONIC,-138150.0,0,0,MDT
S1M,2026,2026-02-23 08:45:00,BACKWARD_SET_CLOCK,-60.0,-60,-60,MST
S1T,2023,2023-07-20 09:15:00,DUPLICATE,0.0,0,0,MDT
S1T,2024,2024-02-23 10:45:00,BACKWARD_SET_CLOCK,-45.0,-60,-60,MST
S1T,2024,2024-04-02 16:15:00,FORWARD_SET_CLOCK,75.0,60,0,MDT
S1T,2024,2024-07-08 15:30:00,DUPLICATE,0.0,0,0,MDT
S1T,2024,2024-08-19 19:00:00,DUPLICATE,0.0,0,0,MDT
S1T,2025,2025-05-29 15:00:00,NONMONOTONIC,-145230.0,0,0,MDT
S1T,2026,2026-02-23 08:45:00,BACKWARD_SET_CLOCK,-60.0,-60,-60,MST
