logger_tag,year,file,file_row_idx,prev_time,time,gap_min,event_type,event_class
S1B,2023,biochar_app/data-raw/datfiles_2023/S1B_Table1.dat,9889,2023-08-23 11:30:00,2023-08-08 16:30:00,-21300.0,nonmonotonic,other
S1B,2023,biochar_app/data-raw/datfiles_2023/S1B_Table1_late2023_withBattV.dat,2667,2023-11-06 10:15:00,2023-12-11 12:15:00,50520.0,downtime_gap,downtime
S1M,2023,biochar_app/data-raw/datfiles_2023/S1M_Table1.dat,5,2023-05-12 12:45:00,2023-05-15 18:15:00,4650.0,downtime_gap,downtime
S1M,2023,biochar_app/data-raw/datfiles_2023/S1M_Table1.dat,9579,2023-08-23 11:30:00,2023-08-08 16:30:00,-21300.0,nonmonotonic,other
S1M,2023,biochar_app/data-raw/datfiles_2023/S1M_Table1_late2023_withBattV.dat,2662,2023-11-06 10:30:00,2023-12-16 10:00:00,57570.0,downtime_gap,downtime
S1T,2023,biochar_app/data-raw/datfiles_2023/S1T_Table1.dat,6616,2023-07-20 09:15:00,2023-07-20 09:15:00,0.0,duplicate_timestamp,order
S1T,2023,biochar_app/data-raw/datfiles_2023/S1T_Table1_late2023_withBattV.dat,2653,2023-11-06 10:30:00,2023-12-16 10:45:00,57615.0,downtime_gap,downtime
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1.dat,17,2023-05-15 19:15:00,2023-05-16 07:45:00,750.0,downtime_gap,downtime
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1.dat,6266,2023-07-20 09:45:00,2023-07-20 09:45:00,0.0,duplicate_timestamp,order
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1.dat,8118,2023-08-08 16:30:00,2023-08-08 16:30:00,0.0,duplicate_timestamp,order
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1.dat,9539,2023-08-23 11:30:00,2023-08-08 16:45:00,-21285.0,nonmonotonic,other
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1_late2023_withBattV.dat,2592,2023-11-06 10:30:00,2023-12-11 12:00:00,50490.0,downtime_gap,downtime
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1.dat,390,2023-04-26 11:30:00,2023-04-26 15:00:00,210.0,downtime_gap,downtime
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1.dat,888,2023-05-01 19:15:00,2023-05-12 12:45:00,15450.0,downtime_gap,downtime
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1.dat,903,2023-05-12 16:15:00,2023-05-15 20:30:00,4575.0,downtime_gap,downtime
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1.dat,9046,2023-08-08 16:00:00,2023-07-20 09:30:00,-27750.0,nonmonotonic,other
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1_late2023_withBattV.dat,1,2023-10-10 12:15:00,2023-10-10 12:15:00,0.0,duplicate_timestamp,order
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1_late2023_withBattV.dat,3,2023-10-10 12:30:00,2023-10-10 12:30:00,0.0,duplicate_timestamp,order
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1_late2023_withBattV.dat,5,2023-10-10 12:45:00,2023-10-10 12:45:00,0.0,duplicate_timestamp,order
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1_late2023_withBattV.dat,7,2023-10-10 13:00:00,2023-10-10 13:00:00,0.0,duplicate_timestamp,order
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1_late2023_withBattV.dat,9,2023-10-10 13:15:00,2023-10-10 13:15:00,0.0,duplicate_timestamp,order
