logger_tag,year,file,n_rows,forward_setclock,backward_setclock,duplicate_timestamps,out_of_order,nonmonotonic_events,downtime_gaps,first_forward_time,first_backward_time,first_out_of_order_time,has_FF,has_BB,classification,reasons,status
S1B,2023,biochar_app/data-raw/datfiles_2023/S1B_Table1.dat,15049,0,0,0,0,1,0,,,,False,False,likely_explained,,ok
S1B,2023,biochar_app/data-raw/datfiles_2023/S1B_Table1_late2023_withBattV.dat,4634,0,0,0,0,0,1,,,,False,False,likely_explained,,ok
S1M,2023,biochar_app/data-raw/datfiles_2023/S1M_Table1.dat,14739,0,0,0,0,1,1,,,,False,False,likely_explained,,ok
S1M,2023,biochar_app/data-raw/datfiles_2023/S1M_Table1_late2023_withBattV.dat,4158,0,0,0,0,0,1,,,,False,False,likely_explained,,ok
S1T,2023,biochar_app/data-raw/datfiles_2023/S1T_Table1.dat,13627,0,0,1,0,1,0,,,,False,False,likely_explained,,ok
S1T,2023,biochar_app/data-raw/datfiles_2023/S1T_Table1_late2023_withBattV.dat,4146,0,0,0,0,0,1,,,,False,False,likely_explained,,ok
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1.dat,14699,0,0,2,0,3,1,,,,False,False,likely_explained,,ok
S2B,2023,biochar_app/data-raw/datfiles_2023/S2B_Table1_late2023_withBattV.dat,4560,0,0,0,0,0,1,,,,False,False,likely_explained,,ok
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1.dat,16057,0,0,0,0,1,3,,,,False,False,likely_explained,,ok
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1_late2023_withBattV.dat,4202,0,0,20,0,20,1,,,,False,False,likely_explained,,ok
S2T,2023,biochar_app/data-raw/datfiles_2023/S2T_Table1.dat,16588,0,0,0,0,2,1,,,,False,False,likely_explained,,ok
S2T,2023,biochar_app/data-raw/datfiles_2023/S2T_Table1_late2023_withBattV.dat,3996,0,0,0,0,0,1,,,,False,False,likely_explained,,ok
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,14241,1,0,0,0,1,5,2023-04-28 10:45:00,,,False,False,needs_research,2023 has forward setclock event(s),ok
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,4370,0,0,14,0,14,1,,,,False,False,likely_explained,,ok
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,7295,1,0,0,0,1,160,2023-09-04 10:30:00,,,False,False,needs_research,2023 has forward setclock event(s),ok
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1_late2023_withBattV.dat,4790,0,0,0,0,0,2,,,,False,False,likely_explained,,ok
