year,strip,event_id,depth_inches,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,distance_T_ft,distance_M_ft,distance_B_ft,arrival_T_min,arrival_M_min,arrival_B_min,T_to_M_min,M_to_B_min,T_to_B_min,T_to_M_ft_per_min,M_to_B_ft_per_min,T_to_B_ft_per_min,alt_arrival_T_min,alt_arrival_M_min,alt_arrival_B_min,alt_T_to_M_min,alt_M_to_B_min,alt_T_to_B_min,alt_T_to_M_ft_per_min,alt_M_to_B_ft_per_min,alt_T_to_B_ft_per_min,avg_flow_gph_strip,treatment,irrigation_regime,pair,strict_ordered_arrivals,top_to_bottom_ordered,top_to_middle_min,middle_to_bottom_min,top_to_bottom_min,event_qc_eligible,event_qc_reason,complete_three_zone_coverage,unretained_eligible,unretained_gal_strip,unretained_fraction,estimated_storage_gal_strip_0_18in,estimated_storage_fraction_0_18in,bottom_6in_arrival_delay_hr,post_bottom_6in_arrival_runtime_hr,post_bottom_6in_arrival_applied_gal,post_bottom_6in_arrival_applied_fraction,end_of_field_unretained_eligible,estimated_end_of_field_unretained_gal_strip,estimated_end_of_field_unretained_fraction,log_flow,log_gallons,arrival_model_eligible
2023,S1,2023-05-23_S1_S2_176caf9a,6.0,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.0,3.9,54.0,169.0,284.0,5.0,140.0,,135.0,,,0.85,,,-85.0,140.0,5.0,225.0,-135.0,90.0,0.51,,2.56,18589.74358974359,biochar,monthly,S1_S2,False,False,135.0,,,False,bottom_response_too_early; unexplained_pre_start_response,False,False,,,,,,,,,False,,,9.830365287707165,11.191341840842766,False
2023,S2,2023-05-23_S1_S2_176caf9a,6.0,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.0,3.9,54.0,169.0,284.0,140.0,5.0,50.0,-135.0,45.0,-90.0,,2.56,,-235.0,-340.0,-415.0,-105.0,-75.0,-180.0,,,,18589.74358974359,control,monthly,S1_S2,False,False,-135.0,45.0,-90.0,False,unexplained_pre_start_response,False,False,,,,,0.83,3.07,57008.55,0.79,False,,,9.830365287707165,11.191341840842766,False
2023,S3,2023-05-24_S3_S4_31cada45,6.0,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.0,3.9,,169.0,284.0,,605.0,230.0,,-375.0,,,,,,605.0,230.0,,-375.0,,,,,18794.871794871797,biochar,biweekly,S3_S4,False,False,,-375.0,,True,ok,False,False,,,,,3.83,0.07,1252.99,0.02,False,,,9.841339334739143,11.202315887874743,False
2023,S4,2023-05-24_S3_S4_31cada45,6.0,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.0,3.9,54.0,169.0,284.0,20.0,125.0,365.0,105.0,240.0,345.0,1.1,0.48,0.67,35.0,140.0,380.0,105.0,240.0,345.0,1.1,0.48,0.67,18794.871794871797,control,biweekly,S3_S4,True,True,105.0,240.0,345.0,False,bottom_response_too_early,False,False,,,,,6.08,0.0,0.0,0.0,False,,,9.841339334739143,11.202315887874743,False
2023,S1,2023-06-01_S1_S2_5b27ce31,6.0,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.0,7.48,54.0,169.0,284.0,208.87,223.87,,15.0,,,7.67,,,238.87,223.87,,-15.0,,,,,,4498.6631016042775,biochar,monthly,S1_S2,False,False,15.0,,,True,ok,False,False,,,,,,,,,False,,,8.411535543086488,10.423768335072873,False
2023,S2,2023-06-01_S1_S2_5b27ce31,6.0,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.0,7.48,54.0,169.0,284.0,148.87,358.87,313.87,210.0,-45.0,165.0,0.55,,1.39,148.87,358.87,313.87,210.0,-45.0,165.0,0.55,,1.39,4498.6631016042775,control,monthly,S1_S2,False,True,210.0,-45.0,165.0,True,ok,False,False,,,,,5.23,2.25,10120.44,0.3,False,,,8.411535543086488,10.423768335072873,True
2023,S3,2023-06-02_S3_S4_e824e1bc,6.0,2023-06-02 15:43:00,2023-06-02 22:12:00,33750.0,6.48,,169.0,284.0,,662.0,167.0,,-495.0,,,,,,677.0,182.0,,-495.0,,,,,5208.333333333333,biochar,biweekly,S3_S4,False,False,,-495.0,,True,ok,False,False,,,,,2.78,3.7,19260.75,0.57,False,,,8.558015185936492,10.426735696300677,False
2023,S4,2023-06-02_S3_S4_e824e1bc,6.0,2023-06-02 15:43:00,2023-06-02 22:12:00,33750.0,6.48,54.0,169.0,284.0,167.0,,,,,,,,,197.0,,,,,,,,,5208.333333333333,control,biweekly,S3_S4,False,False,,,,,,,,,,,,,,,,,,,8.558015185936492,10.426735696300677,False
2023,S3,2023-06-14_S3_S4_71ac748b,6.0,2023-06-14 08:25:00,2023-06-14 17:29:00,64100.0,9.07,54.0,169.0,284.0,65.0,650.0,140.0,585.0,-510.0,75.0,0.2,,3.07,65.0,650.0,140.0,585.0,-510.0,75.0,0.2,,3.07,7067.254685777288,biochar,biweekly,S3_S4,False,True,585.0,-510.0,75.0,True,ok,False,False,,,,,2.33,6.73,47603.91,0.74,False,,,8.863227378781716,11.06819964290876,True
2023,S4,2023-06-14_S3_S4_71ac748b,6.0,2023-06-14 08:25:00,2023-06-14 17:29:00,64100.0,9.07,54.0,169.0,284.0,185.0,365.0,500.0,180.0,135.0,315.0,0.64,0.85,0.73,200.0,395.0,545.0,195.0,150.0,345.0,0.59,0.77,0.67,7067.254685777288,control,biweekly,S3_S4,True,True,180.0,135.0,315.0,True,ok,True,True,43451.95,0.68,20648.05,0.32,8.33,0.73,5184.79,0.08,True,43451.95,0.68,8.863227378781716,11.06819964290876,True
2023,S1,2023-06-26_S1_S2_69e5d9b6,6.0,2023-06-26 09:31:00,2023-06-26 16:02:00,44700.0,6.52,54.0,169.0,284.0,59.0,89.0,,30.0,,,3.83,,,104.0,134.0,,30.0,,,3.83,,,6855.828220858896,biochar,monthly,S1_S2,False,False,30.0,,,True,ok,False,False,,,,,,,,,False,,,8.832854404663099,10.707728780601661,False
2023,S2,2023-06-26_S1_S2_69e5d9b6,6.0,2023-06-26 09:31:00,2023-06-26 16:02:00,44700.0,6.52,54.0,169.0,284.0,134.0,89.0,104.0,-45.0,15.0,-30.0,,7.67,,134.0,89.0,149.0,-45.0,60.0,15.0,,1.92,15.33,6855.828220858896,control,monthly,S1_S2,False,False,-45.0,15.0,-30.0,True,ok,True,True,2695.6,0.06,42004.4,0.94,1.73,4.78,32810.71,0.73,True,2695.6,0.06,8.832854404663099,10.707728780601661,False
2023,S3,2023-06-27_S3_S4_87f629e2,6.0,2023-06-27 07:53:00,2023-06-27 16:14:00,67850.0,8.35,54.0,169.0,284.0,37.0,562.0,127.0,525.0,-435.0,90.0,0.22,,2.56,37.0,562.0,127.0,525.0,-435.0,90.0,0.22,,2.56,8125.748502994013,biochar,biweekly,S3_S4,False,True,525.0,-435.0,90.0,True,ok,False,False,,,,,2.12,6.23,50650.5,0.75,False,,,9.00279312640025,11.125054665263015,True
2023,S4,2023-06-27_S3_S4_87f629e2,6.0,2023-06-27 07:53:00,2023-06-27 16:14:00,67850.0,8.35,54.0,169.0,284.0,7.0,247.0,487.0,240.0,240.0,480.0,0.48,0.48,0.48,-8.0,262.0,502.0,270.0,240.0,510.0,0.43,0.48,0.45,8125.748502994013,control,biweekly,S3_S4,True,True,240.0,240.0,480.0,,,,,,,,,,,,,,,,9.00279312640025,11.125054665263015,False
2023,S3,2023-07-07_S3_S4_bf19b251,6.0,2023-07-07 07:46:00,2023-07-07 15:46:00,64250.0,8.0,54.0,169.0,284.0,29.0,554.0,134.0,525.0,-420.0,105.0,0.22,,2.19,29.0,554.0,134.0,525.0,-420.0,105.0,0.22,,2.19,8031.25,biochar,biweekly,S3_S4,False,True,525.0,-420.0,105.0,True,ok,False,False,,,,,2.23,5.77,46313.54,0.72,False,,,8.99109546107763,11.070537002757467,True
2023,S4,2023-07-07_S3_S4_bf19b251,6.0,2023-07-07 07:46:00,2023-07-07 15:46:00,64250.0,8.0,54.0,169.0,284.0,44.0,224.0,299.0,180.0,75.0,255.0,0.64,1.53,0.9,-16.0,224.0,299.0,240.0,75.0,315.0,0.48,1.53,0.73,8031.25,control,biweekly,S3_S4,True,True,180.0,75.0,255.0,,,,,,,,,,,,,,,,8.99109546107763,11.070537002757467,False
2023,S1,2023-07-17_S1_S2_ae0a89b4,6.0,2023-07-17 08:04:00,2023-07-17 16:04:00,60450.0,8.0,54.0,169.0,284.0,11.0,56.0,,45.0,,,2.56,,,-34.0,101.0,,135.0,,,0.85,,,7556.25,biochar,monthly,S1_S2,False,False,45.0,,,True,ok,False,False,,,,,,,,,False,,,8.930130314363103,11.009571856042939,False
2023,S2,2023-07-17_S1_S2_ae0a89b4,6.0,2023-07-17 08:04:00,2023-07-17 16:04:00,60450.0,8.0,54.0,169.0,284.0,146.0,86.0,86.0,-60.0,0.0,-60.0,,,,146.0,86.0,131.0,-60.0,45.0,-15.0,,2.56,,7556.25,control,monthly,S1_S2,False,False,-60.0,0.0,-60.0,True,ok,True,True,14787.28,0.24,45662.72,0.76,1.43,6.57,49619.38,0.82,True,14787.28,0.24,8.930130314363103,11.009571856042939,False
