year,event_id,pair,biochar_strip,control_strip,irrigation_regime,flow_gph,bio_arrival_T_min,ctrl_arrival_T_min,diff_arrival_T_min,bio_top_to_middle_min,ctrl_top_to_middle_min,diff_top_to_middle_min,bio_middle_to_bottom_min,ctrl_middle_to_bottom_min,diff_middle_to_bottom_min,bio_top_to_bottom_min,ctrl_top_to_bottom_min,diff_top_to_bottom_min,bio_unretained_fraction,ctrl_unretained_fraction,diff_unretained_fraction,bio_unretained_gal_strip,ctrl_unretained_gal_strip,diff_unretained_gal_strip,bio_estimated_storage_fraction_0_18in,ctrl_estimated_storage_fraction_0_18in,diff_estimated_storage_fraction_0_18in,both_arrival_model_eligible,both_unretained_eligible
2023,2023-05-23_S1_S2_176caf9a,S1_S2,S1,S2,monthly,18589.74358974359,5.0,140.0,-135.0,135.0,-135.0,270.0,,45.0,,,-90.0,,,,,,,,,,,False,False
2023,2023-06-01_S1_S2_5b27ce31,S1_S2,S1,S2,monthly,4498.6631016042775,208.87,148.87,60.0,15.0,210.0,-195.0,,-45.0,,,165.0,,,,,,,,,,,False,False
2023,2023-06-26_S1_S2_69e5d9b6,S1_S2,S1,S2,monthly,6855.828220858896,59.0,134.0,-75.0,30.0,-45.0,75.0,,15.0,,,-30.0,,,0.06,,,2695.6,,,0.94,,False,False
2023,2023-07-17_S1_S2_ae0a89b4,S1_S2,S1,S2,monthly,7556.25,11.0,146.0,-135.0,45.0,-60.0,105.0,,0.0,,,-60.0,,,0.24,,,14787.28,,,0.76,,False,False
2023,2023-08-05_S1_S2_efaa9d14,S1_S2,S1,S2,monthly,8034.257748776509,,132.0,,,-90.0,,,-15.0,,,-105.0,,,0.28,,,13656.9,,,0.72,,False,False
2023,2023-08-24_S1_S2_6cc99259,S1_S2,S1,S2,monthly,6724.330357142857,13.0,133.0,-120.0,75.0,-90.0,165.0,,-15.0,,,-105.0,,,0.0,,,0.0,,,1.08,,False,False
2023,2023-09-21_S1_S2_6dbb0789,S1_S2,S1,S2,monthly,5355.618776671408,8.0,143.0,-135.0,180.0,-90.0,270.0,,15.0,,,-75.0,,,0.0,,,145.65,,,1.0,,False,False
2024,2024-04-20_S1_S2_5f2fb725,S1_S2,S1,S2,monthly,8154.145077720207,34.0,79.0,-45.0,105.0,0.0,105.0,315.0,75.0,240.0,420.0,75.0,345.0,0.32,0.39,-0.07,19869.19,24360.92,-4491.73,0.68,0.61,0.07000000000000006,True,True
2024,2024-05-11_S1_S2_4c1cd284,S1_S2,S1,S2,monthly,7089.55223880597,1475.0,1520.0,-45.0,165.0,-15.0,180.0,-1110.0,240.0,-1350.0,-945.0,225.0,-1170.0,,,,,,,,,,False,False
2024,2024-06-01_S1_S2_ef46e32f,S1_S2,S1,S2,monthly,5939.327485380117,25.0,85.0,-60.0,195.0,0.0,195.0,-15.0,135.0,-150.0,180.0,135.0,45.0,0.59,0.4,0.18999999999999995,47989.35,32816.73,15172.619999999995,0.41,0.6,-0.19,False,False
2024,2024-06-22_S1_S2_e95bd875,S1_S2,S1,S2,monthly,6023.017902813299,30.0,75.0,-45.0,90.0,-15.0,105.0,90.0,150.0,-60.0,180.0,135.0,45.0,0.27,0.15,0.12000000000000002,12896.23,7042.27,5853.959999999999,0.73,0.85,-0.12,True,True
2024,2024-07-20_S1_S2_6d735351,S1_S2,S1,S2,monthly,6298.185941043083,36.0,81.0,-45.0,180.0,0.0,180.0,45.0,165.0,-120.0,225.0,165.0,60.0,0.22,,,12182.81,,,0.78,,,True,False
2024,2024-08-10_S1_S2_de427086,S1_S2,S1,S2,monthly,7177.966101694915,25.0,85.0,-60.0,165.0,-30.0,195.0,240.0,120.0,120.0,405.0,90.0,315.0,,0.47,,,39840.38,,,0.53,,True,False
2024,2024-09-07_S1_S2_b15b9a0a,S1_S2,S1,S2,monthly,6725.888324873096,22.0,82.0,-60.0,195.0,-15.0,210.0,360.0,135.0,225.0,555.0,120.0,435.0,0.43,0.35,0.08000000000000002,22699.39,18611.33,4088.0599999999977,0.57,0.65,-0.08000000000000007,True,True
2025,2025-04-20_S1_S2_f3457ada,S1_S2,S1,S2,monthly,5954.095409540954,30.0,15.0,15.0,165.0,60.0,105.0,165.0,195.0,-30.0,330.0,255.0,75.0,0.74,0.61,0.13,97855.36,80737.1,17118.259999999995,0.26,0.39,-0.13,True,True
2025,2025-05-16_S1_S2_799859ac,S1_S2,S1,S2,monthly,5770.911360799001,38.32,23.32,15.0,180.0,59.99999999999999,120.0,240.0,120.0,120.0,420.0,180.0,240.0,0.65,0.53,0.12,60158.03,48800.52,11357.510000000002,0.35,0.47,-0.12,True,True
2025,2025-05-28_S1_S2_ca363c43,S1_S2,S1,S2,monthly,5127.693535514765,32.0,17.0,15.0,195.0,60.0,135.0,180.0,150.0,30.0,375.0,210.0,165.0,0.73,0.47,0.26,47203.02,30225.83,16977.189999999995,0.27,0.53,-0.26,True,True
2025,2025-06-27_S1_S2_ff537961,S1_S2,S1,S2,monthly,5869.698832206515,42.0,27.0,15.0,180.0,60.0,120.0,270.0,90.0,180.0,450.0,150.0,300.0,0.59,0.52,0.06999999999999995,56304.98,49226.87,7078.110000000001,0.41,0.48,-0.07,False,False
2025,2025-07-26_S1_S2_98e2053f,S1_S2,S1,S2,monthly,5861.784140969163,30.0,30.0,0.0,135.0,45.0,90.0,210.0,135.0,75.0,345.0,180.0,165.0,0.36,0.28,0.07999999999999996,19372.03,14711.14,4660.889999999999,0.64,0.72,-0.07999999999999996,True,True
2025,2025-08-22_S1_S2_9f8675d7,S1_S2,S1,S2,monthly,3077.8894472361812,68.0,38.0,30.0,330.0,225.0,105.0,240.0,60.0,180.0,570.0,285.0,285.0,0.03,0.0,0.03,818.07,0.0,818.07,0.97,1.09,-0.1200000000000001,True,True
2025,2025-09-20_S1_S2_81d8ab0f,S1_S2,S1,S2,monthly,12624.633431085043,33.0,18.0,15.0,150.0,45.0,105.0,150.0,60.0,90.0,300.0,105.0,195.0,0.69,0.62,0.06999999999999995,59734.29,53572.11,6162.18,0.31,0.38,-0.07,True,True
2026,2026-04-21_S1_S2_001c30f6,S1_S2,S1,S2,monthly,6168.614357262104,36.0,21.0,15.0,180.0,30.0,150.0,285.0,120.0,165.0,465.0,150.0,315.0,0.74,0.61,0.13,82423.22,67885.76,14537.460000000006,0.26,0.39,-0.13,False,False
2026,2026-05-20_S1_S2_49743b7c,S1_S2,S1,S2,monthly,8369.23076923077,22.0,22.0,0.0,90.0,30.0,60.0,270.0,30.0,240.0,360.0,60.0,300.0,0.63,0.39,0.24,34316.24,21444.05,12872.189999999999,0.37,0.61,-0.24,True,True
2026,2026-06-20_S1_S2_ba82572f,S1_S2,S1,S2,monthly,7259.668508287292,45.0,30.0,15.0,105.0,60.0,45.0,330.0,90.0,240.0,435.0,150.0,285.0,0.5,0.48,0.020000000000000018,33097.76,31345.42,1752.3400000000038,0.5,0.52,-0.020000000000000018,True,True
2026,2026-06-27_S1_S2_be4e641a,S1_S2,S1,S2,monthly,6115.145985401459,40.0,25.0,15.0,105.0,45.0,60.0,120.0,75.0,45.0,225.0,120.0,105.0,0.69,0.47,0.21999999999999997,23074.99,15746.18,7328.810000000001,0.31,0.53,-0.22000000000000003,True,True
