strip,treatment,pair,irrigation_regime,zone_position,zone_length_ft,zone_area_sqft,profile_thickness_in,upper_retained_vwc_pct,upper_retained_water_in,upper_retained_water_gal,upper_retained_water_acre_in,strip_total_upper_retained_water_gal,minimum_eligible_event_count,estimate_status,capacity_definition
S1,biochar,S1_S2,monthly,T,109.35,5139.45,18.0,43.47,7.82,25051,0.92,76558,21,supported_with_source_disagreement,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S1,biochar,S1_S2,monthly,M,115.3,5419.1,18.0,38.86,6.99,23615,0.87,76558,26,supported_with_source_disagreement,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S1,biochar,S1_S2,monthly,B,121.95,5731.65,18.0,43.39,7.81,27891,1.03,76558,29,review_component_max_p90_gap,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S2,control,S1_S2,monthly,T,111.05,5219.35,18.0,45.77,8.24,26787,0.99,74231,26,supported_with_source_disagreement,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S2,control,S1_S2,monthly,M,117.3,5513.1,18.0,39.48,7.11,24408,0.9,74231,28,review_component_max_p90_gap,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S2,control,S1_S2,monthly,B,115.75,5440.25,18.0,37.76,6.8,23036,0.85,74231,27,supported_with_source_disagreement,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S3,biochar,S3_S4,biweekly,T,111.35,5233.45,18.0,41.95,7.55,24620,0.91,68190,46,review_component_max_p90_gap,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S3,biochar,S3_S4,biweekly,M,118.8,5583.6,18.0,38.24,6.88,23946,0.88,68190,14,supported_with_source_disagreement,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S3,biochar,S3_S4,biweekly,B,110.75,5205.25,18.0,33.62,6.05,19625,0.72,68190,45,review_component_max_p90_gap,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S4,control,S3_S4,biweekly,T,113.15,5318.05,18.0,37.87,6.82,22582,0.83,68363,44,supported_with_source_disagreement,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S4,control,S3_S4,biweekly,M,117.3,5513.1,18.0,36.51,6.57,22570,0.83,68363,45,review_component_max_p90_gap,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
S4,control,S3_S4,biweekly,B,107.35,5045.45,18.0,41.02,7.38,23211,0.86,68363,28,supported,P90 combined precipitation+irrigation retained VWC; three 6-inch sensor-centered layers spanning 3-21 inches
