feature_id,strip,logger_position,geometry_method,source_crs,working_crs,area_m2,area_sqft,gallons_per_water_inch
S1T,S1,T,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,360.8515251809924,3884.173490781375,2419.840084756797
S1M,S1,M,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,389.73037045087494,4195.02279420442,2613.499200789354
S1B,S1,B,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,416.52142105670305,4483.399262895098,2793.157740783646
S2T,S2,T,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,444.8177574415735,4787.978492862936,2982.9106010536093
S2M,S2,M,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,470.8845879417855,5068.559521214782,3157.712581716809
S2B,S2,B,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,461.2524848642231,4964.8804265633835,3093.120505748988
S3T,S3,T,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,505.14181109194766,5437.301202328371,3387.438649050575
S3M,S3,M,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,538.9596609234485,5801.313508400397,3614.2183157334475
S3B,S3,B,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,488.42937773511363,5257.4100668301735,3275.366471635198
S4T,S4,T,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,463.39624617814246,4987.95568130122,3107.49638945066
S4M,S4,M,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,449.7956078287529,4841.559628498319,3016.291648554453
S4B,S4,B,projected_voronoi_clipped_to_field_boundary,EPSG:4326,EPSG:3742,407.46044414181256,4385.867719095339,2732.3955889963963
