frame.number	tcp.stream	ip.src	ip.dst	tcp.payload
1	0			bda0016ffd10020ffd09b700000500022c7900000001000081f8bd
2	0			
3	0			bdaffd00011ffd200289b70000020000fedc00014305ada0415674003e4ebb613e9829ba41b31a053e3331743e8d8d0a41b900a73e57b5813e8d55fd41b89c2300946ebd
4	0			bda0016ffd10020ffd09b800000600022c790000fed70000fedc000036c9bd
5	0			
6	0			bdaffd00011ffd200289b80000020000fed7000543059c0c415851ed3e4f64e63e9905ee41b48bf63e33de773e8e5fa041ba26c33e586ebf3e8e030141b8f01543059f904157e7583e4f7b9f3e98ab0d41b43f5a3e333bef3e8e456b41b9f26c3e5867c23e8dd05241b8d61a4305a314415775df3e4f18033e988e3641b3f30f3e3336b03e8e4b8741b9b37a3e5873ff3e8dae3d41b8d4994305a6984156f3373e4eb4643e985aaa41b3a7943e3338703e8e472941b97f8a3e5872413e8db29d41b8c1664305aa1c4156c6843e4ec41e3e98106241b362203e33482d3e8e11db41b9567f3e580ce13e8d773241b8ba3b00e99dbd
7	0			
8	0			bdaffd70010ffd00010a30013020022c47bd
9	0			bda0013ffd00010ffd8a30807ebd
10	0			
11	0			bdaffd00010ffd000194e1bd
12	0			
