src_file,leaf,table,frame_len,frame_hex,anchor_off,anchor_sec_le,anchor_iso,signed16_be@20,signed16_be@22,frame_number,tcp_stream
S3T_Table1.tsv,S3T,1,27,bda0016ffd10080ffd091a00000500022c79000000010000791abd,12,33555712,1991-01-24T09:01:52+00:00,,,1,0
S3T_Table1.tsv,S3T,1,69,bdaffd00011ffd2008891a00000200006d970001430610104150c2243e5ded9a3ec2816241d29f5e3e7764403f4a3de241bcdce39b3ed1a91c3fb9b90e41b9c83200dd97bd,32,1652671038,2042-05-16T03:17:18+00:00,,,3,0
S3T_Table1.tsv,S3T,1,31,bda0016ffd10080ffd091b00000600022c7900006ae800006d9700003cd2bd,12,33555968,1991-01-24T09:06:08+00:00,27368,0,4,0
S3T_Table1.tsv,S3T,1,245,bdaffd00011ffd2008891b00000200006ae8000542fca0d4415295c23ea9f24b3f2df34741abdd103e8b375a3f57944d41aea1833ec9bcdcfe3f8d9d3441b2621342fca45841528b713ea9dd523f2e624141acfd133e8b0d693f581b4e41ae98e03ec9fcc63f8d09bf41b2579d42fca7dc4152546e3eaa02063f2ed8a641ae2ab73e8ad65c3f587e7d41ae82003ec9fcc73f8d104e41b2242742fcab6041526c803eaa0d603f2f67f441af52d23e8a5c063f58e75741ae8bcc3ec9fa293f8d143d41b1eff242fcaee441523c5c3ea9f24c3f2fef6641b0abcd3e8a526a3f58ec9641ae9be13ec9fa273f8d0d0741b1fdde015deebd,28,1274194238,2030-05-18T14:50:38+00:00,,,6,0
S3T_Table1.tsv,S3T,1,31,bda0016ffd10080ffd091c00000600022c7900006aed00006d9700006b96bd,12,33555968,1991-01-24T09:06:08+00:00,27373,0,7,0
S3T_Table1.tsv,S3T,1,246,bdaffd00011ffd2008891c00000200006aed000542fcb2684152168a3ea9d7343f307f9341b1df153e8ac6a03f57818441aea5403eca01253f8d075941b1db5942fcb5ec41520c393ea9b7bf3f3119cd41b339313e8a7e1a3f5860c541aeb4f53ec9fda73f8ca73a41b1af0e42fcb9704151df863ea99aea3f31a75d41b4913f3e8a7c5c3f5866e541aecc3a3ec9bebcdd3f8cae3741b1ab4942fcbcdcf44151f7973ea9df133f3234ed41b5eafd3e8a49ac3f5907ac41aef8153ec98ead3f8d215741b192ea42fcc0784151ce553ea9caf93f32b5ce41b72f873e8a67613f58a5ce41af1e533ec9ccb63f8cbed141b18144017dc8bd,20,1756560450,2045-08-30T13:27:30+00:00,,,9,0
S3T_Table1.tsv,S3T,1,31,bda0016ffd10080ffd091d00000600022c7900006af200006d970000de86bd,12,33555968,1991-01-24T09:06:08+00:00,27378,0,10,0
S3T_Table1.tsv,S3T,1,248,bdaffd00011ffd2008891d00000200006af2000542fcc3fc4151bcdd253ea9a8043f335af541b870d33e8a36733f59431741af4c0e3ec9e52f3f8d3fed41b1766742fcc7804151abf33ea9976c3f33b41641b9bcdcf23e8a225a3f597f6241af862e3ec9e36f3f8d45d341b14d1e42fccb04415190723ea97d333f3439c941bae5cd3e8a518a3f58eb4741afbaa93ec9b2803f8db8bb41b15a9742fcce88415189903ea9613d3f34c75541bcdc312a3e8a4fcb3f58f0f341affa673ec9ac633f8dc59e41b141e742fcd20c415197523ea94c443f352a8541bcdd5ad63e8a39133f59382c41b042c53ec9a1e73f8de04441b147df0146cdbd,32,1513307908,2037-12-15T03:18:28+00:00,,,12,0
S3T_Table1.tsv,S3T,1,31,bda0016ffd10080ffd091e00000600022c7900006af700006d9700003f1abd,12,33555968,1991-01-24T09:06:08+00:00,27383,0,13,0
S3T_Table1.tsv,S3T,1,246,bdaffd00011ffd2008891e00000200006af7000542fcd590415190723ea95ce03f359e4c41be74703e8a2e953f596fa941b097eb3ec99d873f8de6d341b134b742fcd9144151c4053ea987af3f35f7dd41bf8ae23e8a98513f59081d41b0dffc3ec9fe863f8d04b941b129d942fcdc984151b9b53ea974793f3658db41c086923e8a77fc3f59e67f41b12f1c3ec9c07b3f8d92b941b1273742fce01c4151d5363ea9691b3f36944641c164413e8a68423f5a161e41b182603eca0ba23f8d95ff41b1214042fce3a04151bcdd253ea95a403f36d78f41c23a5c3e8abcdc243f590c0941b1e0fb3eca16ff3f8db06e41b1315a012594bd,24,1922060609,2050-11-28T01:43:29+00:00,,,15,0
S3T_Table1.tsv,S3T,1,31,bda0016ffd10080ffd091f00000600022c7900006afc00006d97000033d1bd,12,33555968,1991-01-24T09:06:08+00:00,27388,0,16,0
